Gene rank;DEPICT For SNP rank;predicates For SNP rank;node2vec normal For SNP rank;node2vec graphlet For SNP rank;node2vec autoencode For SNP rank;node2vec combi For SNP rank;network distance For SNP rank;EVOKE For SNP rank;rdf2vec For SNP rank;struc2vec For SNP rank;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;45,0;159,0;49,0;83,7637709951237;0,7946334089191232;31,0;44,0;46,0;48,0;1,9387755102040816;1,0
True;False;True;False;False;False;False;False;False;False;False;40,0;120,0;44,0;79,55983889528193;0,7160897435897435;25,0;41,0;43,0;43,0;1,8636363636363635;1,0
True;False;False;True;False;False;False;False;False;False;False;42,0;133,0;46,0;79,09420289855072;0,6996651373727785;26,0;41,0;44,0;46,0;2,0;1,0
True;False;False;False;True;False;False;False;False;False;False;42,0;133,0;46,0;83,16425120772946;0,7511997046880767;27,0;44,0;45,0;46,0;1,6521739130434783;1,0
True;False;False;False;False;True;False;False;False;False;False;42,0;133,0;46,0;84,55314009661835;0,7889904023624953;31,0;42,0;45,0;45,0;1,826086956521739;1,0
True;False;False;False;False;False;True;False;False;False;False;42,0;133,0;46,0;82,47584541062803;0,74312476928756;28,0;42,0;44,0;45,0;1,9782608695652173;1,0
True;False;False;False;False;False;False;True;False;False;False;42,0;133,0;46,0;83,86473429951691;0,7978299847070611;29,0;45,0;45,0;45,0;1,8478260869565217;1,0
True;False;False;False;False;False;False;False;True;False;False;42,0;133,0;46,0;83,92512077294685;0,7818383167220379;29,0;43,0;45,0;46,0;1,6956521739130435;1,0
True;False;False;False;False;False;False;False;False;True;False;42,0;133,0;46,0;88,07971014492753;0,8267019986289089;33,0;43,0;45,0;45,0;1,673913043478261;1,0
True;False;False;False;False;False;False;False;False;False;True;42,0;133,0;46,0;78,15217391304347;0,6769894004113272;26,0;41,0;44,0;46,0;2,0434782608695654;1,0
False;True;True;False;False;False;False;False;False;False;False;40,0;120,0;44,0;82,00517836593787;0,7510576923076924;27,0;41,0;42,0;43,0;1,8863636363636365;1,0
False;True;False;True;False;False;False;False;False;False;False;42,0;133,0;46,0;83,10386473429952;0,7858724885302958;30,0;42,0;43,0;45,0;1,9130434782608696;1,0
False;True;False;False;True;False;False;False;False;False;False;42,0;133,0;46,0;83,2487922705314;0,7517534145441123;27,0;44,0;46,0;46,0;1,6304347826086956;1,0
False;True;False;False;False;True;False;False;False;False;False;42,0;133,0;46,0;84,77053140096619;0,818468860412382;32,0;41,0;45,0;45,0;1,826086956521739;1,0
False;True;False;False;False;False;True;False;False;False;False;42,0;133,0;46,0;85,79710144927537;0,8306307018931604;32,0;42,0;44,0;45,0;1,7608695652173914;1,0
False;True;False;False;False;False;False;True;False;False;False;42,0;133,0;46,0;81,6425120772947;0,761482887728735;27,0;44,0;45,0;45,0;1,826086956521739;1,0
False;True;False;False;False;False;False;False;True;False;False;42,0;133,0;46,0;86,1352657004831;0,8397273638137425;31,0;44,0;45,0;45,0;1,7173913043478262;1,0
False;True;False;False;False;False;False;False;False;True;False;42,0;133,0;46,0;88,15217391304348;0,8283631281970154;33,0;43,0;45,0;45,0;1,608695652173913;1,0
False;True;False;False;False;False;False;False;False;False;True;42,0;133,0;46,0;84,04589371980677;0,8096820123398196;30,0;43,0;44,0;45,0;1,826086956521739;1,0
False;False;True;True;False;False;False;False;False;False;False;40,0;120,0;44,0;80,00575373993095;0,7440064102564102;25,0;40,0;43,0;44,0;1,75;1,0
False;False;True;False;True;False;False;False;False;False;False;40,0;120,0;44,0;80,07767548906789;0,7049358974358975;24,0;42,0;44,0;44,0;1,7045454545454546;1,0
False;False;True;False;False;True;False;False;False;False;False;40,0;120,0;44,0;86,04718066743385;0,8328365384615385;31,0;40,0;44,0;44,0;1,5681818181818181;1,0
False;False;True;False;False;False;True;False;False;False;False;40,0;120,0;44,0;82,01956271576525;0,7514423076923078;27,0;41,0;42,0;43,0;1,9090909090909092;1,0
False;False;True;False;False;False;False;True;False;False;False;40,0;120,0;44,0;81,89010356731876;0,7429166666666667;26,0;41,0;43,0;43,0;1,8409090909090908;1,0
False;False;True;False;False;False;False;False;True;False;False;40,0;120,0;44,0;84,23475258918296;0,7924358974358975;28,0;41,0;44,0;44,0;1,5681818181818181;1,0
False;False;True;False;False;False;False;False;False;True;False;40,0;120,0;44,0;89,09666283084005;0,8616666666666667;32,0;42,0;43,0;43,0;1,6136363636363635;1,0
False;False;True;False;False;False;False;False;False;False;True;40,0;120,0;44,0;79,86191024165707;0,6948076923076922;26,0;39,0;43,0;44,0;1,8181818181818181;1,0
False;False;False;True;True;False;False;False;False;False;False;42,0;133,0;46,0;81,15942028985506;0,7279570743025893;26,0;43,0;45,0;46,0;1,7391304347826086;1,0
