Gene rank;DEPICT For SNP rank;predicates For SNP rank;node2vec normal For SNP rank;node2vec graphlet For SNP rank;node2vec autoencode For SNP rank;node2vec combi For SNP rank;network distance For SNP rank;EVOKE For SNP rank;rdf2vec For SNP rank;struc2vec For SNP rank;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;45,0;159,0;49,0;82,50857865270001;0,7657596371882087;31,0;43,0;46,0;48,0;2,0408163265306123;1,0
True;False;True;False;False;False;False;False;False;False;False;40,0;120,0;44,0;80,20713463751439;0,6961858974358974;25,0;39,0;44,0;44,0;1,75;1,0
True;False;False;True;False;False;False;False;False;False;False;42,0;133,0;46,0;83,21256038647343;0,7700060644412804;30,0;42,0;45,0;45,0;2,3260869565217392;1,0
True;False;False;False;True;False;False;False;False;False;False;42,0;133,0;46,0;81,71497584541063;0,7256499499024416;27,0;43,0;46,0;46,0;1,6956521739130435;1,0
True;False;False;False;False;True;False;False;False;False;False;42,0;133,0;46,0;85,55555555555556;0,7831764488741232;30,0;43,0;46,0;46,0;1,565217391304348;1,0
True;False;False;False;False;False;True;False;False;False;False;42,0;133,0;46,0;82,22222222222221;0,7142857142857143;26,0;44,0;45,0;45,0;1,8043478260869565;1,0
True;False;False;False;False;False;False;True;False;False;False;42,0;133,0;46,0;82,34299516908212;0,7213125560301641;28,0;43,0;44,0;45,0;1,8478260869565217;1,0
True;False;False;False;False;False;False;False;True;False;False;42,0;133,0;46,0;86,24396135265701;0,7826227390180879;31,0;45,0;45,0;46,0;1,565217391304348;1,0
True;False;False;False;False;False;False;False;False;True;False;42,0;133,0;46,0;84,32367149758456;0,7687008912091968;29,0;43,0;45,0;45,0;1,826086956521739;1,0
True;False;False;False;False;False;False;False;False;False;True;42,0;133,0;46,0;82,5;0,7302312397827349;28,0;42,0;45,0;45,0;2,152173913043478;1,0
False;True;True;False;False;False;False;False;False;False;False;40,0;120,0;44,0;79,58860759493672;0,6976602564102563;27,0;38,0;42,0;43,0;2,409090909090909;1,0
False;True;False;True;False;False;False;False;False;False;False;42,0;133,0;46,0;78,58695652173914;0,6937720824764014;26,0;41,0;43,0;45,0;2,5434782608695654;1,0
False;True;False;False;True;False;False;False;False;False;False;42,0;133,0;46,0;80,92995169082126;0,7371921636871803;29,0;40,0;43,0;45,0;2,608695652173913;1,0
False;True;False;False;False;True;False;False;False;False;False;42,0;133,0;46,0;85,012077294686;0,8195828719084532;32,0;42,0;45,0;45,0;2,217391304347826;1,0
False;True;False;False;False;False;True;False;False;False;False;42,0;133,0;46,0;84,0096618357488;0,7857076939302853;31,0;42,0;44,0;45,0;1,9130434782608696;1,0
False;True;False;False;False;False;False;True;False;False;False;42,0;133,0;46,0;84,13043478260869;0,8049688867795181;29,0;44,0;45,0;45,0;1,8043478260869565;1,0
False;True;False;False;False;False;False;False;True;False;False;42,0;133,0;46,0;81,30434782608695;0,7529728945841903;29,0;41,0;44,0;45,0;2,369565217391304;1,0
False;True;False;False;False;False;False;False;False;True;False;42,0;133,0;46,0;83,84057971014492;0,7874083742023941;29,0;44,0;44,0;45,0;1,8695652173913044;1,0
False;True;False;False;False;False;False;False;False;False;True;42,0;133,0;46,0;81,268115942029;0,7532827084322101;29,0;40,0;44,0;45,0;2,4565217391304346;1,0
False;False;True;True;False;False;False;False;False;False;False;40,0;120,0;44,0;80,03452243958573;0,737051282051282;26,0;42,0;43,0;43,0;2,3636363636363638;1,0
False;False;True;False;True;False;False;False;False;False;False;40,0;120,0;44,0;77,40218642117377;0,665673076923077;25,0;40,0;43,0;43,0;2,5454545454545454;1,0
False;False;True;False;False;True;False;False;False;False;False;40,0;120,0;44,0;84,69505178365938;0,8241826923076923;30,0;40,0;43,0;43,0;1,75;1,0
False;False;True;False;False;False;True;False;False;False;False;40,0;120,0;44,0;81,38665132336018;0,7082051282051282;26,0;41,0;43,0;44,0;1,7727272727272727;1,0
False;False;True;False;False;False;False;True;False;False;False;40,0;120,0;44,0;84,45051783659379;0,7466346153846154;29,0;42,0;43,0;43,0;1,7045454545454546;1,0
False;False;True;False;False;False;False;False;True;False;False;40,0;120,0;44,0;81,77502876869967;0,7557692307692309;26,0;41,0;44,0;44,0;1,6590909090909092;1,0
False;False;True;False;False;False;False;False;False;True;False;40,0;120,0;44,0;88,59321058688148;0,847275641025641;33,0;42,0;43,0;43,0;1,9545454545454546;1,0
False;False;True;False;False;False;False;False;False;False;True;40,0;120,0;44,0;80,86881472957423;0,7191025641025641;26,0;40,0;43,0;43,0;2,090909090909091;1,0
False;False;False;True;True;False;False;False;False;False;False;42,0;133,0;46,0;81,26811594202898;0,7380688709592365;26,0;42,0;44,0;45,0;2,5;1,0
False;False;False;True;False;True;False;False;False;False;False;42,0;133,0;46,0;82,06521739130436;0,7775174023097611;29,0;42,0;45,0;45,0;2,347826086956522;1,0
False;False;False;True;False;False;True;False;False;False;False;42,0;133,0;46,0;82,36714975845412;0,7474226124558351;29,0;40,0;44,0;45,0;1,9130434782608696;1,0
False;False;False;True;False;False;False;True;False;False;False;42,0;133,0;46,0;88,5024154589372;0,8264712861888942;34,0;45,0;45,0;45,0;1,608695652173913;1,0
False;False;False;True;False;False;False;False;True;False;False;42,0;133,0;46,0;79,09420289855073;0,7301620260507304;27,0;41,0;44,0;45,0;2,0434782608695654;1,0
False;False;False;True;False;False;False;False;False;True;False;42,0;133,0;46,0;87,1376811594203;0,8193257923324369;33,0;44,0;44,0;45,0;2,1739130434782608;1,0
False;False;False;True;False;False;False;False;False;False;True;42,0;133,0;46,0;78,39371980676329;0,7001760006328113;26,0;40,0;44,0;45,0;2,5652173913043477;1,0
False;False;False;False;True;True;False;False;False;False;False;42,0;133,0;46,0;83,14009661835749;0,74515503875969;28,0;44,0;45,0;45,0;2,391304347826087;1,0
False;False;False;False;True;False;True;False;False;False;False;42,0;133,0;46,0;84,07004830917874;0,7610280546327058;30,0;44,0;45,0;45,0;1,7608695652173914;1,0
False;False;False;False;True;False;False;True;False;False;False;42,0;133,0;46,0;84,83091787439614;0,7729394083214681;30,0;44,0;45,0;45,0;1,7826086956521738;1,0
False;False;False;False;True;False;False;False;True;False;False;42,0;133,0;46,0;84,5048309178744;0,7848375784422297;30,0;43,0;45,0;45,0;2,369565217391304;1,0
False;False;False;False;True;False;False;False;False;True;False;42,0;133,0;46,0;86,03864734299516;0,8021014607393345;32,0;43,0;45,0;45,0;2,3043478260869565;1,0
False;False;False;False;True;False;False;False;False;False;True;42,0;133,0;46,0;80,89371980676329;0,7179309708379475;27,0;42,0;44,0;45,0;2,5652173913043477;1,0
False;False;False;False;False;True;True;False;False;False;False;42,0;133,0;46,0;82,91062801932367;0,7507844222960502;27,0;45,0;45,0;46,0;1,6956521739130435;1,0
False;False;False;False;False;True;False;True;False;False;False;42,0;133,0;46,0;82,27053140096618;0,7649303907609555;28,0;43,0;45,0;46,0;1,7608695652173914;1,0
False;False;False;False;False;True;False;False;True;False;False;42,0;133,0;46,0;85,31400966183575;0,8098698781838316;32,0;42,0;45,0;45,0;1,8478260869565217;1,0
False;False;False;False;False;True;False;False;False;True;False;42,0;133,0;46,0;86,20772946859904;0,800875388915256;32,0;43,0;45,0;45,0;2,152173913043478;1,0
False;False;False;False;False;True;False;False;False;False;True;42,0;133,0;46,0;85,2415458937198;0,7895704793545325;32,0;43,0;45,0;45,0;2,217391304347826;1,0
False;False;False;False;False;False;True;True;False;False;False;42,0;133,0;46,0;79,50483091787439;0,7162434741338396;27,0;42,0;44,0;45,0;1,9782608695652173;1,0
False;False;False;False;False;False;True;False;True;False;False;42,0;133,0;46,0;86,19565217391305;0,8054632705795496;32,0;44,0;45,0;46,0;1,608695652173913;1,0
False;False;False;False;False;False;True;False;False;True;False;42,0;133,0;46,0;84,32367149758454;0,7831500817381217;31,0;41,0;44,0;45,0;1,8695652173913044;1,0
False;False;False;False;False;False;True;False;False;False;True;42,0;133,0;46,0;83,81642512077295;0,7788192796498444;30,0;41,0;45,0;46,0;1,7173913043478262;1,0
False;False;False;False;False;False;False;True;True;False;False;42,0;133,0;46,0;84,81884057971014;0,7978102093550599;31,0;44,0;45,0;46,0;1,6956521739130435;1,0
False;False;False;False;False;False;False;True;False;True;False;42,0;133,0;46,0;87,70531400966183;0,8182908822443706;33,0;43,0;44,0;45,0;1,7826086956521738;1,0
False;False;False;False;False;False;False;True;False;False;True;42,0;133,0;46,0;86,81159420289855;0,8108619416758952;31,0;44,0;45,0;46,0;1,608695652173913;1,0
False;False;False;False;False;False;False;False;True;True;False;42,0;133,0;46,0;87,89855072463769;0,8167352212202711;33,0;44,0;45,0;45,0;2,0434782608695654;1,0
