Gene rank;DEPICT For SNP rank;predicates For SNP rank;node2vec normal For SNP rank;node2vec graphlet For SNP rank;node2vec autoencode For SNP rank;node2vec combi For SNP rank;network distance For SNP rank;EVOKE For SNP rank;rdf2vec For SNP rank;struc2vec For SNP rank;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;70,0;216,0;71,0;87,45329117562518;0,8612387612387612;55,0;66,0;68,0;69,0;1,6901408450704225;1,0
True;False;True;False;False;False;False;False;False;False;False;64,0;163,0;65,0;91,67692307692307;0,9205729166666667;56,0;63,0;64,0;64,0;1,3384615384615384;1,0
True;False;False;True;False;False;False;False;False;False;False;67,0;185,0;68,0;79,07810182896688;0,7680188312321762;45,0;62,0;63,0;68,0;1,9264705882352942;1,0
True;False;False;False;True;False;False;False;False;False;False;67,0;185,0;68,0;79,09045971329708;0,7636005103081485;43,0;63,0;66,0;68,0;1,7352941176470589;1,0
True;False;False;False;False;True;False;False;False;False;False;67,0;185,0;68,0;80,1099851705388;0,7807676666324603;45,0;64,0;67,0;67,0;1,75;1,0
True;False;False;False;False;False;True;False;False;False;False;67,0;185,0;68,0;79,2511122095897;0,7851630249567036;45,0;61,0;65,0;67,0;1,8970588235294117;1,0
True;False;False;False;False;False;False;True;False;False;False;67,0;185,0;68,0;82,14903608502225;0,8111568462753713;50,0;61,0;63,0;66,0;1,8676470588235294;1,0
True;False;False;False;False;False;False;False;True;False;False;67,0;185,0;68,0;80,77113198220465;0,7931535345933942;48,0;60,0;65,0;68,0;1,7647058823529411;1,0
True;False;False;False;False;False;False;False;False;True;False;67,0;185,0;68,0;85,12728620860109;0,8220800758114191;50,0;64,0;66,0;68,0;1,5735294117647058;1,0
True;False;False;False;False;False;False;False;False;False;True;67,0;185,0;68,0;84,41052891744933;0,8361762615493958;52,0;63,0;64,0;66,0;1,7941176470588236;1,0
False;True;True;False;False;False;False;False;False;False;False;64,0;163,0;65,0;90,33076923076922;0,9138764880952381;55,0;62,0;64,0;64,0;1,3846153846153846;1,0
False;True;False;True;False;False;False;False;False;False;False;67,0;185,0;68,0;84,53410776075135;0,8228554198703453;51,0;64,0;65,0;67,0;1,6911764705882353;1,0
False;True;False;False;True;False;False;False;False;False;False;67,0;185,0;68,0;82,33440434997529;0,8107137472809116;48,0;63,0;65,0;68,0;1,7205882352941178;1,0
False;True;False;False;False;True;False;False;False;False;False;67,0;185,0;68,0;80,548690064261;0,7775039685706938;45,0;62,0;64,0;68,0;1,8088235294117647;1,0
False;True;False;False;False;False;True;False;False;False;False;67,0;185,0;68,0;82,97701433514581;0,8240626191679747;49,0;62,0;64,0;67,0;1,7647058823529411;1,0
False;True;False;False;False;False;False;True;False;False;False;67,0;185,0;68,0;83,37246663371232;0,8301169857359497;51,0;62,0;63,0;68,0;1,8235294117647058;1,0
False;True;False;False;False;False;False;False;True;False;False;67,0;185,0;68,0;84,44142362827483;0,8299274255156608;51,0;63,0;65,0;68,0;1,6764705882352942;1,0
False;True;False;False;False;False;False;False;False;True;False;67,0;185,0;68,0;84,52792881858626;0,8076285240464346;51,0;63,0;64,0;68,0;1,6470588235294117;1,0
False;True;False;False;False;False;False;False;False;False;True;67,0;185,0;68,0;84,91720217498764;0,8615445499773858;53,0;62,0;63,0;67,0;1,7941176470588236;1,0
False;False;True;True;False;False;False;False;False;False;False;64,0;163,0;65,0;91,67692307692307;0,9205729166666667;56,0;63,0;64,0;64,0;1,3384615384615384;1,0
