Gene rank;DEPICT For SNP rank;predicates For SNP rank;node2vec normal For SNP rank;node2vec graphlet For SNP rank;node2vec autoencode For SNP rank;node2vec combi For SNP rank;network distance For SNP rank;EVOKE For SNP rank;rdf2vec For SNP rank;struc2vec For SNP rank;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;70,0;216,0;71,0;87,54910414870173;0,8644522144522147;57,0;64,0;68,0;70,0;1,676056338028169;1,0
True;False;True;False;False;False;False;False;False;False;False;64,0;163,0;65,0;90,66923076923077;0,8929924242424243;54,0;64,0;65,0;65,0;1,2461538461538462;1,0
True;False;False;True;False;False;False;False;False;False;False;67,0;185,0;68,0;79,46737518536825;0,7933164898704846;47,0;60,0;64,0;66,0;1,9264705882352942;1,0
True;False;False;False;True;False;False;False;False;False;False;67,0;185,0;68,0;78,2130499258527;0,7316633347142565;43,0;62,0;65,0;68,0;1,8088235294117647;1,0
True;False;False;False;False;True;False;False;False;False;False;67,0;185,0;68,0;80,6043005437469;0,7825989735559534;47,0;62,0;64,0;66,0;1,8676470588235294;1,0
True;False;False;False;False;False;True;False;False;False;False;67,0;185,0;68,0;74,74666337123085;0,6991959606094811;44,0;58,0;62,0;67,0;2,264705882352941;1,0
True;False;False;False;False;False;False;True;False;False;False;67,0;185,0;68,0;80,39421651013345;0,79368800889872;47,0;61,0;64,0;66,0;1,9264705882352942;1,0
True;False;False;False;False;False;False;False;True;False;False;67,0;185,0;68,0;78,35516559565002;0,7435357906165633;44,0;61,0;66,0;68,0;1,7794117647058822;1,0
True;False;False;False;False;False;False;False;False;True;False;67,0;185,0;68,0;77,62605042016807;0,7262631646960005;45,0;59,0;63,0;67,0;2,014705882352941;1,0
True;False;False;False;False;False;False;False;False;False;True;67,0;185,0;68,0;83,18091942659417;0,8312361353406128;51,0;61,0;65,0;68,0;1,661764705882353;1,0
False;True;True;False;False;False;False;False;False;False;False;64,0;163,0;65,0;88,24615384615385;0,8926542207792207;54,0;62,0;62,0;64,0;1,5692307692307692;1,0
False;True;False;True;False;False;False;False;False;False;False;67,0;185,0;68,0;82,52595155709342;0,7974787382162272;50,0;63,0;64,0;67,0;1,7794117647058822;1,0
False;True;False;False;True;False;False;False;False;False;False;67,0;185,0;68,0;86,5360850222442;0,8486356098296396;52,0;64,0;66,0;67,0;1,5294117647058822;1,0
False;True;False;False;False;True;False;False;False;False;False;67,0;185,0;68,0;83,58872960949087;0,8248552247674285;50,0;62,0;64,0;66,0;1,8088235294117647;1,0
False;True;False;False;False;False;True;False;False;False;False;67,0;185,0;68,0;84,18190805734058;0,8232728640981494;51,0;62,0;65,0;68,0;1,6911764705882353;1,0
False;True;False;False;False;False;False;True;False;False;False;67,0;185,0;68,0;80,66608996539793;0,7990972055941328;49,0;61,0;63,0;67,0;1,9558823529411764;1,0
False;True;False;False;False;False;False;False;True;False;False;67,0;185,0;68,0;84,39199209095403;0,81917950355176;49,0;64,0;65,0;66,0;1,6911764705882353;1,0
False;True;False;False;False;False;False;False;False;True;False;67,0;185,0;68,0;87,0365793376174;0,8408337102366953;53,0;66,0;66,0;68,0;1,4852941176470589;1,0
False;True;False;False;False;False;False;False;False;False;True;67,0;185,0;68,0;82,8348986653485;0,8051974973616765;50,0;62,0;65,0;68,0;1,6911764705882353;1,0
False;False;True;True;False;False;False;False;False;False;False;64,0;163,0;65,0;91,98461538461538;0,9217566287878788;56,0;63,0;64,0;65,0;1,2615384615384615;1,0
False;False;True;False;True;False;False;False;False;False;False;64,0;163,0;65,0;91,81538461538462;0,9139441287878788;56,0;64,0;64,0;65,0;1,2615384615384615;1,0
False;False;True;False;False;True;False;False;False;False;False;64,0;163,0;65,0;89,86923076923077;0,9116556186868687;55,0;62,0;63,0;65,0;1,3846153846153846;1,0
False;False;True;False;False;False;True;False;False;False;False;64,0;163,0;65,0;88,77692307692308;0,9109848484848485;54,0;62,0;63,0;65,0;1,4;1,0
False;False;True;False;False;False;False;True;False;False;False;64,0;163,0;65,0;85,93846153846155;0,8808892496392497;53,0;61,0;62,0;64,0;1,6153846153846154;1,0
False;False;True;False;False;False;False;False;True;False;False;64,0;163,0;65,0;92,05384615384617;0,9246764520202021;56,0;64,0;64,0;65,0;1,2769230769230768;1,0
False;False;True;False;False;False;False;False;False;True;False;64,0;163,0;65,0;91,27692307692307;0,922103851010101;55,0;64,0;65,0;65,0;1,2461538461538462;1,0
False;False;True;False;False;False;False;False;False;False;True;64,0;163,0;65,0;89,58461538461539;0,8964646464646465;54,0;62,0;65,0;65,0;1,323076923076923;1,0
False;False;False;True;True;False;False;False;False;False;False;67,0;185,0;68,0;78,59614434008898;0,7585780354656562;45,0;62,0;63,0;66,0;2,0588235294117645;1,0
False;False;False;True;False;True;False;False;False;False;False;67,0;185,0;68,0;78,75679683638161;0,7686659014578241;45,0;59,0;65,0;68,0;1,8235294117647058;1,0
False;False;False;True;False;False;True;False;False;False;False;67,0;185,0;68,0;80,86999505684626;0,7813927244348667;47,0;62,0;64,0;67,0;1,8235294117647058;1,0
False;False;False;True;False;False;False;True;False;False;False;67,0;185,0;68,0;82,01927829955513;0,8216740337021285;49,0;60,0;66,0;68,0;1,7205882352941178;1,0
False;False;False;True;False;False;False;False;True;False;False;67,0;185,0;68,0;80,46836381611469;0,7751841125414436;45,0;65,0;67,0;67,0;1,7205882352941178;1,0
False;False;False;True;False;False;False;False;False;True;False;67,0;185,0;68,0;80,62901631240732;0,7835101928605003;47,0;63,0;63,0;67,0;1,9264705882352942;1,0
False;False;False;True;False;False;False;False;False;False;True;67,0;185,0;68,0;83,44661393969352;0,8175920752742526;51,0;61,0;64,0;67,0;1,75;1,0
False;False;False;False;True;True;False;False;False;False;False;67,0;185,0;68,0;77,88556599110234;0,7574850157159201;44,0;61,0;63,0;68,0;1,9264705882352942;1,0
False;False;False;False;True;False;True;False;False;False;False;67,0;185,0;68,0;78,37370242214534;0,7621730284153462;44,0;61,0;66,0;68,0;1,8235294117647058;1,0
False;False;False;False;True;False;False;True;False;False;False;67,0;185,0;68,0;82,28497281265447;0,8029718671729207;51,0;60,0;64,0;68,0;1,8235294117647058;1,0
False;False;False;False;True;False;False;False;True;False;False;67,0;185,0;68,0;81,85862580326248;0,7936884839869914;48,0;61,0;66,0;68,0;1,661764705882353;1,0
False;False;False;False;True;False;False;False;False;True;False;67,0;185,0;68,0;81,77212061295106;0,7768085977041201;49,0;59,0;65,0;67,0;1,7794117647058822;1,0
False;False;False;False;True;False;False;False;False;False;True;67,0;185,0;68,0;82,13049925852694;0,8011377097197993;51,0;62,0;63,0;66,0;1,9264705882352942;1,0
False;False;False;False;False;True;True;False;False;False;False;67,0;185,0;68,0;77,03905091448343;0,7364083580062508;46,0;59,0;63,0;68,0;2,073529411764706;1,0
False;False;False;False;False;True;False;True;False;False;False;67,0;185,0;68,0;83,98418190805735;0,8288237954611967;50,0;63,0;65,0;68,0;1,661764705882353;1,0
False;False;False;False;False;True;False;False;True;False;False;67,0;185,0;68,0;82,3900148294612;0,7850054540133555;50,0;61,0;64,0;67,0;1,8529411764705883;1,0
False;False;False;False;False;True;False;False;False;True;False;67,0;185,0;68,0;79,1398912506179;0,7492056524102179;46,0;61,0;62,0;66,0;2,1029411764705883;1,0
False;False;False;False;False;True;False;False;False;False;True;67,0;185,0;68,0;78,76297577854673;0,7841990708540313;48,0;57,0;64,0;68,0;1,9411764705882353;1,0
False;False;False;False;False;False;True;True;False;False;False;67,0;185,0;68,0;81,73504695996046;0,7945621713180976;49,0;60,0;66,0;68,0;1,7058823529411764;1,0
False;False;False;False;False;False;True;False;True;False;False;67,0;185,0;68,0;78,51581809194266;0,7666147870274298;47,0;59,0;63,0;67,0;2,0441176470588234;1,0
False;False;False;False;False;False;True;False;False;True;False;67,0;185,0;68,0;78,38606030647554;0,7422177373889401;46,0;58,0;63,0;68,0;1,9852941176470589;1,0
False;False;False;False;False;False;True;False;False;False;True;67,0;185,0;68,0;82,30968858131489;0,8262567351680609;50,0;61,0;64,0;68,0;1,75;1,0
False;False;False;False;False;False;False;True;True;False;False;67,0;185,0;68,0;79,81339594661394;0,7797189884547217;46,0;64,0;65,0;68,0;1,8235294117647058;1,0
False;False;False;False;False;False;False;True;False;True;False;67,0;185,0;68,0;82,3714780029659;0,8124934279455789;49,0;63,0;64,0;68,0;1,7058823529411764;1,0
False;False;False;False;False;False;False;True;False;False;True;67,0;185,0;68,0;88,29090459713298;0,8997576416364825;54,0;66,0;67,0;68,0;1,411764705882353;1,0
False;False;False;False;False;False;False;False;True;True;False;67,0;185,0;68,0;80,31389026198713;0,7607686674850854;47,0;61,0;64,0;67,0;2,0;1,0
False;False;False;False;False;False;False;False;True;False;True;67,0;185,0;68,0;82,14903608502226;0,8367420916806343;50,0;61,0;63,0;68,0;1,8235294117647058;1,0
False;False;False;False;False;False;False;False;False;True;True;67,0;185,0;68,0;84,90484429065745;0,868431112834098;52,0;63,0;66,0;67,0;1,6470588235294117;1,0
True;True;True;False;False;False;False;False;False;False;False;64,0;163,0;65,0;88,0923076923077;0,8928064123376623;53,0;62,0;64,0;65,0;1,3692307692307693;1,0
True;True;False;True;False;False;False;False;False;False;False;67,0;185,0;68,0;84,34873949579833;0,838690428681649;50,0;62,0;66,0;67,0;1,6323529411764706;1,0
True;True;False;False;True;False;False;False;False;False;False;67,0;185,0;68,0;83,3292140385566;0,8211728155758008;49,0;63,0;66,0;67,0;1,661764705882353;1,0
True;True;False;False;False;True;False;False;False;False;False;67,0;185,0;68,0;84,95427582797824;0,8477676235577905;51,0;65,0;65,0;66,0;1,7205882352941178;1,0
True;True;False;False;False;False;True;False;False;False;False;67,0;185,0;68,0;83,08205635195253;0,8342828764251065;50,0;63,0;65,0;66,0;1,8088235294117647;1,0
True;True;False;False;False;False;False;True;False;False;False;67,0;185,0;68,0;82,11814137419674;0,8214337973995568;48,0;63,0;66,0;68,0;1,7058823529411764;1,0
True;True;False;False;False;False;False;False;True;False;False;67,0;185,0;68,0;79,00395452298567;0,7565554263315458;44,0;61,0;65,0;67,0;1,9264705882352942;1,0
True;True;False;False;False;False;False;False;False;True;False;67,0;185,0;68,0;83,71848739495799;0,7986582240313583;50,0;63,0;67,0;68,0;1,588235294117647;1,0
True;True;False;False;False;False;False;False;False;False;True;67,0;185,0;68,0;84,45996045477014;0,8383246107126705;52,0;62,0;66,0;67,0;1,6470588235294117;1,0
True;False;True;True;False;False;False;False;False;False;False;64,0;163,0;65,0;89,25384615384615;0,8849431818181819;52,0;63,0;65,0;65,0;1,2923076923076924;1,0
True;False;True;False;True;False;False;False;False;False;False;64,0;163,0;65,0;89,36923076923077;0,8771306818181819;53,0;62,0;65,0;65,0;1,3076923076923077;1,0
True;False;True;False;False;True;False;False;False;False;False;64,0;163,0;65,0;85,6923076923077;0,8422032828282828;51,0;61,0;63,0;65,0;1,523076923076923;1,0
True;False;True;False;False;False;True;False;False;False;False;64,0;163,0;65,0;82,06923076923077;0,8336286976911977;48,0;59,0;63,0;65,0;1,6153846153846154;1,0
True;False;True;False;False;False;False;True;False;False;False;64,0;163,0;65,0;88,97692307692309;0,9156238726551227;55,0;61,0;63,0;65,0;1,4615384615384615;1,0
True;False;True;False;False;False;False;False;True;False;False;64,0;163,0;65,0;83,43076923076922;0,8175087932900433;48,0;61,0;63,0;64,0;1,6307692307692307;1,0
True;False;True;False;False;False;False;False;False;True;False;64,0;163,0;65,0;87,20769230769231;0,865072601010101;50,0;63,0;64,0;65,0;1,3692307692307693;1,0
True;False;True;False;False;False;False;False;False;False;True;64,0;163,0;65,0;87,56923076923077;0,8599195075757576;51,0;64,0;65,0;65,0;1,3384615384615384;1,0
True;False;False;True;True;False;False;False;False;False;False;67,0;185,0;68,0;75,71057834898666;0,7315914380225179;44,0;58,0;63,0;68,0;2,0441176470588234;1,0
True;False;False;True;False;True;False;False;False;False;False;67,0;185,0;68,0;77,49629263470094;0,736805531801142;44,0;62,0;63,0;67,0;1,9852941176470589;1,0
True;False;False;True;False;False;True;False;False;False;False;67,0;185,0;68,0;77,8114186851211;0,7631705554225308;47,0;58,0;62,0;67,0;2,088235294117647;1,0
True;False;False;True;False;False;False;True;False;False;False;67,0;185,0;68,0;78,33662876915471;0,760870178012408;45,0;60,0;64,0;67,0;1,9705882352941178;1,0
True;False;False;True;False;False;False;False;True;False;False;67,0;185,0;68,0;76,12456747404845;0,7107341127314788;43,0;60,0;66,0;68,0;1,911764705882353;1,0
True;False;False;True;False;False;False;False;False;True;False;67,0;185,0;68,0;78,16361838853189;0,7323043871551332;45,0;61,0;62,0;67,0;2,014705882352941;1,0
True;False;False;True;False;False;False;False;False;False;True;67,0;185,0;68,0;80,67844784972812;0,8123068766176754;49,0;61,0;65,0;68,0;1,8235294117647058;1,0
True;False;False;False;True;True;False;False;False;False;False;67,0;185,0;68,0;78,04003954522986;0,7219606069474375;43,0;64,0;64,0;67,0;1,8970588235294117;1,0
True;False;False;False;True;False;True;False;False;False;False;67,0;185,0;68,0;76,890756302521;0,740386113739933;46,0;60,0;62,0;67,0;2,1323529411764706;1,0
True;False;False;False;True;False;False;True;False;False;False;67,0;185,0;68,0;78,55907068709837;0,7579575701832068;46,0;60,0;63,0;67,0;2,014705882352941;1,0
True;False;False;False;True;False;False;False;True;False;False;67,0;185,0;68,0;76,68067226890757;0,7119674418840355;42,0;60,0;66,0;68,0;1,8529411764705883;1,0
True;False;False;False;True;False;False;False;False;True;False;67,0;185,0;68,0;77,15027187345525;0,7178312980551785;44,0;58,0;62,0;68,0;2,014705882352941;1,0
True;False;False;False;True;False;False;False;False;False;True;67,0;185,0;68,0;81,38284725654968;0,7937961706618423;50,0;61,0;64,0;67,0;1,838235294117647;1,0
True;False;False;False;False;True;True;False;False;False;False;67,0;185,0;68,0;72,71379139891249;0,6685079504438592;42,0;58,0;61,0;66,0;2,3676470588235294;1,0
True;False;False;False;False;True;False;True;False;False;False;67,0;185,0;68,0;78,83712308452792;0,7718713220249656;44,0;62,0;62,0;68,0;1,9558823529411764;1,0
True;False;False;False;False;True;False;False;True;False;False;67,0;185,0;68,0;79,41794364804745;0,7648225957049487;47,0;62,0;64,0;66,0;1,9411764705882353;1,0
True;False;False;False;False;True;False;False;False;True;False;67,0;185,0;68,0;75,67968363816114;0,7090627521926907;42,0;62,0;62,0;67,0;2,1176470588235294;1,0
True;False;False;False;False;True;False;False;False;False;True;67,0;185,0;68,0;79,1646070192783;0,766133997696772;47,0;63,0;65,0;67,0;1,9264705882352942;1,0
True;False;False;False;False;False;True;True;False;False;False;67,0;185,0;68,0;77,17498764211567;0,7486923987143479;46,0;60,0;61,0;68,0;2,1029411764705883;1,0
True;False;False;False;False;False;True;False;True;False;False;67,0;185,0;68,0;75,0679683638161;0,7170901603517935;46,0;57,0;61,0;65,0;2,3529411764705883;1,0
True;False;False;False;False;False;True;False;False;True;False;67,0;185,0;68,0;75,15447355412753;0,7133116249665854;43,0;58,0;61,0;67,0;2,1911764705882355;1,0
True;False;False;False;False;False;True;False;False;False;True;67,0;185,0;68,0;78,02150271873455;0,7643527334045332;47,0;59,0;62,0;67,0;2,0294117647058822;1,0
True;False;False;False;False;False;False;True;True;False;False;67,0;185,0;68,0;77,61369253583786;0,7473073580404573;44,0;61,0;63,0;66,0;2,0294117647058822;1,0
True;False;False;False;False;False;False;True;False;True;False;67,0;185,0;68,0;80,38185862580326;0,7808194512540432;48,0;59,0;63,0;67,0;1,8970588235294117;1,0
True;False;False;False;False;False;False;True;False;False;True;67,0;185,0;68,0;82,11196243203163;0,8271142694979394;50,0;61,0;62,0;68,0;1,8235294117647058;1,0
True;False;False;False;False;False;False;False;True;True;False;67,0;185,0;68,0;75,36455758774098;0,7230948010140286;44,0;59,0;62,0;65,0;2,323529411764706;1,0
True;False;False;False;False;False;False;False;True;False;True;67,0;185,0;68,0;74,9567474048443;0,726363091595752;42,0;59,0;62,0;67,0;2,2205882352941178;1,0
True;False;False;False;False;False;False;False;False;True;True;67,0;185,0;68,0;79,32525951557093;0,7514133876074174;47,0;60,0;63,0;68,0;1,8823529411764706;1,0
False;True;True;True;False;False;False;False;False;False;False;64,0;163,0;65,0;86,38461538461539;0,8803774350649352;52,0;61,0;62,0;64,0;1,5846153846153845;1,0
False;True;True;False;True;False;False;False;False;False;False;64,0;163,0;65,0;88,1923076923077;0,8980372925685426;54,0;61,0;63,0;64,0;1,4923076923076923;1,0
False;True;True;False;False;True;False;False;False;False;False;64,0;163,0;65,0;88,08461538461538;0,8914141414141414;55,0;61,0;61,0;63,0;1,6307692307692307;1,0
False;True;True;False;False;False;True;False;False;False;False;64,0;163,0;65,0;83,54615384615384;0,8630794552669554;50,0;59,0;61,0;65,0;1,7384615384615385;1,0
False;True;True;False;False;False;False;True;False;False;False;64,0;163,0;65,0;85,54615384615386;0,8841799693362193;52,0;61,0;62,0;64,0;1,5692307692307692;1,0
False;True;True;False;False;False;False;False;True;False;False;64,0;163,0;65,0;84,3;0,8571270743145744;50,0;61,0;61,0;63,0;1,7384615384615385;1,0
False;True;True;False;False;False;False;False;False;True;False;64,0;163,0;65,0;88,99230769230769;0,9098992153679654;54,0;61,0;64,0;65,0;1,353846153846154;1,0
False;True;True;False;False;False;False;False;False;False;True;64,0;163,0;65,0;87,52307692307694;0,8935493326118326;53,0;61,0;63,0;65,0;1,476923076923077;1,0
False;True;False;True;True;False;False;False;False;False;False;67,0;185,0;68,0;85,89347503707366;0,8357078245137947;52,0;63,0;67,0;68,0;1,5294117647058822;1,0
False;True;False;True;False;True;False;False;False;False;False;67,0;185,0;68,0;82,38383588729609;0,8041255398586391;49,0;62,0;64,0;66,0;1,838235294117647;1,0
False;True;False;True;False;False;True;False;False;False;False;67,0;185,0;68,0;81,78447849728127;0,7872624400280239;50,0;60,0;64,0;68,0;1,8235294117647058;1,0
False;True;False;True;False;False;False;True;False;False;False;67,0;185,0;68,0;80,40657439446368;0,7891469568379138;49,0;59,0;64,0;67,0;1,911764705882353;1,0
False;True;False;True;False;False;False;False;True;False;False;67,0;185,0;68,0;84,12011863568958;0,826114525412155;50,0;62,0;65,0;66,0;1,7352941176470589;1,0
False;True;False;True;False;False;False;False;False;True;False;67,0;185,0;68,0;86,62876915472071;0,8492386552088044;52,0;65,0;68,0;68,0;1,4411764705882353;1,0
False;True;False;True;False;False;False;False;False;False;True;67,0;185,0;68,0;81,59293129016312;0,79177973767526;50,0;59,0;64,0;68,0;1,8235294117647058;1,0
False;True;False;False;True;True;False;False;False;False;False;67,0;185,0;68,0;83,41571922886801;0,8209165846347585;50,0;62,0;64,0;66,0;1,7941176470588236;1,0
False;True;False;False;True;False;True;False;False;False;False;67,0;185,0;68,0;83,00790904597135;0,8173067055858977;50,0;62,0;65,0;68,0;1,7205882352941178;1,0
False;True;False;False;True;False;False;True;False;False;False;67,0;185,0;68,0;81,51260504201682;0,8061722201318339;48,0;61,0;65,0;68,0;1,75;1,0
False;True;False;False;True;False;False;False;True;False;False;67,0;185,0;68,0;82,72367770637666;0,7773543157652026;48,0;63,0;65,0;66,0;1,7647058823529411;1,0
False;True;False;False;True;False;False;False;False;True;False;67,0;185,0;68,0;85,72046465645082;0,8289235639981909;51,0;65,0;67,0;68,0;1,4705882352941178;1,0
False;True;False;False;True;False;False;False;False;False;True;67,0;185,0;68,0;81,68561542263966;0,8026507075014537;48,0;61,0;65,0;68,0;1,6911764705882353;1,0
False;True;False;False;False;True;True;False;False;False;False;67,0;185,0;68,0;83,42189817103312;0,8153195697093854;51,0;61,0;65,0;66,0;1,7794117647058822;1,0
False;True;False;False;False;True;False;True;False;False;False;67,0;185,0;68,0;82,26643598615917;0,8157347968585895;48,0;65,0;66,0;68,0;1,6470588235294117;1,0
False;True;False;False;False;True;False;False;True;False;False;67,0;185,0;68,0;83,24270884824519;0,8079450911979447;48,0;63,0;65,0;67,0;1,7205882352941178;1,0
False;True;False;False;False;True;False;False;False;True;False;67,0;185,0;68,0;83,42189817103312;0,8302150122826154;49,0;63,0;64,0;67,0;1,7647058823529411;1,0
False;True;False;False;False;True;False;False;False;False;True;67,0;185,0;68,0;79,47973306969845;0,7930795791858126;47,0;60,0;62,0;67,0;1,9411764705882353;1,0
False;True;False;False;False;False;True;True;False;False;False;67,0;185,0;68,0;79,1955017301038;0,7873199257088632;46,0;59,0;66,0;68,0;1,7794117647058822;1,0
False;True;False;False;False;False;True;False;True;False;False;67,0;185,0;68,0;84,40434997528423;0,8291471722112636;51,0;62,0;65,0;67,0;1,7058823529411764;1,0
False;True;False;False;False;False;True;False;False;True;False;67,0;185,0;68,0;83,04498269896193;0,8187999080229107;49,0;62,0;65,0;66,0;1,7941176470588236;1,0
False;True;False;False;False;False;True;False;False;False;True;67,0;185,0;68,0;79,39322787938706;0,779468300210179;47,0;60,0;65,0;68,0;1,8823529411764706;1,0
False;True;False;False;False;False;False;True;True;False;False;67,0;185,0;68,0;80,95032130499258;0,7939979248144304;49,0;61,0;63,0;68,0;1,8970588235294117;1,0
False;True;False;False;False;False;False;True;False;True;False;67,0;185,0;68,0;82,23554127533367;0,7958336658951233;49,0;62,0;64,0;67,0;1,7941176470588236;1,0
False;True;False;False;False;False;False;True;False;False;True;67,0;185,0;68,0;83,58255066732578;0,8652245837276565;50,0;62,0;66,0;68,0;1,661764705882353;1,0
False;True;False;False;False;False;False;False;True;True;False;67,0;185,0;68,0;86,73999011369253;0,8421528720036183;52,0;64,0;66,0;68,0;1,5294117647058822;1,0
False;True;False;False;False;False;False;False;True;False;True;67,0;185,0;68,0;84,86777063766682;0,8436793306196292;51,0;63,0;65,0;68,0;1,6323529411764706;1,0
False;True;False;False;False;False;False;False;False;True;True;67,0;185,0;68,0;83,78645575877411;0,823854213779587;49,0;63,0;67,0;68,0;1,5735294117647058;1,0
False;False;True;True;True;False;False;False;False;False;False;64,0;163,0;65,0;92,20769230769231;0,9256628787878788;56,0;64,0;64,0;65,0;1,2461538461538462;1,0
False;False;True;True;False;True;False;False;False;False;False;64,0;163,0;65,0;89,41538461538462;0,904592803030303;55,0;62,0;63,0;65,0;1,4153846153846155;1,0
False;False;True;True;False;False;True;False;False;False;False;64,0;163,0;65,0;87,79230769230769;0,9045296717171717;53,0;62,0;62,0;65,0;1,4615384615384615;1,0
False;False;True;True;False;False;False;True;False;False;False;64,0;163,0;65,0;87,72307692307693;0,8989267676767676;53,0;61,0;62,0;65,0;1,5076923076923077;1,0
False;False;True;True;False;False;False;False;True;False;False;64,0;163,0;65,0;91,04615384615386;0,9154434974747475;56,0;63,0;64,0;65,0;1,323076923076923;1,0
False;False;True;True;False;False;False;False;False;True;False;64,0;163,0;65,0;89,43846153846154;0,9180668290043291;54,0;62,0;65,0;65,0;1,3076923076923077;1,0
False;False;True;True;False;False;False;False;False;False;True;64,0;163,0;65,0;90,02307692307693;0,9008443813131313;55,0;62,0;63,0;65,0;1,4153846153846155;1,0
False;False;True;False;True;True;False;False;False;False;False;64,0;163,0;65,0;89,84615384615385;0,9123500631313132;55,0;62,0;63,0;65,0;1,3846153846153846;1,0
False;False;True;False;True;False;True;False;False;False;False;64,0;163,0;65,0;88,52307692307693;0,9037247474747475;54,0;61,0;63,0;65,0;1,4307692307692308;1,0
False;False;True;False;True;False;False;True;False;False;False;64,0;163,0;65,0;85,28461538461539;0,8736539502164503;52,0;59,0;63,0;64,0;1,6307692307692307;1,0
False;False;True;False;True;False;False;False;True;False;False;64,0;163,0;65,0;92,05384615384617;0,9246764520202021;56,0;64,0;64,0;65,0;1,2769230769230768;1,0
False;False;True;False;True;False;False;False;False;True;False;64,0;163,0;65,0;89,7;0,8979719065656566;55,0;62,0;64,0;65,0;1,3692307692307693;1,0
False;False;True;False;True;False;False;False;False;False;True;64,0;163,0;65,0;92,52307692307693;0,9333570075757576;56,0;64,0;65,0;65,0;1,2;1,0
False;False;True;False;False;True;True;False;False;False;False;64,0;163,0;65,0;88,55384615384617;0,9053977272727274;54,0;61,0;63,0;65,0;1,4153846153846155;1,0
False;False;True;False;False;True;False;True;False;False;False;64,0;163,0;65,0;86,25384615384615;0,8930036976911977;53,0;59,0;63,0;65,0;1,5538461538461539;1,0
