Gene rank;DEPICT For SNP rank;predicates For SNP rank;node2vec normal For SNP rank;node2vec graphlet For SNP rank;node2vec autoencode For SNP rank;node2vec combi For SNP rank;network distance For SNP rank;EVOKE For SNP rank;rdf2vec For SNP rank;struc2vec For SNP rank;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;46,0;127,0;46,0;75,02557544757032;0,7461956521739131;30,0;41,0;44,0;46,0;1,826086956521739;1,0
True;False;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;80,71172248803828;0,844298245614035;30,0;36,0;38,0;38,0;1,394736842105263;1,0
True;False;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;73,08039747064137;0,7408536585365854;29,0;37,0;41,0;41,0;1,5853658536585367;1,0
True;False;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;70,09936766034328;0,7073170731707317;26,0;39,0;40,0;41,0;1,6585365853658536;1,0
True;False;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;77,14543812104789;0,7774390243902438;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
True;False;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;77,14543812104789;0,7754065040650406;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
True;False;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;79,49412827461609;0,7987804878048781;30,0;39,0;40,0;41,0;1,5121951219512195;1,0
True;False;False;False;False;False;False;False;True;False;False;41,0;91,0;41,0;71,36404697380307;0,7317073170731707;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;False;False;True;False;41,0;91,0;41,0;76,64859981933154;0,7672764227642276;28,0;39,0;40,0;41,0;1,4878048780487805;1,0
True;False;False;False;False;False;False;False;False;False;True;41,0;91,0;41,0;73,87082204155374;0,7459349593495935;27,0;38,0;41,0;41,0;1,5365853658536586;1,0
False;True;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;81,75837320574163;0,8464912280701755;31,0;35,0;38,0;38,0;1,4210526315789473;1,0
False;True;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;72,76422764227642;0,7388211382113822;28,0;37,0;40,0;41,0;1,6341463414634145;1,0
False;True;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;76,49051490514906;0,7876016260162603;30,0;38,0;40,0;41,0;1,5365853658536586;1,0
False;True;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;75,56458897922312;0,7693089430894309;27,0;40,0;40,0;41,0;1,5365853658536586;1,0
False;True;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;81,61698283649505;0,8282520325203253;31,0;40,0;40,0;41,0;1,3902439024390243;1,0
False;True;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;75,63233965672991;0,7804878048780488;28,0;39,0;40,0;41,0;1,5853658536585367;1,0
False;True;False;False;False;False;False;False;True;False;False;41,0;91,0;41,0;73,12556458897923;0,7591463414634146;28,0;39,0;40,0;41,0;1,5853658536585367;1,0
False;True;False;False;False;False;False;False;False;True;False;41,0;91,0;41,0;75,76784101174346;0,7611788617886178;28,0;39,0;40,0;41,0;1,5121951219512195;1,0
False;True;False;False;False;False;False;False;False;False;True;41,0;91,0;41,0;75,88075880758808;0,7997967479674796;29,0;38,0;40,0;41,0;1,5365853658536586;1,0
False;False;True;True;False;False;False;False;False;False;False;38,0;78,0;38,0;79,21650717703349;0,8240131578947368;30,0;35,0;38,0;38,0;1,4473684210526316;1,0
False;False;True;False;True;False;False;False;False;False;False;38,0;78,0;38,0;81,96770334928229;0,8410087719298245;31,0;35,0;38,0;38,0;1,394736842105263;1,0
False;False;True;False;False;True;False;False;False;False;False;38,0;78,0;38,0;83,25358851674642;0,8464912280701755;31,0;36,0;38,0;38,0;1,368421052631579;1,0
False;False;True;False;False;False;True;False;False;False;False;38,0;78,0;38,0;79,8444976076555;0,8410087719298246;29,0;36,0;37,0;38,0;1,4210526315789473;1,0
False;False;True;False;False;False;False;True;False;False;False;38,0;78,0;38,0;79,72488038277513;0,8256578947368421;29,0;36,0;37,0;38,0;1,4736842105263157;1,0
False;False;True;False;False;False;False;False;True;False;False;38,0;78,0;38,0;83,97129186602872;0,8585526315789473;31,0;37,0;38,0;38,0;1,3157894736842106;1,0
False;False;True;False;False;False;False;False;False;True;False;38,0;78,0;38,0;79,72488038277513;0,8399122807017543;30,0;36,0;38,0;38,0;1,4210526315789473;1,0
False;False;True;False;False;False;False;False;False;False;True;38,0;78,0;38,0;81,69856459330144;0,8514254385964911;30,0;36,0;38,0;38,0;1,368421052631579;1,0
False;False;False;True;True;False;False;False;False;False;False;41,0;91,0;41,0;75,38392050587174;0,7372967479674797;29,0;37,0;40,0;41,0;1,5609756097560976;1,0
False;False;False;True;False;True;False;False;False;False;False;41,0;91,0;41,0;74,77416440831075;0,7632113821138211;27,0;40,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;True;False;False;True;False;False;False;False;41,0;91,0;41,0;73,89340560072269;0,7489837398373984;27,0;40,0;40,0;41,0;1,5365853658536586;1,0
False;False;False;True;False;False;False;True;False;False;False;41,0;91,0;41,0;70,66395663956641;0,7195121951219512;25,0;38,0;40,0;41,0;1,6829268292682926;1,0
False;False;False;True;False;False;False;False;True;False;False;41,0;91,0;41,0;68,15718157181573;0,6768292682926829;25,0;38,0;40,0;41,0;1,6829268292682926;1,0
False;False;False;True;False;False;False;False;False;True;False;41,0;91,0;41,0;72,78681120144535;0,7408536585365852;26,0;39,0;40,0;41,0;1,5609756097560976;1,0
False;False;False;True;False;False;False;False;False;False;True;41,0;91,0;41,0;71,86088527551942;0,7159552845528455;27,0;38,0;41,0;41,0;1,6097560975609757;1,0
False;False;False;False;True;True;False;False;False;False;False;41,0;91,0;41,0;77,14543812104789;0,7774390243902438;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
False;False;False;False;True;False;True;False;False;False;False;41,0;91,0;41,0;77,14543812104789;0,7754065040650406;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
False;False;False;False;True;False;False;True;False;False;False;41,0;91,0;41,0;79,49412827461609;0,7987804878048781;30,0;39,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;True;False;False;False;True;False;False;41,0;91,0;41,0;74,97741644083108;0,7215447154471545;28,0;39,0;41,0;41,0;1,5121951219512195;1,0
False;False;False;False;True;False;False;False;False;True;False;41,0;91,0;41,0;76,64859981933154;0,7672764227642276;28,0;39,0;40,0;41,0;1,4878048780487805;1,0
False;False;False;False;True;False;False;False;False;False;True;41,0;91,0;41,0;73,87082204155374;0,7296747967479675;27,0;38,0;41,0;41,0;1,5365853658536586;1,0
False;False;False;False;False;True;True;False;False;False;False;41,0;91,0;41,0;75,60975609756098;0,7317073170731706;27,0;40,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;True;False;True;False;False;False;41,0;91,0;41,0;78,5004516711834;0,7743902439024389;29,0;40,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;True;False;False;True;False;False;41,0;91,0;41,0;77,14543812104789;0,771341463414634;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
False;False;False;False;False;True;False;False;False;True;False;41,0;91,0;41,0;78,04878048780488;0,7469512195121951;29,0;39,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;True;False;False;False;False;True;41,0;91,0;41,0;73,66757000903344;0,7367886178861789;26,0;39,0;40,0;41,0;1,5365853658536586;1,0
False;False;False;False;False;False;True;True;False;False;False;41,0;91,0;41,0;79,38121047877146;0,7845528455284554;29,0;40,0;40,0;41,0;1,4878048780487805;1,0
False;False;False;False;False;False;True;False;True;False;False;41,0;91,0;41,0;77,14543812104789;0,7754065040650406;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
False;False;False;False;False;False;True;False;False;True;False;41,0;91,0;41,0;80,23938572719061;0,785569105691057;31,0;39,0;40,0;41,0;1,4390243902439024;1,0
False;False;False;False;False;False;True;False;False;False;True;41,0;91,0;41,0;75,15808491418248;0,7591463414634146;27,0;39,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;False;False;True;True;False;False;41,0;91,0;41,0;72,6513098464318;0,7296747967479674;26,0;39,0;40,0;41,0;1,6341463414634145;1,0
False;False;False;False;False;False;False;True;False;True;False;41,0;91,0;41,0;77,39385727190606;0,758130081300813;28,0;39,0;40,0;41,0;1,5365853658536586;1,0
False;False;False;False;False;False;False;True;False;False;True;41,0;91,0;41,0;75,02258355916894;0,7540650406504065;27,0;39,0;40,0;41,0;1,5853658536585367;1,0
False;False;False;False;False;False;False;False;True;True;False;41,0;91,0;41,0;75,76784101174346;0,7510162601626016;28,0;39,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;False;False;False;True;False;True;41,0;91,0;41,0;74,11924119241192;0,7515243902439024;27,0;38,0;41,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;False;False;False;False;True;True;41,0;91,0;41,0;75,15808491418248;0,7428861788617885;27,0;39,0;40,0;41,0;1,5121951219512195;1,0
True;True;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;81,75837320574163;0,8464912280701755;31,0;35,0;38,0;38,0;1,4210526315789473;1,0
True;True;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;71,27371273712737;0,7144308943089431;27,0;37,0;40,0;41,0;1,6585365853658536;1,0
True;True;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;76,49051490514906;0,7876016260162603;30,0;38,0;40,0;41,0;1,5365853658536586;1,0
True;True;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;75,56458897922312;0,7693089430894309;27,0;40,0;40,0;41,0;1,5365853658536586;1,0
True;True;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;78,74887082204157;0,809959349593496;30,0;39,0;40,0;41,0;1,4634146341463414;1,0
True;True;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;77,12285456187895;0,804878048780488;29,0;39,0;40,0;41,0;1,5609756097560976;1,0
True;True;False;False;False;False;False;False;True;False;False;41,0;91,0;41,0;73,12556458897923;0,7591463414634146;28,0;39,0;40,0;41,0;1,5853658536585367;1,0
True;True;False;False;False;False;False;False;False;True;False;41,0;91,0;41,0;75,76784101174346;0,7611788617886178;28,0;39,0;40,0;41,0;1,5121951219512195;1,0
True;True;False;False;False;False;False;False;False;False;True;41,0;91,0;41,0;75,88075880758808;0,7997967479674796;29,0;38,0;40,0;41,0;1,5365853658536586;1,0
True;False;True;True;False;False;False;False;False;False;False;38,0;78,0;38,0;79,21650717703349;0,8278508771929824;30,0;35,0;38,0;38,0;1,4473684210526316;1,0
True;False;True;False;True;False;False;False;False;False;False;38,0;78,0;38,0;81,96770334928229;0,8541666666666665;31,0;35,0;38,0;38,0;1,394736842105263;1,0
True;False;True;False;False;True;False;False;False;False;False;38,0;78,0;38,0;83,25358851674642;0,8464912280701755;31,0;36,0;38,0;38,0;1,368421052631579;1,0
True;False;True;False;False;False;True;False;False;False;False;38,0;78,0;38,0;79,8444976076555;0,8410087719298246;29,0;36,0;37,0;38,0;1,4210526315789473;1,0
True;False;True;False;False;False;False;True;False;False;False;38,0;78,0;38,0;79,2165071770335;0,8168859649122807;29,0;35,0;37,0;38,0;1,5;1,0
True;False;True;False;False;False;False;False;True;False;False;38,0;78,0;38,0;83,46291866028709;0,8662280701754386;31,0;36,0;38,0;38,0;1,3421052631578947;1,0
True;False;True;False;False;False;False;False;False;True;False;38,0;78,0;38,0;79,72488038277513;0,8399122807017543;30,0;36,0;38,0;38,0;1,4210526315789473;1,0
True;False;True;False;False;False;False;False;False;False;True;38,0;78,0;38,0;81,69856459330144;0,8530701754385964;30,0;36,0;38,0;38,0;1,368421052631579;1,0
True;False;False;True;True;False;False;False;False;False;False;41,0;91,0;41,0;73,4643179765131;0,733739837398374;28,0;38,0;40,0;41,0;1,6097560975609757;1,0
True;False;False;True;False;True;False;False;False;False;False;41,0;91,0;41,0;74,77416440831075;0,7632113821138211;27,0;40,0;40,0;41,0;1,5121951219512195;1,0
True;False;False;True;False;False;True;False;False;False;False;41,0;91,0;41,0;73,89340560072269;0,7489837398373984;27,0;40,0;40,0;41,0;1,5365853658536586;1,0
True;False;False;True;False;False;False;True;False;False;False;41,0;91,0;41,0;70,66395663956641;0,7195121951219512;25,0;38,0;40,0;41,0;1,6829268292682926;1,0
True;False;False;True;False;False;False;False;True;False;False;41,0;91,0;41,0;69,91869918699187;0,681910569105691;27,0;38,0;40,0;41,0;1,7317073170731707;1,0
True;False;False;True;False;False;False;False;False;True;False;41,0;91,0;41,0;72,78681120144535;0,7408536585365852;26,0;39,0;40,0;41,0;1,5609756097560976;1,0
True;False;False;True;False;False;False;False;False;False;True;41,0;91,0;41,0;70,23486901535682;0,7052845528455285;26,0;38,0;40,0;41,0;1,6829268292682926;1,0
True;False;False;False;True;True;False;False;False;False;False;41,0;91,0;41,0;77,14543812104789;0,7774390243902438;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
True;False;False;False;True;False;True;False;False;False;False;41,0;91,0;41,0;77,14543812104789;0,7754065040650406;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
True;False;False;False;True;False;False;True;False;False;False;41,0;91,0;41,0;79,49412827461609;0,7987804878048781;30,0;39,0;40,0;41,0;1,5121951219512195;1,0
True;False;False;False;True;False;False;False;True;False;False;41,0;91,0;41,0;70,00903342366756;0,7093495934959351;25,0;38,0;41,0;41,0;1,6097560975609757;1,0
True;False;False;False;True;False;False;False;False;True;False;41,0;91,0;41,0;76,64859981933154;0,7672764227642276;28,0;39,0;40,0;41,0;1,4878048780487805;1,0
True;False;False;False;True;False;False;False;False;False;True;41,0;91,0;41,0;70,88979223125564;0,7134146341463414;25,0;38,0;41,0;41,0;1,5853658536585367;1,0
True;False;False;False;False;True;True;False;False;False;False;41,0;91,0;41,0;77,10027100271003;0,7560975609756097;28,0;40,0;40,0;41,0;1,4878048780487805;1,0
True;False;False;False;False;True;False;True;False;False;False;41,0;91,0;41,0;78,5004516711834;0,7743902439024389;29,0;40,0;40,0;41,0;1,5121951219512195;1,0
True;False;False;False;False;True;False;False;True;False;False;41,0;91,0;41,0;77,14543812104789;0,771341463414634;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
True;False;False;False;False;True;False;False;False;True;False;41,0;91,0;41,0;78,04878048780488;0,7469512195121951;29,0;39,0;40,0;41,0;1,5121951219512195;1,0
True;False;False;False;False;True;False;False;False;False;True;41,0;91,0;41,0;73,66757000903344;0,7367886178861789;26,0;39,0;40,0;41,0;1,5365853658536586;1,0
True;False;False;False;False;False;True;True;False;False;False;41,0;91,0;41,0;79,38121047877146;0,7845528455284554;29,0;40,0;40,0;41,0;1,4878048780487805;1,0
