Gene rank;DEPICT For SNP rank;predicates For SNP rank;node2vec normal For SNP rank;node2vec graphlet For SNP rank;node2vec autoencode For SNP rank;node2vec combi For SNP rank;network distance For SNP rank;EVOKE For SNP rank;rdf2vec For SNP rank;struc2vec For SNP rank;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;46,0;127,0;46,0;73,27365728900254;0,7376811594202899;29,0;41,0;46,0;46,0;1,7826086956521738;1,0
True;False;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;71,88995215311004;0,743421052631579;26,0;35,0;37,0;38,0;1,6578947368421053;1,0
True;False;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;62,37579042457091;0,6321138211382115;23,0;38,0;41,0;41,0;1,8048780487804879;1,0
True;False;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;67,63775971093044;0,681910569105691;24,0;38,0;41,0;41,0;1,6585365853658536;1,0
True;False;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;71,97380307136405;0,7510162601626017;28,0;37,0;41,0;41,0;1,6341463414634145;1,0
True;False;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;66,2375790424571;0,676829268292683;25,0;38,0;41,0;41,0;1,7317073170731707;1,0
True;False;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;73,35140018066846;0,7398373983739837;28,0;37,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;False;True;False;False;41,0;91,0;41,0;62,85004516711834;0,6290650406504066;22,0;37,0;40,0;41,0;1,853658536585366;1,0
True;False;False;False;False;False;False;False;False;True;False;41,0;91,0;41,0;68,04426377597107;0,6595528455284553;24,0;39,0;40,0;41,0;1,6585365853658536;1,0
True;False;False;False;False;False;False;False;False;False;True;41,0;91,0;41,0;65,56007226738933;0,665650406504065;25,0;37,0;40,0;41,0;1,829268292682927;1,0
False;True;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;75,0598086124402;0,7916666666666667;28,0;36,0;37,0;38,0;1,5526315789473684;1,0
False;True;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;72,4706413730804;0,7174796747967479;27,0;39,0;40,0;41,0;1,6097560975609757;1,0
False;True;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;72,10930442637759;0,7306910569105691;27,0;38,0;41,0;41,0;1,5853658536585367;1,0
False;True;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;79,51671183378501;0,8180894308943089;29,0;40,0;40,0;41,0;1,4146341463414633;1,0
False;True;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;71,61246612466124;0,7134146341463414;27,0;37,0;41,0;41,0;1,6097560975609757;1,0
False;True;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;74,84191508581752;0,7479674796747967;28,0;40,0;41,0;41,0;1,4878048780487805;1,0
False;True;False;False;False;False;False;False;True;False;False;41,0;91,0;41,0;67,99909665763325;0,6880081300813009;25,0;37,0;41,0;41,0;1,6585365853658536;1,0
False;True;False;False;False;False;False;False;False;True;False;41,0;91,0;41,0;65,8762420957543;0,6534552845528455;24,0;38,0;41,0;41,0;1,7073170731707317;1,0
False;True;False;False;False;False;False;False;False;False;True;41,0;91,0;41,0;69,4896115627823;0,7215447154471545;26,0;36,0;40,0;41,0;1,7073170731707317;1,0
False;False;True;True;False;False;False;False;False;False;False;38,0;78,0;38,0;82,20693779904306;0,8404605263157895;31,0;37,0;38,0;38,0;1,3421052631578947;1,0
False;False;True;False;True;False;False;False;False;False;False;38,0;78,0;38,0;81,75837320574163;0,8377192982456141;31,0;35,0;38,0;38,0;1,4210526315789473;1,0
False;False;True;False;False;True;False;False;False;False;False;38,0;78,0;38,0;79,1267942583732;0,8168859649122806;29,0;35,0;37,0;38,0;1,4736842105263157;1,0
False;False;True;False;False;False;True;False;False;False;False;38,0;78,0;38,0;79,21650717703349;0,8311403508771931;30,0;35,0;38,0;38,0;1,4473684210526316;1,0
False;False;True;False;False;False;False;True;False;False;False;38,0;78,0;38,0;82,41626794258373;0,8475877192982455;29,0;37,0;38,0;38,0;1,3157894736842106;1,0
False;False;True;False;False;False;False;False;True;False;False;38,0;78,0;38,0;84,44976076555024;0,8673245614035087;31,0;36,0;38,0;38,0;1,3157894736842106;1,0
False;False;True;False;False;False;False;False;False;True;False;38,0;78,0;38,0;82,47607655502392;0,8574561403508772;31,0;36,0;38,0;38,0;1,368421052631579;1,0
False;False;True;False;False;False;False;False;False;False;True;38,0;78,0;38,0;83,82177033492823;0,8689692982456141;31,0;37,0;37,0;38,0;1,368421052631579;1,0
False;False;False;True;True;False;False;False;False;False;False;41,0;91,0;41,0;74,9096657633243;0,7332317073170732;29,0;38,0;40,0;41,0;1,6097560975609757;1,0
False;False;False;True;False;True;False;False;False;False;False;41,0;91,0;41,0;74,02890695573623;0,7347560975609756;27,0;39,0;40,0;41,0;1,5609756097560976;1,0
False;False;False;True;False;False;True;False;False;False;False;41,0;91,0;41,0;74,84191508581753;0,774390243902439;28,0;39,0;40,0;41,0;1,5609756097560976;1,0
False;False;False;True;False;False;False;True;False;False;False;41,0;91,0;41,0;72,51580849141824;0,7408536585365854;25,0;39,0;41,0;41,0;1,5121951219512195;1,0
False;False;False;True;False;False;False;False;True;False;False;41,0;91,0;41,0;75,22583559168925;0,7764227642276423;28,0;39,0;41,0;41,0;1,4878048780487805;1,0
False;False;False;True;False;False;False;False;False;True;False;41,0;91,0;41,0;70,77687443541103;0,7266260162601627;27,0;36,0;40,0;41,0;1,6829268292682926;1,0
False;False;False;True;False;False;False;False;False;False;True;41,0;91,0;41,0;71,97380307136405;0,7129065040650406;27,0;39,0;41,0;41,0;1,5609756097560976;1,0
False;False;False;False;True;True;False;False;False;False;False;41,0;91,0;41,0;73,0126467931346;0,7286585365853658;28,0;38,0;40,0;41,0;1,6341463414634145;1,0
False;False;False;False;True;False;True;False;False;False;False;41,0;91,0;41,0;75,76784101174346;0,7550813008130082;28,0;39,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;True;False;False;True;False;False;False;41,0;91,0;41,0;81,34598012646792;0,8201219512195121;30,0;40,0;41,0;41,0;1,3414634146341464;1,0
False;False;False;False;True;False;False;False;True;False;False;41,0;91,0;41,0;77,82294489611563;0,7317073170731706;30,0;39,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;True;False;False;False;False;True;False;41,0;91,0;41,0;72,76422764227642;0,7174796747967479;25,0;40,0;41,0;41,0;1,5121951219512195;1,0
False;False;False;False;True;False;False;False;False;False;True;41,0;91,0;41,0;73,17073170731707;0,7184959349593496;28,0;38,0;40,0;41,0;1,6585365853658536;1,0
False;False;False;False;False;True;True;False;False;False;False;41,0;91,0;41,0;73,96115627822945;0,7459349593495935;28,0;39,0;40,0;41,0;1,5853658536585367;1,0
False;False;False;False;False;True;False;True;False;False;False;41,0;91,0;41,0;78,59078590785907;0,7967479674796749;30,0;38,0;41,0;41,0;1,4390243902439024;1,0
False;False;False;False;False;True;False;False;True;False;False;41,0;91,0;41,0;74,72899728997291;0,7591463414634146;28,0;38,0;41,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;True;False;False;False;True;False;41,0;91,0;41,0;68,90243902439025;0,6341463414634146;23,0;40,0;41,0;41,0;1,5853658536585367;1,0
False;False;False;False;False;True;False;False;False;False;True;41,0;91,0;41,0;71,38663053297199;0,7205284552845529;25,0;39,0;41,0;41,0;1,5609756097560976;1,0
False;False;False;False;False;False;True;True;False;False;False;41,0;91,0;41,0;79,58446251129178;0,7865853658536586;31,0;37,0;41,0;41,0;1,4390243902439024;1,0
False;False;False;False;False;False;True;False;True;False;False;41,0;91,0;41,0;75,15808491418248;0,7591463414634148;27,0;39,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;False;True;False;False;True;False;41,0;91,0;41,0;78,34236675700089;0,7560975609756098;30,0;38,0;41,0;41,0;1,4634146341463414;1,0
False;False;False;False;False;False;True;False;False;False;True;41,0;91,0;41,0;69,73803071364047;0,709349593495935;26,0;38,0;41,0;41,0;1,6341463414634145;1,0
False;False;False;False;False;False;False;True;True;False;False;41,0;91,0;41,0;78,09394760614272;0,801829268292683;29,0;40,0;41,0;41,0;1,4146341463414633;1,0
False;False;False;False;False;False;False;True;False;True;False;41,0;91,0;41,0;80,96205962059622;0,8028455284552845;31,0;38,0;41,0;41,0;1,3902439024390243;1,0
False;False;False;False;False;False;False;True;False;False;True;41,0;91,0;41,0;77,59710930442637;0,7916666666666667;29,0;39,0;41,0;41,0;1,4390243902439024;1,0
