Gene rank;DEPICT For SNP rank;predicates For SNP rank;node2vec normal For SNP rank;node2vec graphlet For SNP rank;node2vec autoencode For SNP rank;node2vec combi For SNP rank;network distance For SNP rank;EVOKE For SNP rank;rdf2vec For SNP rank;struc2vec For SNP rank;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;97,0;288,0;97,0;80,70796892558752;0,7631191995698623;62,0;88,0;93,0;96,0;1,8762886597938144;1,0
True;False;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;85,06724683544304;0,8395672726119096;61,0;74,0;79,0;79,0;1,4430379746835442;1,0
True;False;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;84,11151567073605;0,7951846335968229;62,0;83,0;85,0;86,0;1,7471264367816093;1,0
True;False;False;False;True;False;False;False;False;False;False;87,0;228,0;87,0;80,02784322124651;0,7554543603060043;57,0;80,0;86,0;86,0;2,045977011494253;1,0
True;False;False;False;False;True;False;False;False;False;False;87,0;228,0;87,0;83,4761190833155;0,7877350084647597;61,0;83,0;86,0;86,0;1,8850574712643677;1,0
True;False;False;False;False;False;True;False;False;False;False;87,0;228,0;87,0;82,28028842721497;0,790696613671754;60,0;81,0;86,0;86,0;1,6896551724137931;1,0
True;False;False;False;False;False;False;True;False;False;False;87,0;228,0;87,0;86,87441993289069;0,8414750957854408;64,0;84,0;87,0;87,0;1,3793103448275863;1,0
True;False;False;False;False;False;False;False;True;False;False;87,0;228,0;87,0;80,6168344399229;0,7617769419092594;58,0;78,0;83,0;87,0;1,7471264367816093;1,0
True;False;False;False;False;False;False;False;False;True;False;87,0;228,0;87,0;83,09416720211323;0,8121226393078839;61,0;80,0;85,0;87,0;1,6206896551724137;1,0
True;False;False;False;False;False;False;False;False;False;True;87,0;228,0;87,0;87,74541300778182;0,8415085093112358;67,0;84,0;85,0;86,0;1,5172413793103448;1,0
False;True;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;84,00909810126582;0,8375765362774023;59,0;75,0;79,0;79,0;1,4683544303797469;1,0
False;True;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;83,76526022702934;0,8123066788864705;61,0;83,0;85,0;86,0;1,6896551724137931;1,0
False;True;False;False;True;False;False;False;False;False;False;87,0;228,0;87,0;83,37616905832799;0,8091026930241043;61,0;82,0;85,0;86,0;1,8275862068965518;1,0
False;True;False;False;False;True;False;False;False;False;False;87,0;228,0;87,0;83,75098165203113;0,8109070234170477;62,0;81,0;85,0;86,0;1,8620689655172413;1,0
False;True;False;False;False;False;True;False;False;False;False;87,0;228,0;87,0;82,5551509959306;0,7957049299270631;59,0;82,0;85,0;86,0;1,6436781609195403;1,0
False;True;False;False;False;False;False;True;False;False;False;87,0;228,0;87,0;86,43178410794603;0,8412077875790789;64,0;83,0;87,0;87,0;1,4022988505747127;1,0
False;True;False;False;False;False;False;False;True;False;False;87,0;228,0;87,0;81,43071321482117;0,782416423755638;59,0;80,0;85,0;87,0;1,6666666666666667;1,0
False;True;False;False;False;False;False;False;False;True;False;87,0;228,0;87,0;85,13243378310845;0,8260088763296463;65,0;79,0;85,0;87,0;1,528735632183908;1,0
False;True;False;False;False;False;False;False;False;False;True;87,0;228,0;87,0;84,26144070821732;0,8021362380825092;62,0;82,0;84,0;86,0;1,5977011494252873;1,0
False;False;True;True;False;False;False;False;False;False;False;79,0;192,0;79,0;84,64200949367088;0,835268551124647;60,0;75,0;78,0;78,0;1,5822784810126582;1,0
False;False;True;False;True;False;False;False;False;False;False;79,0;192,0;79,0;84,68651107594938;0,8345706037245012;61,0;74,0;78,0;78,0;1,6329113924050633;1,0
False;False;True;False;False;True;False;False;False;False;False;79,0;192,0;79,0;84,67662183544304;0,8342374924653405;61,0;74,0;78,0;78,0;1,6455696202531647;1,0
False;False;True;False;False;False;True;False;False;False;False;79,0;192,0;79,0;85,4776503164557;0,8407093683576029;62,0;74,0;78,0;79,0;1,4556962025316456;1,0
False;False;True;False;False;False;False;True;False;False;False;79,0;192,0;79,0;88,84493670886076;0,8652802893309223;62,0;78,0;79,0;79,0;1,2784810126582278;1,0
False;False;True;False;False;False;False;False;True;False;False;79,0;192,0;79,0;84,58267405063292;0,8365097871260428;60,0;75,0;79,0;79,0;1,4556962025316456;1,0
False;False;True;False;False;False;False;False;False;True;False;79,0;192,0;79,0;85,20569620253164;0,8454443069699565;61,0;74,0;78,0;79,0;1,4556962025316456;1,0
False;False;True;False;False;False;False;False;False;False;True;79,0;192,0;79,0;88,61748417721519;0,8519875638463246;63,0;77,0;79,0;79,0;1,3037974683544304;1,0
False;False;False;True;True;False;False;False;False;False;False;87,0;228,0;87,0;84,07581923324052;0,7938480925650132;62,0;83,0;85,0;86,0;1,8045977011494252;1,0
False;False;False;True;False;True;False;False;False;False;False;87,0;228,0;87,0;83,57963875205255;0,7889474421150443;61,0;83,0;85,0;86,0;1,8620689655172413;1,0
False;False;False;True;False;False;True;False;False;False;False;87,0;228,0;87,0;81,93403298350825;0,785846879070616;60,0;81,0;86,0;86,0;1,839080459770115;1,0
False;False;False;True;False;False;False;True;False;False;False;87,0;228,0;87,0;86,25330192046833;0,8415753363628264;64,0;83,0;86,0;87,0;1,4252873563218391;1,0
False;False;False;True;False;False;False;False;True;False;False;87,0;228,0;87,0;80,64896123366889;0,7638920711294409;59,0;80,0;84,0;86,0;1,8850574712643677;1,0
False;False;False;True;False;False;False;False;False;True;False;87,0;228,0;87,0;82,7800385521525;0,8049922989778643;60,0;82,0;84,0;86,0;1,7471264367816093;1,0
False;False;False;True;False;False;False;False;False;False;True;87,0;228,0;87,0;85,81780538302277;0,8183036112065785;64,0;84,0;86,0;86,0;1,6666666666666667;1,0
False;False;False;False;True;True;False;False;False;False;False;87,0;228,0;87,0;81,61633468979795;0,7616119957739845;58,0;82,0;86,0;86,0;1,9655172413793103;1,0
False;False;False;False;True;False;True;False;False;False;False;87,0;228,0;87,0;82,216034839723;0,7882908398144967;60,0;81,0;86,0;86,0;1,793103448275862;1,0
False;False;False;False;True;False;False;True;False;False;False;87,0;228,0;87,0;85,68215892053973;0,8393366301345451;63,0;83,0;86,0;87,0;1,471264367816092;1,0
False;False;False;False;True;False;False;False;True;False;False;87,0;228,0;87,0;80,34911115870636;0,7553615449565731;58,0;78,0;83,0;86,0;2,0229885057471266;1,0
False;False;False;False;True;False;False;False;False;True;False;87,0;228,0;87,0;82,96209038337975;0,8083803244188169;61,0;80,0;85,0;86,0;1,7816091954022988;1,0
False;False;False;False;True;False;False;False;False;False;True;87,0;228,0;87,0;85,94988220175627;0,8068920965873654;65,0;83,0;85,0;86,0;1,8275862068965518;1,0
False;False;False;False;False;True;True;False;False;False;False;87,0;228,0;87,0;82,15178125223103;0,7858850659572392;60,0;81,0;86,0;86,0;1,896551724137931;1,0
False;False;False;False;False;True;False;True;False;False;False;87,0;228,0;87,0;85,63218390804597;0,8380000891027355;63,0;83,0;86,0;86,0;1,528735632183908;1,0
False;False;False;False;False;True;False;False;True;False;False;87,0;228,0;87,0;79,96358963375455;0,7442348408667575;59,0;79,0;83,0;86,0;2,0804597701149423;1,0
False;False;False;False;False;True;False;False;False;True;False;87,0;228,0;87,0;82,91211537088599;0,8065091669742831;61,0;80,0;85,0;86,0;1,8620689655172413;1,0
False;False;False;False;False;True;False;False;False;False;True;87,0;228,0;87,0;86,13193403298351;0,8116813686180165;65,0;84,0;85,0;86,0;1,8160919540229885;1,0
False;False;False;False;False;False;True;True;False;False;False;87,0;228,0;87,0;86,14621260798172;0,8409404793727168;63,0;84,0;87,0;87,0;1,4022988505747127;1,0
False;False;False;False;False;False;True;False;True;False;False;87,0;228,0;87,0;81,38430784607696;0,7758016063950306;60,0;79,0;84,0;86,0;1,7471264367816093;1,0
False;False;False;False;False;False;True;False;False;True;False;87,0;228,0;87,0;82,82287427714714;0,8069912764179005;60,0;82,0;85,0;87,0;1,5977011494252873;1,0
False;False;False;False;False;False;True;False;False;False;True;87,0;228,0;87,0;85,62861426429642;0,8187873117704714;64,0;84,0;86,0;86,0;1,5632183908045978;1,0
False;False;False;False;False;False;False;True;True;False;False;87,0;228,0;87,0;86,28899835796388;0,8382822477650064;63,0;84,0;87,0;87,0;1,4022988505747127;1,0
False;False;False;False;False;False;False;True;False;True;False;87,0;228,0;87,0;85,76783037052903;0,8315772669220945;63,0;84,0;87,0;87,0;1,4252873563218391;1,0
False;False;False;False;False;False;False;True;False;False;True;87,0;228,0;87,0;88,19875776397514;0,8513729246487869;67,0;85,0;87,0;87,0;1,3448275862068966;1,0
False;False;False;False;False;False;False;False;True;True;False;87,0;228,0;87,0;82,78360819590205;0,7973352978365007;61,0;80,0;84,0;87,0;1,6436781609195403;1,0
False;False;False;False;False;False;False;False;True;False;True;87,0;228,0;87,0;85,19668737060042;0,8216757254447712;65,0;81,0;86,0;87,0;1,4942528735632183;1,0
False;False;False;False;False;False;False;False;False;True;True;87,0;228,0;87,0;84,30427643321197;0,8263764251133938;63,0;82,0;85,0;87,0;1,5402298850574712;1,0
True;True;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;84,00909810126582;0,8375765362774023;59,0;75,0;79,0;79,0;1,4683544303797469;1,0
True;True;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;84,02584422074678;0,8142223876987309;61,0;83,0;85,0;86,0;1,6781609195402298;1,0
