Gene rank;DEPICT For SNP rank;predicates For SNP rank;node2vec normal For SNP rank;node2vec graphlet For SNP rank;node2vec autoencode For SNP rank;node2vec combi For SNP rank;network distance For SNP rank;EVOKE For SNP rank;rdf2vec For SNP rank;struc2vec For SNP rank;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;97,0;288,0;97,0;79,10538916304294;0,7394172101830423;58,0;86,0;93,0;96,0;2,1237113402061856;1,0
True;False;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;84,03382120253166;0,8124821547539737;60,0;74,0;77,0;78,0;1,8860759493670887;1,0
True;False;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;79,04976083386879;0,7201410369012614;56,0;79,0;86,0;86,0;1,7816091954022988;1,0
True;False;False;False;True;False;False;False;False;False;False;87,0;228,0;87,0;82,33383308345827;0,784939410139891;61,0;80,0;83,0;86,0;1,7471264367816093;1,0
True;False;False;False;False;True;False;False;False;False;False;87,0;228,0;87,0;81,79481687727565;0,7466809231043394;59,0;82,0;86,0;86,0;1,6551724137931034;1,0
True;False;False;False;False;False;True;False;False;False;False;87,0;228,0;87,0;78,96051974012993;0,7250570681805646;58,0;78,0;83,0;86,0;1,9195402298850575;1,0
True;False;False;False;False;False;False;True;False;False;False;87,0;228,0;87,0;85,48582851431426;0,7943805874840356;63,0;84,0;86,0;87,0;1,4827586206896552;1,0
True;False;False;False;False;False;False;False;True;False;False;87,0;228,0;87,0;76,81159420289856;0,6968947696694289;53,0;79,0;85,0;86,0;2,206896551724138;1,0
True;False;False;False;False;False;False;False;False;True;False;87,0;228,0;87,0;81,95902048975513;0,7719532168208991;59,0;80,0;85,0;86,0;1,9655172413793103;1,0
True;False;False;False;False;False;False;False;False;False;True;87,0;228,0;87,0;82,47661883344041;0,7782222307081972;60,0;82,0;86,0;86,0;1,8850574712643677;1,0
False;True;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;81,38350474683544;0,7975516322451699;57,0;73,0;77,0;78,0;1,9620253164556962;1,0
False;True;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;81,19511672735061;0,7666065223202354;57,0;81,0;85,0;86,0;1,7126436781609196;1,0
False;True;False;False;True;False;False;False;False;False;False;87,0;228,0;87,0;80,46333975869207;0,7898262708808017;59,0;77,0;84,0;86,0;1,8045977011494252;1,0
False;True;False;False;False;True;False;False;False;False;False;87,0;228,0;87,0;79,43171271507103;0,7439505607107851;57,0;77,0;84,0;86,0;1,8045977011494252;1,0
False;True;False;False;False;False;True;False;False;False;False;87,0;228,0;87,0;80,84886128364388;0,7769806265195198;62,0;75,0;84,0;86,0;2,0804597701149423;1,0
False;True;False;False;False;False;False;True;False;False;False;87,0;228,0;87,0;86,29970728921253;0,8347701149425287;65,0;83,0;86,0;87,0;1,4482758620689655;1,0
False;True;False;False;False;False;False;False;True;False;False;87,0;228,0;87,0;78,48218747768972;0,7250310798827239;57,0;76,0;85,0;86,0;2,1494252873563218;1,0
False;True;False;False;False;False;False;False;False;True;False;87,0;228,0;87,0;81,20582565859927;0,7713172990839391;61,0;79,0;86,0;86,0;2,0689655172413794;1,0
False;True;False;False;False;False;False;False;False;False;True;87,0;228,0;87,0;80,9024059398872;0,7606223189623347;57,0;80,0;85,0;86,0;1,9540229885057472;1,0
False;False;True;True;False;False;False;False;False;False;False;79,0;192,0;79,0;83,34157436708861;0,8168839821071665;59,0;73,0;77,0;78,0;1,6075949367088607;1,0
False;False;True;False;True;False;False;False;False;False;False;79,0;192,0;79,0;85,54193037974684;0,8385520763935155;61,0;76,0;77,0;78,0;1,5316455696202531;1,0
False;False;True;False;False;True;False;False;False;False;False;79,0;192,0;79,0;83,32674050632912;0,8210558040671299;58,0;77,0;78,0;78,0;1,5569620253164558;1,0
False;False;True;False;False;False;True;False;False;False;False;79,0;192,0;79,0;82,7976661392405;0,8006091177310364;58,0;71,0;77,0;78,0;1,9240506329113924;1,0
False;False;True;False;False;False;False;True;False;False;False;79,0;192,0;79,0;84,375;0,8298673899939722;58,0;75,0;77,0;79,0;1,481012658227848;1,0
False;False;True;False;False;False;False;False;True;False;False;79,0;192,0;79,0;84,44916930379748;0,8250769328384253;60,0;75,0;77,0;78,0;1,9113924050632911;1,0
False;False;True;False;False;False;False;False;False;True;False;79,0;192,0;79,0;83,86570411392404;0,8001054852320676;59,0;75,0;78,0;79,0;1,5063291139240507;1,0
False;False;True;False;False;False;False;False;False;False;True;79,0;192,0;79,0;84,97824367088607;0,8241727737064181;61,0;75,0;77,0;78,0;1,8860759493670887;1,0
False;False;False;True;True;False;False;False;False;False;False;87,0;228,0;87,0;80,192046833726;0,7578654378975149;57,0;81,0;85,0;86,0;1,7471264367816093;1,0
False;False;False;True;False;True;False;False;False;False;False;87,0;228,0;87,0;79,28178767758978;0,7365741271114167;58,0;76,0;86,0;86,0;1,8160919540229885;1,0
False;False;False;True;False;False;True;False;False;False;False;87,0;228,0;87,0;79,05333047761833;0,7446018592770798;58,0;77,0;83,0;86,0;1,9195402298850575;1,0
False;False;False;True;False;False;False;True;False;False;False;87,0;228,0;87,0;78,74634111515671;0,7340850846263838;56,0;79,0;83,0;86,0;1,8735632183908046;1,0
False;False;False;True;False;False;False;False;True;False;False;87,0;228,0;87,0;83,31905475833511;0,7854278840646122;61,0;80,0;85,0;86,0;1,6666666666666667;1,0
False;False;False;True;False;False;False;False;False;True;False;87,0;228,0;87,0;81,58777753980154;0,7598267588243529;58,0;79,0;85,0;86,0;1,7126436781609196;1,0
False;False;False;True;False;False;False;False;False;False;True;87,0;228,0;87,0;83,85093167701864;0,7832066801593666;64,0;80,0;84,0;86,0;1,6666666666666667;1,0
False;False;False;False;True;True;False;False;False;False;False;87,0;228,0;87,0;80,46690940244163;0,7520790638272593;56,0;80,0;85,0;86,0;1,735632183908046;1,0
False;False;False;False;True;False;True;False;False;False;False;87,0;228,0;87,0;77,42557292782182;0,7302669263374958;58,0;75,0;83,0;86,0;1,9885057471264367;1,0
False;False;False;False;True;False;False;True;False;False;False;87,0;228,0;87,0;78,44649104019419;0,7529000818896568;56,0;77,0;83,0;86,0;1,896551724137931;1,0
False;False;False;False;True;False;False;False;True;False;False;87,0;228,0;87,0;81,87691868351538;0,7559237407874138;59,0;79,0;85,0;86,0;1,6896551724137931;1,0
False;False;False;False;True;False;False;False;False;True;False;87,0;228,0;87,0;76,83658170914542;0,7144002749455837;53,0;74,0;83,0;86,0;1,9540229885057472;1,0
False;False;False;False;True;False;False;False;False;False;True;87,0;228,0;87,0;82,90497608338687;0,784164534565497;62,0;81,0;85,0;86,0;1,6666666666666667;1,0
False;False;False;False;False;True;True;False;False;False;False;87,0;228,0;87,0;79,87077889626616;0,7702098793718681;59,0;77,0;83,0;86,0;1,8620689655172413;1,0
False;False;False;False;False;True;False;True;False;False;False;87,0;228,0;87,0;79,3103448275862;0,7204698684249606;54,0;82,0;84,0;86,0;1,8160919540229885;1,0
False;False;False;False;False;True;False;False;True;False;False;87,0;228,0;87,0;83,0192046833726;0,7735199399192982;62,0;80,0;85,0;86,0;1,6666666666666667;1,0
False;False;False;False;False;True;False;False;False;True;False;87,0;228,0;87,0;77,63975155279503;0,7075192101254651;52,0;79,0;85,0;86,0;1,8160919540229885;1,0
False;False;False;False;False;True;False;False;False;False;True;87,0;228,0;87,0;83,80452630827443;0,7753942796043838;62,0;83,0;85,0;86,0;1,5977011494252873;1,0
False;False;False;False;False;False;True;True;False;False;False;87,0;228,0;87,0;80,63825230242021;0,7663821743613244;58,0;79,0;84,0;86,0;2,0689655172413794;1,0
False;False;False;False;False;False;True;False;True;False;False;87,0;228,0;87,0;79,52095380880988;0,7438041776453965;57,0;80,0;84,0;86,0;2,0919540229885056;1,0
False;False;False;False;False;False;True;False;False;True;False;87,0;228,0;87,0;81,38073820232741;0,785711633847159;60,0;80,0;84,0;86,0;2,045977011494253;1,0
False;False;False;False;False;False;True;False;False;False;True;87,0;228,0;87,0;80,76318983365461;0,7728018143014134;59,0;80,0;86,0;86,0;1,8850574712643677;1,0
False;False;False;False;False;False;False;True;True;False;False;87,0;228,0;87,0;89,58020989505248;0,8534482758620688;69,0;86,0;86,0;87,0;1,3333333333333333;1,0
False;False;False;False;False;False;False;True;False;True;False;87,0;228,0;87,0;82,67651888341544;0,7907088122605365;57,0;85,0;85,0;86,0;1,9885057471264367;1,0
False;False;False;False;False;False;False;True;False;False;True;87,0;228,0;87,0;86,22117512672234;0,8232758620689655;66,0;82,0;85,0;87,0;1,4827586206896552;1,0
False;False;False;False;False;False;False;False;True;True;False;87,0;228,0;87,0;76,20832440922396;0,70543059957655;53,0;76,0;85,0;86,0;2,2528735632183907;1,0
False;False;False;False;False;False;False;False;True;False;True;87,0;228,0;87,0;83,61176554579852;0,7937064828604524;63,0;83,0;84,0;86,0;1,9770114942528736;1,0
False;False;False;False;False;False;False;False;False;True;True;87,0;228,0;87,0;82,06254015849218;0,7786353916065222;59,0;82,0;85,0;86,0;1,9540229885057472;1,0
True;True;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;84,1524920886076;0,820865454776181;60,0;74,0;76,0;78,0;1,8734177215189873;1,0
True;True;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;81,46997929606626;0,7785176487061012;59,0;80,0;85,0;86,0;1,7011494252873562;1,0
True;True;False;False;True;False;False;False;False;False;False;87,0;228,0;87,0;82,5408724209324;0,7673750334135256;61,0;80,0;84,0;86,0;1,735632183908046;1,0
True;True;False;False;False;True;False;False;False;False;False;87,0;228,0;87,0;82,77646890840295;0,7896729929608839;60,0;82,0;86,0;86,0;1,632183908045977;1,0
True;True;False;False;False;False;True;False;False;False;False;87,0;228,0;87,0;80,49903619618762;0,774800261368024;58,0;80,0;83,0;86,0;1,8620689655172413;1,0
True;True;False;False;False;False;False;True;False;False;False;87,0;228,0;87,0;81,88048832726493;0,7856723862136854;59,0;81,0;85,0;86,0;2,0114942528735633;1,0
