bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;45,0;159,0;49,0;80,71157666606466;0,7351473922902495;29,0;42,0;46,0;48,0;2,204081632653061;1,0
True;False;True;False;False;False;False;False;False;False;False;40,0;120,0;44,0;79,86191024165707;0,7274999999999999;26,0;41,0;43,0;43,0;2,227272727272727;1,0
True;False;False;True;False;False;False;False;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7394135948953225;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;False;False;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7394135948953225;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;False;False;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7394135948953225;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;True;False;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7394135948953225;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;False;True;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7394135948953225;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;False;False;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7394135948953225;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;False;False;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7394135948953225;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;False;False;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7394135948953225;27,0;43,0;45,0;45,0;1,934782608695652;1,0
False;True;True;False;False;False;False;False;False;False;False;40,0;120,0;44,0;84,89643268124281;0,8263782051282051;30,0;40,0;43,0;44,0;1,6363636363636365;1,0
False;True;False;True;False;False;False;False;False;False;False;42,0;133,0;46,0;84,78260869565217;0,7853319622422613;29,0;44,0;44,0;45,0;1,826086956521739;1,0
False;True;False;False;True;False;False;False;False;False;False;42,0;133,0;46,0;82,83816425120773;0,7645217001529293;28,0;42,0;44,0;46,0;1,7391304347826086;1,0
False;True;False;False;False;True;False;False;False;False;False;42,0;133,0;46,0;84,90338164251207;0,8020025839793282;30,0;43,0;44,0;45,0;1,7826086956521738;1,0
False;True;False;False;False;False;True;False;False;False;False;42,0;133,0;46,0;86,31642512077295;0,8270118124769288;31,0;44,0;44,0;45,0;1,826086956521739;1,0
False;True;False;False;False;False;False;True;False;False;False;42,0;133,0;46,0;81,73913043478261;0,748187259399884;27,0;42,0;44,0;45,0;1,934782608695652;1,0
False;True;False;False;False;False;False;False;True;False;False;42,0;133,0;46,0;86,23188405797102;0,855547645414755;32,0;43,0;44,0;46,0;1,673913043478261;1,0
False;True;False;False;False;False;False;False;False;True;False;42,0;133,0;46,0;85,3743961352657;0,8345989558614144;31,0;43,0;44,0;45,0;1,7391304347826086;1,0
False;True;False;False;False;False;False;False;False;False;True;42,0;133,0;46,0;85,33816425120773;0,7895968464905342;31,0;43,0;45,0;45,0;1,826086956521739;1,0
False;False;True;True;False;False;False;False;False;False;False;40,0;120,0;44,0;78,26524741081703;0,6742628205128205;22,0;41,0;43,0;43,0;1,9318181818181819;1,5
False;False;True;False;True;False;False;False;False;False;False;40,0;120,0;44,0;79,14269275028768;0,6801602564102563;24,0;41,0;43,0;44,0;1,7954545454545454;1,0
False;False;True;False;False;True;False;False;False;False;False;40,0;120,0;44,0;76,97065592635212;0,6211698717948717;22,0;41,0;43,0;44,0;1,8409090909090908;1,5
False;False;True;False;False;False;True;False;False;False;False;40,0;120,0;44,0;79,78998849252015;0,677724358974359;24,0;41,0;42,0;43,0;1,9318181818181819;1,0
False;False;True;False;False;False;False;True;False;False;False;40,0;120,0;44,0;76,95627157652474;0,6373717948717949;22,0;39,0;43,0;44,0;1,9545454545454546;1,5
False;False;True;False;False;False;False;False;True;False;False;40,0;120,0;44,0;79,70368239355582;0,6924358974358975;24,0;40,0;44,0;44,0;1,7272727272727273;1,0
False;False;True;False;False;False;False;False;False;True;False;40,0;120,0;44,0;75,31645569620254;0,5733974358974359;22,0;39,0;42,0;44,0;2,0681818181818183;1,5
False;False;True;False;False;False;False;False;False;False;True;40,0;120,0;44,0;83,09838895281933;0,7184615384615385;26,0;42,0;43,0;43,0;1,7272727272727273;1,0
False;False;False;True;True;False;False;False;False;False;False;42,0;133,0;46,0;80,83333333333333;0,6821441754996572;24,0;44,0;44,0;45,0;1,891304347826087;1,0
