bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;45,0;159,0;49,0;80,71157666606466;0,7;29,0;42,0;46,0;48,0;2,204081632653061;1,0
True;False;True;False;False;False;False;False;False;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;False;True;False;False;False;False;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;False;False;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;False;False;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;True;False;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;False;True;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;False;False;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;False;False;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;False;False;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
False;True;True;False;False;False;False;False;False;False;False;40,0;120,0;44,0;83,74568469505179;0,7863782051282051;29,0;39,0;41,0;44,0;1,75;1,0
False;True;False;True;False;False;False;False;False;False;False;42,0;133,0;46,0;79,31159420289855;0,6708194905869325;25,0;41,0;44,0;45,0;2,0652173913043477;1,0
False;True;False;False;True;False;False;False;False;False;False;42,0;133,0;46,0;80,85748792270532;0,7107327427094869;25,0;43,0;44,0;45,0;1,891304347826087;1,0
False;True;False;False;False;True;False;False;False;False;False;42,0;133,0;46,0;79,87922705314008;0,6753282708432211;26,0;42,0;44,0;45,0;2,0;1,0
False;True;False;False;False;False;True;False;False;False;False;42,0;133,0;46,0;85,012077294686;0,8105850867478775;30,0;44,0;44,0;45,0;1,891304347826087;1,0
False;True;False;False;False;False;False;True;False;False;False;42,0;133,0;46,0;86,96859903381643;0,8374466065495967;32,0;44,0;45,0;45,0;1,673913043478261;1,0
False;True;False;False;False;False;False;False;True;False;False;42,0;133,0;46,0;79,68599033816425;0,6903377630121816;26,0;39,0;44,0;45,0;2,0217391304347827;1,0
False;True;False;False;False;False;False;False;False;True;False;42,0;133,0;46,0;81,83574879227054;0,7325581395348837;28,0;41,0;44,0;45,0;1,9130434782608696;1,0
False;True;False;False;False;False;False;False;False;False;True;42,0;133,0;46,0;85,94202898550725;0,7989505879871327;31,0;43,0;45,0;45,0;1,7826086956521738;1,0
