bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;70,0;216,0;71,0;81,46498035834053;0,778547286047286;47,0;63,0;68,0;71,0;1,8450704225352113;1,0
True;False;True;False;False;False;False;False;False;False;False;64,0;163,0;65,0;78,76923076923077;0,7657219516594517;43,0;61,0;63,0;65,0;1,676923076923077;1,0
True;False;False;True;False;False;False;False;False;False;False;67,0;185,0;68,0;79,68363816114682;0,770018002678231;45,0;61,0;66,0;68,0;1,7647058823529411;1,0
True;False;False;False;True;False;False;False;False;False;False;67,0;185,0;68,0;79,68363816114682;0,770018002678231;45,0;61,0;66,0;68,0;1,7647058823529411;1,0
True;False;False;False;False;True;False;False;False;False;False;67,0;185,0;68,0;79,68363816114682;0,770018002678231;45,0;61,0;66,0;68,0;1,7647058823529411;1,0
True;False;False;False;False;False;True;False;False;False;False;67,0;185,0;68,0;79,68363816114682;0,770018002678231;45,0;61,0;66,0;68,0;1,7647058823529411;1,0
True;False;False;False;False;False;False;True;False;False;False;67,0;185,0;68,0;79,68363816114682;0,770018002678231;45,0;61,0;66,0;68,0;1,7647058823529411;1,0
True;False;False;False;False;False;False;False;True;False;False;67,0;185,0;68,0;79,68363816114682;0,770018002678231;45,0;61,0;66,0;68,0;1,7647058823529411;1,0
True;False;False;False;False;False;False;False;False;True;False;67,0;185,0;68,0;79,68363816114682;0,770018002678231;45,0;61,0;66,0;68,0;1,7647058823529411;1,0
True;False;False;False;False;False;False;False;False;False;True;67,0;185,0;68,0;79,68363816114682;0,770018002678231;45,0;61,0;66,0;68,0;1,7647058823529411;1,0
False;True;True;False;False;False;False;False;False;False;False;64,0;163,0;65,0;89,70769230769228;0,8907490079365079;55,0;62,0;62,0;64,0;1,476923076923077;1,0
False;True;False;True;False;False;False;False;False;False;False;67,0;185,0;68,0;84,95427582797826;0,83921302578019;50,0;63,0;64,0;68,0;1,661764705882353;1,0
False;True;False;False;True;False;False;False;False;False;False;67,0;185,0;68,0;83,14384577360356;0,8127100681973377;50,0;63,0;65,0;67,0;1,7647058823529411;1,0
False;True;False;False;False;True;False;False;False;False;False;67,0;185,0;68,0;84,56500247157686;0,8329803427476825;50,0;63,0;64,0;67,0;1,6911764705882353;1,0
False;True;False;False;False;False;True;False;False;False;False;67,0;185,0;68,0;82,47652001977261;0,7939143092786639;47,0;63,0;65,0;67,0;1,7352941176470589;1,0
