bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;46,0;127,0;46,0;71,26598465473147;0,7204710144927536;27,0;40,0;43,0;46,0;2,0;1,0
True;False;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;72,60765550239235;0,7730263157894736;25,0;37,0;38,0;38,0;1,4736842105263157;1,0
True;False;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,7530487804878048;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,7530487804878048;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,7530487804878048;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,7530487804878048;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;71,99638663053297;0,7530487804878048;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;False;True;False;False;41,0;91,0;41,0;71,99638663053297;0,7530487804878048;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;False;False;True;False;41,0;91,0;41,0;71,99638663053297;0,7530487804878048;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;False;False;False;True;41,0;91,0;41,0;71,99638663053297;0,7530487804878048;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
False;True;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;77,36244019138756;0,8103070175438597;29,0;35,0;37,0;38,0;1,5;1,0
False;True;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;73,0126467931346;0,7571138211382115;28,0;37,0;40,0;41,0;1,6097560975609757;1,0
False;True;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;80,35230352303525;0,8445121951219512;32,0;38,0;40,0;41,0;1,4634146341463414;1,0
False;True;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;71,90605239385728;0,7286585365853658;26,0;39,0;40,0;41,0;1,5853658536585367;1,0
False;True;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;75,38392050587173;0,7713414634146342;28,0;40,0;40,0;41,0;1,5121951219512195;1,0
False;True;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;75,0;0,7713414634146343;29,0;38,0;40,0;41,0;1,5609756097560976;1,0
False;True;False;False;False;False;False;False;True;False;False;41,0;91,0;41,0;75,88075880758808;0,7713414634146343;29,0;38,0;40,0;41,0;1,5365853658536586;1,0
False;True;False;False;False;False;False;False;False;True;False;41,0;91,0;41,0;75,38392050587174;0,777439024390244;29,0;37,0;40,0;41,0;1,5609756097560976;1,0
False;True;False;False;False;False;False;False;False;False;True;41,0;91,0;41,0;75,88075880758808;0,7835365853658537;29,0;38,0;40,0;41,0;1,5365853658536586;1,0
False;False;True;True;False;False;False;False;False;False;False;38,0;78,0;38,0;74,13277511961724;0,7648026315789473;27,0;35,0;38,0;38,0;1,5;1,0
False;False;True;False;True;False;False;False;False;False;False;38,0;78,0;38,0;77,18301435406698;0,7916666666666666;28,0;36,0;38,0;38,0;1,4473684210526316;1,0
False;False;True;False;False;True;False;False;False;False;False;38,0;78,0;38,0;79,51555023923444;0,8004385964912281;28,0;37,0;37,0;38,0;1,4210526315789473;1,0
False;False;True;False;False;False;True;False;False;False;False;38,0;78,0;38,0;81,42942583732057;0,8399122807017544;29,0;37,0;38,0;38,0;1,3421052631578947;1,0
False;False;True;False;False;False;False;True;False;False;False;38,0;78,0;38,0;79,93421052631578;0,8267543859649124;29,0;36,0;38,0;38,0;1,394736842105263;1,0
False;False;True;False;False;False;False;False;True;False;False;38,0;78,0;38,0;78,16985645933013;0,8026315789473685;28,0;36,0;38,0;38,0;1,4210526315789473;1,0
False;False;True;False;False;False;False;False;False;True;False;38,0;78,0;38,0;79,72488038277511;0,8289473684210527;29,0;36,0;38,0;38,0;1,4210526315789473;1,0
False;False;True;False;False;False;False;False;False;False;True;38,0;78,0;38,0;76,67464114832536;0,7856359649122807;28,0;35,0;38,0;38,0;1,4736842105263157;1,0
False;False;False;True;True;False;False;False;False;False;False;41,0;91,0;41,0;72,13188798554654;0,6946138211382115;28,0;37,0;40,0;41,0;1,6341463414634145;1,0
False;False;False;True;False;True;False;False;False;False;False;41,0;91,0;41,0;73,01264679313459;0,7428861788617885;27,0;40,0;40,0;41,0;1,5609756097560976;1,0
False;False;False;True;False;False;True;False;False;False;False;41,0;91,0;41,0;75,56458897922312;0,7469512195121951;27,0;40,0;40,0;41,0;1,5365853658536586;1,0
False;False;False;True;False;False;False;True;False;False;False;41,0;91,0;41,0;73,57723577235772;0,7439024390243902;29,0;37,0;40,0;41,0;1,6341463414634145;1,0
False;False;False;True;False;False;False;False;True;False;False;41,0;91,0;41,0;68,4959349593496;0,6829268292682926;25,0;38,0;41,0;41,0;1,6341463414634145;1,0
False;False;False;True;False;False;False;False;False;True;False;41,0;91,0;41,0;71,09304426377598;0,6971544715447154;27,0;38,0;40,0;41,0;1,6585365853658536;1,0
False;False;False;True;False;False;False;False;False;False;True;41,0;91,0;41,0;67,00542005420054;0,660060975609756;24,0;38,0;41,0;41,0;1,6585365853658536;1,0
False;False;False;False;True;True;False;False;False;False;False;41,0;91,0;41,0;76,26467931345982;0,7672764227642276;28,0;40,0;40,0;41,0;1,4878048780487805;1,0
False;False;False;False;True;False;True;False;False;False;False;41,0;91,0;41,0;73,64498644986449;0,7540650406504066;25,0;40,0;41,0;41,0;1,4878048780487805;1,0
False;False;False;False;True;False;False;True;False;False;False;41,0;91,0;41,0;59,32700993676604;0,5833333333333333;20,0;36,0;40,0;41,0;1,951219512195122;2,0
False;False;False;False;True;False;False;False;True;False;False;41,0;91,0;41,0;64,40831074977417;0,6138211382113821;22,0;38,0;41,0;41,0;1,7317073170731707;1,0
False;False;False;False;True;False;False;False;False;True;False;41,0;91,0;41,0;60,840108401084024;0,5965447154471545;22,0;37,0;40,0;41,0;1,9268292682926829;1,0
False;False;False;False;True;False;False;False;False;False;True;41,0;91,0;41,0;61,15627822944896;0,5873983739837398;21,0;38,0;41,0;41,0;1,8048780487804879;1,0
False;False;False;False;False;True;True;False;False;False;False;41,0;91,0;41,0;75,65492321589883;0,746951219512195;27,0;40,0;40,0;41,0;1,4878048780487805;1,0
False;False;False;False;False;True;False;True;False;False;False;41,0;91,0;41,0;76,26467931345982;0,771341463414634;28,0;40,0;40,0;41,0;1,4878048780487805;1,0
False;False;False;False;False;True;False;False;True;False;False;41,0;91,0;41,0;75,38392050587173;0,7591463414634145;28,0;40,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;True;False;False;False;True;False;41,0;91,0;41,0;76,26467931345982;0,771341463414634;28,0;40,0;40,0;41,0;1,4878048780487805;1,0
False;False;False;False;False;True;False;False;False;False;True;41,0;91,0;41,0;74,77416440831075;0,7632113821138211;27,0;40,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;False;True;True;False;False;False;41,0;91,0;41,0;76,53568202348691;0,7591463414634145;27,0;40,0;40,0;41,0;1,4634146341463414;1,0
False;False;False;False;False;False;True;False;True;False;False;41,0;91,0;41,0;71,52213188798555;0,7032520325203253;24,0;39,0;40,0;41,0;1,5853658536585367;1,0
False;False;False;False;False;False;True;False;False;True;False;41,0;91,0;41,0;76,26467931345982;0,7632113821138211;28,0;40,0;40,0;41,0;1,4878048780487805;1,0
False;False;False;False;False;False;True;False;False;False;True;41,0;91,0;41,0;75,13550135501355;0,7378048780487806;26,0;40,0;41,0;41,0;1,4634146341463414;1,0
False;False;False;False;False;False;False;True;True;False;False;41,0;91,0;41,0;65,28906955736224;0,6504065040650406;24,0;36,0;40,0;41,0;1,853658536585366;1,0
