bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;46,0;127,0;46,0;71,26598465473147;0,6630434782608695;27,0;40,0;43,0;46,0;2,0;1,0
True;False;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;72,60765550239235;0,7236842105263158;25,0;37,0;38,0;38,0;1,4736842105263157;1,0
True;False;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;False;True;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;False;False;True;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;False;False;False;False;False;False;False;False;False;True;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
False;True;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;77,36244019138756;0,8103070175438596;29,0;35,0;37,0;38,0;1,5;1,0
False;True;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;72,13188798554654;0,7449186991869918;28,0;37,0;40,0;41,0;1,6341463414634145;1,0
False;True;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;72,0189701897019;0,7632113821138211;27,0;38,0;40,0;41,0;1,6097560975609757;1,0
False;True;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;75,0;0,7601626016260163;26,0;41,0;41,0;41,0;1,4390243902439024;1,0
False;True;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;74,88708220415539;0,7652439024390244;28,0;39,0;40,0;41,0;1,5365853658536586;1,0
False;True;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;70,25745257452574;0,7022357723577235;27,0;38,0;40,0;41,0;1,6585365853658536;1,0
False;True;False;False;False;False;False;False;True;False;False;41,0;91,0;41,0;72,89972899728997;0,7632113821138211;27,0;38,0;40,0;41,0;1,5853658536585367;1,0
False;True;False;False;False;False;False;False;False;True;False;41,0;91,0;41,0;76,87443541102078;0,801829268292683;30,0;37,0;40,0;41,0;1,5365853658536586;1,0
False;True;False;False;False;False;False;False;False;False;True;41,0;91,0;41,0;75,88075880758808;0,7835365853658537;29,0;38,0;40,0;41,0;1,5365853658536586;1,0
False;False;True;True;False;False;False;False;False;False;False;38,0;78,0;38,0;72,66746411483254;0,7483552631578947;26,0;36,0;38,0;38,0;1,5263157894736843;1,0
False;False;True;False;True;False;False;False;False;False;False;38,0;78,0;38,0;75,41866028708134;0,7785087719298246;27,0;36,0;38,0;38,0;1,4736842105263157;1,0
False;False;True;False;False;True;False;False;False;False;False;38,0;78,0;38,0;81,33971291866028;0,8300438596491228;29,0;37,0;37,0;38,0;1,368421052631579;1,0
False;False;True;False;False;False;True;False;False;False;False;38,0;78,0;38,0;81,42942583732057;0,8442982456140351;29,0;37,0;38,0;38,0;1,3421052631578947;1,0
False;False;True;False;False;False;False;True;False;False;False;38,0;78,0;38,0;77,18301435406698;0,7916666666666667;28,0;36,0;38,0;38,0;1,4473684210526316;1,0
False;False;True;False;False;False;False;False;True;False;False;38,0;78,0;38,0;75,83732057416267;0,7785087719298245;26,0;36,0;38,0;38,0;1,4210526315789473;1,0
False;False;True;False;False;False;False;False;False;True;False;38,0;78,0;38,0;81,48923444976076;0,8552631578947368;30,0;36,0;38,0;38,0;1,394736842105263;1,0
False;False;True;False;False;False;False;False;False;False;True;38,0;78,0;38,0;78,438995215311;0,8251096491228069;29,0;35,0;38,0;38,0;1,4473684210526316;1,0
False;False;False;True;True;False;False;False;False;False;False;41,0;91,0;41,0;68,47335140018066;0,6814024390243901;26,0;39,0;41,0;41,0;1,6585365853658536;1,0
False;False;False;True;False;True;False;False;False;False;False;41,0;91,0;41,0;71,52213188798555;0,7184959349593496;26,0;40,0;40,0;41,0;1,5853658536585367;1,0
False;False;False;True;False;False;True;False;False;False;False;41,0;91,0;41,0;76,1743450767841;0,7591463414634146;28,0;40,0;40,0;41,0;1,5365853658536586;1,0
False;False;False;True;False;False;False;True;False;False;False;41,0;91,0;41,0;70,37037037037037;0,6971544715447155;26,0;38,0;41,0;41,0;1,6341463414634145;1,0
False;False;False;True;False;False;False;False;True;False;False;41,0;91,0;41,0;68,24751580849141;0,6747967479674796;25,0;38,0;41,0;41,0;1,6585365853658536;1,0
False;False;False;True;False;False;False;False;False;True;False;41,0;91,0;41,0;67,81842818428184;0,6656504065040649;25,0;38,0;40,0;41,0;1,7560975609756098;1,0
False;False;False;True;False;False;False;False;False;False;True;41,0;91,0;41,0;60,04968383017163;0,5899390243902439;20,0;37,0;41,0;41,0;1,829268292682927;2,0
False;False;False;False;True;True;False;False;False;False;False;41,0;91,0;41,0;77,14543812104789;0,7835365853658537;28,0;40,0;40,0;41,0;1,4634146341463414;1,0
False;False;False;False;True;False;True;False;False;False;False;41,0;91,0;41,0;74,25474254742547;0,7601626016260163;26,0;40,0;41,0;41,0;1,4878048780487805;1,0
False;False;False;False;True;False;False;True;False;False;False;41,0;91,0;41,0;61,83378500451672;0,633130081300813;22,0;38,0;40,0;41,0;1,853658536585366;1,0
False;False;False;False;True;False;False;False;True;False;False;41,0;91,0;41,0;69,87353206865401;0,6839430894308942;25,0;39,0;41,0;41,0;1,5853658536585367;1,0
False;False;False;False;True;False;False;False;False;True;False;41,0;91,0;41,0;69,82836495031617;0,7012195121951219;27,0;39,0;40,0;41,0;1,6829268292682926;1,0
False;False;False;False;True;False;False;False;False;False;True;41,0;91,0;41,0;62,35320686540199;0,6239837398373984;24,0;37,0;40,0;41,0;1,8780487804878048;1,0
False;False;False;False;False;True;True;False;False;False;False;41,0;91,0;41,0;75,04516711833786;0,7347560975609756;26,0;40,0;40,0;41,0;1,4878048780487805;1,0
False;False;False;False;False;True;False;True;False;False;False;41,0;91,0;41,0;79,51671183378501;0,801829268292683;29,0;40,0;40,0;41,0;1,4146341463414633;1,0
False;False;False;False;False;True;False;False;True;False;False;41,0;91,0;41,0;74,77416440831075;0,7632113821138211;27,0;40,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;True;False;False;False;True;False;41,0;91,0;41,0;78,02619692863597;0,7896341463414634;28,0;40,0;40,0;41,0;1,4390243902439024;1,0
False;False;False;False;False;True;False;False;False;False;True;41,0;91,0;41,0;73,28364950316171;0,7347560975609756;26,0;40,0;40,0;41,0;1,5365853658536586;1,0
False;False;False;False;False;False;True;True;False;False;False;41,0;91,0;41,0;73,3739837398374;0,7296747967479674;26,0;40,0;41,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;False;True;False;True;False;False;41,0;91,0;41,0;73,50948509485094;0,7357723577235773;25,0;40,0;40,0;41,0;1,5365853658536586;1,0
False;False;False;False;False;False;True;False;False;True;False;41,0;91,0;41,0;74,77416440831075;0,7550813008130081;27,0;40,0;40,0;41,0;1,5121951219512195;1,0
False;False;False;False;False;False;True;False;False;False;True;41,0;91,0;41,0;74,11924119241192;0,7317073170731707;26,0;40,0;40,0;41,0;1,5365853658536586;1,0
False;False;False;False;False;False;False;True;True;False;False;41,0;91,0;41,0;66,12466124661248;0,6321138211382114;23,0;40,0;40,0;41,0;1,7073170731707317;1,0
False;False;False;False;False;False;False;True;False;True;False;41,0;91,0;41,0;67,90876242095753;0,6504065040650406;24,0;39,0;40,0;41,0;1,7317073170731707;1,0
False;False;False;False;False;False;False;True;False;False;True;41,0;91,0;41,0;61,833785004516706;0,6168699186991871;20,0;39,0;40,0;41,0;1,7804878048780488;2,0
False;False;False;False;False;False;False;False;True;True;False;41,0;91,0;41,0;65,67299006323397;0,6656504065040652;23,0;39,0;40,0;41,0;1,7073170731707317;1,0
False;False;False;False;False;False;False;False;True;False;True;41,0;91,0;41,0;64,76964769647697;0,6387195121951219;22,0;39,0;40,0;41,0;1,7560975609756098;1,0
False;False;False;False;False;False;False;False;False;True;True;41,0;91,0;41,0;61,33694670280037;0,6229674796747968;20,0;38,0;40,0;41,0;1,8048780487804879;2,0
True;True;True;False;False;False;False;False;False;False;False;38,0;78,0;38,0;72,60765550239235;0,7236842105263158;25,0;37,0;38,0;38,0;1,4736842105263157;1,0
True;True;False;True;False;False;False;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;True;False;False;True;False;False;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;True;False;False;False;True;False;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;True;False;False;False;False;True;False;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
True;True;False;False;False;False;False;True;False;False;False;41,0;91,0;41,0;71,99638663053297;0,6951219512195121;26,0;39,0;41,0;41,0;1,5609756097560976;1,0
