bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;97,0;288,0;97,0;81,16480187619095;0,7928027912195807;64,0;86,0;93,0;96,0;1,907216494845361;1,0
True;False;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;82,57021360759495;0,8283564924970653;56,0;75,0;78,0;78,0;1,5949367088607596;1,0
True;False;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;83,30834582708646;0,8233649648044195;61,0;81,0;86,0;86,0;1,6436781609195403;1,0
True;False;False;False;True;False;False;False;False;False;False;87,0;228,0;87,0;83,30834582708646;0,8233649648044195;61,0;81,0;86,0;86,0;1,6436781609195403;1,0
True;False;False;False;False;True;False;False;False;False;False;87,0;228,0;87,0;83,30834582708646;0,8233649648044195;61,0;81,0;86,0;86,0;1,6436781609195403;1,0
True;False;False;False;False;False;True;False;False;False;False;87,0;228,0;87,0;83,30834582708646;0,8233649648044195;61,0;81,0;86,0;86,0;1,6436781609195403;1,0
True;False;False;False;False;False;False;True;False;False;False;87,0;228,0;87,0;83,30834582708646;0,8233649648044195;61,0;81,0;86,0;86,0;1,6436781609195403;1,0
True;False;False;False;False;False;False;False;True;False;False;87,0;228,0;87,0;83,30834582708646;0,8233649648044195;61,0;81,0;86,0;86,0;1,6436781609195403;1,0
True;False;False;False;False;False;False;False;False;True;False;87,0;228,0;87,0;83,30834582708646;0,8233649648044195;61,0;81,0;86,0;86,0;1,6436781609195403;1,0
True;False;False;False;False;False;False;False;False;False;True;87,0;228,0;87,0;83,30834582708646;0,8233649648044195;61,0;81,0;86,0;86,0;1,6436781609195403;1,0
False;True;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;84,00415348101266;0,829470828971162;57,0;74,0;78,0;79,0;1,4936708860759493;1,0
False;True;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;83,22267437709716;0,8092808984950125;61,0;82,0;85,0;86,0;1,6666666666666667;1,0
False;True;False;False;True;False;False;False;False;False;False;87,0;228,0;87,0;82,46947954594131;0,7907167678619162;60,0;79,0;85,0;86,0;1,7011494252873562;1,0
False;True;False;False;False;True;False;False;False;False;False;87,0;228,0;87,0;82,33383308345827;0,8013953064073351;60,0;80,0;85,0;86,0;1,793103448275862;1,0
False;True;False;False;False;False;True;False;False;False;False;87,0;228,0;87,0;81,05233097736846;0,778219048467645;60,0;80,0;84,0;86,0;1,7816091954022988;1,0
False;True;False;False;False;False;False;True;False;False;False;87,0;228,0;87,0;84,18647818947669;0,8116739433900619;61,0;82,0;86,0;87,0;1,528735632183908;1,0
False;True;False;False;False;False;False;False;True;False;False;87,0;228,0;87,0;83,8295138145213;0,8137434604956657;62,0;83,0;85,0;86,0;1,7126436781609196;1,0
False;True;False;False;False;False;False;False;False;True;False;87,0;228,0;87,0;84,30070678946242;0,833085118570283;63,0;81,0;86,0;87,0;1,5517241379310345;1,0
False;True;False;False;False;False;False;False;False;False;True;87,0;228,0;87,0;84,53987292068253;0,8276307582642787;62,0;82,0;85,0;87,0;1,5632183908045978;1,0
False;False;True;True;False;False;False;False;False;False;False;79,0;192,0;79,0;84,99307753164558;0,8273611243298118;60,0;75,0;79,0;79,0;1,4303797468354431;1,0
False;False;True;False;True;False;False;False;False;False;False;79,0;192,0;79,0;80,078125;0,7665484914818692;55,0;71,0;76,0;79,0;1,6962025316455696;1,0
False;False;True;False;False;True;False;False;False;False;False;79,0;192,0;79,0;79,66772151898734;0,7423939595825007;56,0;71,0;76,0;78,0;1,9746835443037976;1,0
False;False;True;False;False;False;True;False;False;False;False;79,0;192,0;79,0;79,71716772151898;0,7465023317788141;54,0;71,0;77,0;79,0;1,6835443037974684;1,0
False;False;True;False;False;False;False;True;False;False;False;79,0;192,0;79,0;86,24901107594937;0,8376280892103676;58,0;78,0;79,0;79,0;1,3417721518987342;1,0
False;False;True;False;False;False;False;False;True;False;False;79,0;192,0;79,0;80,59731012658227;0,7638796357983565;54,0;74,0;77,0;79,0;1,6329113924050633;1,0
False;False;True;False;False;False;False;False;False;True;False;79,0;192,0;79,0;85,66060126582278;0,8498897560356586;61,0;72,0;79,0;79,0;1,4430379746835442;1,0
False;False;True;False;False;False;False;False;False;False;True;79,0;192,0;79,0;86,92147943037975;0,8362202975793918;62,0;77,0;79,0;79,0;1,379746835443038;1,0
False;False;False;True;True;False;False;False;False;False;False;87,0;228,0;87,0;78,06810880274149;0,726315644318852;56,0;75,0;83,0;86,0;2,1724137931034484;1,0
False;False;False;True;False;True;False;False;False;False;False;87,0;228,0;87,0;77,03291211537089;0,708073450354926;54,0;79,0;83,0;86,0;2,2298850574712645;1,0
False;False;False;True;False;False;True;False;False;False;False;87,0;228,0;87,0;77,63618190904548;0,708289842712457;57,0;75,0;81,0;86,0;2,160919540229885;1,0
False;False;False;True;False;False;False;True;False;False;False;87,0;228,0;87,0;86,93867352038266;0,8398786717752237;64,0;85,0;87,0;87,0;1,3793103448275863;1,0
False;False;False;True;False;False;False;False;True;False;False;87,0;228,0;87,0;78,79631612765047;0,7324759316539589;57,0;77,0;85,0;86,0;2,103448275862069;1,0
False;False;False;True;False;False;False;False;False;True;False;87,0;228,0;87,0;83,15128150210609;0,8119173847922845;61,0;80,0;84,0;87,0;1,6206896551724137;1,0
False;False;False;True;False;False;False;False;False;False;True;87,0;228,0;87,0;86,3568215892054;0,8226187293949924;65,0;84,0;86,0;86,0;1,5402298850574712;1,0
False;False;False;False;True;True;False;False;False;False;False;87,0;228,0;87,0;76,68665667166418;0,7051187400024609;53,0;75,0;84,0;86,0;2,206896551724138;1,0
False;False;False;False;True;False;True;False;False;False;False;87,0;228,0;87,0;76,13336189048334;0,685495453638998;54,0;75,0;81,0;86,0;2,310344827586207;1,0
False;False;False;False;True;False;False;True;False;False;False;87,0;228,0;87,0;80,71678446491039;0,7539910600255428;57,0;81,0;85,0;87,0;1,6666666666666667;1,0
False;False;False;False;True;False;False;False;True;False;False;87,0;228,0;87,0;78,58213750267724;0,7382750346864219;56,0;77,0;85,0;86,0;2,1149425287356323;1,0
False;False;False;False;True;False;False;False;False;True;False;87,0;228,0;87,0;81,47711858356536;0,7774346261715949;60,0;78,0;83,0;87,0;1,7011494252873562;1,0
False;False;False;False;True;False;False;False;False;False;True;87,0;228,0;87,0;82,16249018347969;0,7813890904307905;62,0;79,0;83,0;86,0;1,7701149425287357;1,0
False;False;False;False;False;True;True;False;False;False;False;87,0;228,0;87,0;77,50767473406155;0,7064568721545467;57,0;76,0;81,0;86,0;2,2988505747126435;1,0
False;False;False;False;False;True;False;True;False;False;False;87,0;228,0;87,0;82,79788677090028;0,7951490985773263;62,0;81,0;84,0;86,0;1,8505747126436782;1,0
False;False;False;False;False;True;False;False;True;False;False;87,0;228,0;87,0;76,35824944670523;0,7032056830573269;54,0;76,0;86,0;86,0;2,206896551724138;1,0
False;False;False;False;False;True;False;False;False;True;False;87,0;228,0;87,0;81,27364888984079;0,7600495156629878;60,0;78,0;84,0;86,0;2,0114942528735633;1,0
