bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;False;False;False;False;False;False;False;False;False;97,0;288,0;97,0;80,51008941222454;0,715100988849148;64,0;85,0;92,0;96,0;1,9793814432989691;1,0
True;False;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;82,56032436708863;0,7656562291805463;56,0;75,0;78,0;78,0;1,6075949367088607;1,0
True;False;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;82,63725280217035;0,7354985298048651;61,0;80,0;85,0;86,0;1,7126436781609196;1,0
True;False;False;False;True;False;False;False;False;False;False;87,0;228,0;87,0;82,63725280217035;0,7354985298048651;61,0;80,0;85,0;86,0;1,7126436781609196;1,0
True;False;False;False;False;True;False;False;False;False;False;87,0;228,0;87,0;82,63725280217035;0,7354985298048651;61,0;80,0;85,0;86,0;1,7126436781609196;1,0
True;False;False;False;False;False;True;False;False;False;False;87,0;228,0;87,0;82,63725280217035;0,7354985298048651;61,0;80,0;85,0;86,0;1,7126436781609196;1,0
True;False;False;False;False;False;False;True;False;False;False;87,0;228,0;87,0;82,63725280217035;0,7354985298048651;61,0;80,0;85,0;86,0;1,7126436781609196;1,0
True;False;False;False;False;False;False;False;True;False;False;87,0;228,0;87,0;82,63725280217035;0,7354985298048651;61,0;80,0;85,0;86,0;1,7126436781609196;1,0
True;False;False;False;False;False;False;False;False;True;False;87,0;228,0;87,0;82,63725280217035;0,7354985298048651;61,0;80,0;85,0;86,0;1,7126436781609196;1,0
True;False;False;False;False;False;False;False;False;False;True;87,0;228,0;87,0;82,63725280217035;0,7354985298048651;61,0;80,0;85,0;86,0;1,7126436781609196;1,0
False;True;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;81,78896360759494;0,7873520827384919;56,0;74,0;79,0;79,0;1,5316455696202531;1,0
False;True;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;80,1456414649818;0,7617101148576692;58,0;77,0;86,0;86,0;1,8045977011494252;1,0
False;True;False;False;True;False;False;False;False;False;False;87,0;228,0;87,0;78,14307132148211;0,717565013174476;55,0;78,0;83,0;86,0;1,8505747126436782;1,0
False;True;False;False;False;True;False;False;False;False;False;87,0;228,0;87,0;77,97172842150353;0,7525617036443017;55,0;79,0;85,0;86,0;2,103448275862069;1,0
False;True;False;False;False;False;True;False;False;False;False;87,0;228,0;87,0;76,21546369672308;0,7090806294896111;55,0;75,0;83,0;86,0;2,264367816091954;1,0
False;True;False;False;False;False;False;True;False;False;False;87,0;228,0;87,0;85,73927322053258;0,8330660251269715;65,0;82,0;86,0;87,0;1,4827586206896552;1,0
False;True;False;False;False;False;False;False;True;False;False;87,0;228,0;87,0;82,20532590847434;0,7870571912271992;61,0;80,0;85,0;86,0;2,0;1,0
False;True;False;False;False;False;False;False;False;True;False;87,0;228,0;87,0;77,82894267152138;0,7352863804347366;55,0;77,0;84,0;87,0;1,7816091954022988;1,0
False;True;False;False;False;False;False;False;False;False;True;87,0;228,0;87,0;81,93403298350826;0,7930429857053755;60,0;82,0;85,0;86,0;1,6781609195402298;1,0
False;False;True;True;False;False;False;False;False;False;False;79,0;192,0;79,0;82,2537579113924;0,7878795088988294;58,0;70,0;79,0;79,0;1,5443037974683544;1,0
False;False;True;False;True;False;False;False;False;False;False;79,0;192,0;79,0;83,43552215189874;0,8203023381237905;59,0;72,0;76,0;79,0;1,6075949367088607;1,0
False;False;True;False;False;True;False;False;False;False;False;79,0;192,0;79,0;80,92365506329115;0,7922059896576885;56,0;71,0;77,0;78,0;1,8101265822784811;1,0
False;False;True;False;False;False;True;False;False;False;False;79,0;192,0;79,0;82,98556170886076;0,8073506551188098;58,0;74,0;78,0;79,0;1,5443037974683544;1,0
False;False;True;False;False;False;False;True;False;False;False;79,0;192,0;79,0;82,68393987341771;0,788954189270645;54,0;76,0;78,0;79,0;1,481012658227848;1,0
False;False;True;False;False;False;False;False;True;False;False;79,0;192,0;79,0;86,0215585443038;0,846047079724628;59,0;77,0;79,0;79,0;1,3670886075949367;1,0
False;False;True;False;False;False;False;False;False;True;False;79,0;192,0;79,0;84,14260284810126;0,8204292376510897;58,0;73,0;78,0;79,0;1,481012658227848;1,0
False;False;True;False;False;False;False;False;False;False;True;79,0;192,0;79,0;85,78916139240506;0,8285983947209797;60,0;75,0;79,0;79,0;1,4050632911392404;1,0
False;False;False;True;True;False;False;False;False;False;False;87,0;228,0;87,0;78,75705004640537;0,7194992850566226;56,0;79,0;84,0;86,0;2,1264367816091956;1,0
False;False;False;True;False;True;False;False;False;False;False;87,0;228,0;87,0;80,95238095238095;0,7668786038874251;59,0;78,0;85,0;86,0;1,9195402298850575;1,0
False;False;False;True;False;False;True;False;False;False;False;87,0;228,0;87,0;79,03191261512102;0,7218212599126793;58,0;76,0;84,0;86,0;1,9885057471264367;1,0
False;False;False;True;False;False;False;True;False;False;False;87,0;228,0;87,0;81,34504176483188;0,7658045977011494;58,0;81,0;87,0;87,0;1,5977011494252873;1,0
False;False;False;True;False;False;False;False;True;False;False;87,0;228,0;87,0;79,79224673377597;0,7621916939278607;58,0;78,0;85,0;86,0;1,8735632183908046;1,0
False;False;False;True;False;False;False;False;False;True;False;87,0;228,0;87,0;80,3384022274577;0,7542700364472618;59,0;77,0;85,0;87,0;1,7126436781609196;1,0
False;False;False;True;False;False;False;False;False;False;True;87,0;228,0;87,0;79,74227172128221;0,7497761824145145;57,0;80,0;85,0;86,0;1,7816091954022988;1,0
False;False;False;False;True;True;False;False;False;False;False;87,0;228,0;87,0;78,599985721425;0,7322982565564762;55,0;77,0;84,0;86,0;2,0229885057471266;1,0
False;False;False;False;True;False;True;False;False;False;False;87,0;228,0;87,0;80,14207182123224;0,728595189300883;58,0;78,0;83,0;86,0;2,1264367816091956;1,0
False;False;False;False;True;False;False;True;False;False;False;87,0;228,0;87,0;81,30934532733633;0,7667550268793252;59,0;79,0;85,0;87,0;1,6551724137931034;1,0
False;False;False;False;True;False;False;False;True;False;False;87,0;228,0;87,0;77,96101949025488;0,7248136267783422;55,0;79,0;84,0;86,0;1,8735632183908046;1,0
False;False;False;False;True;False;False;False;False;True;False;87,0;228,0;87,0;79,11758406511031;0,7374041615220444;57,0;78,0;84,0;86,0;1,9540229885057472;1,0
False;False;False;False;True;False;False;False;False;False;True;87,0;228,0;87,0;80,78817733990148;0,7599291208954401;58,0;80,0;84,0;86,0;1,9655172413793103;1,0
False;False;False;False;False;True;True;False;False;False;False;87,0;228,0;87,0;80,44906118369387;0,7511212094211293;57,0;79,0;85,0;86,0;2,045977011494253;1,0
False;False;False;False;False;True;False;True;False;False;False;87,0;228,0;87,0;81,5984864710502;0,7921641569396181;57,0;84,0;86,0;86,0;1,8160919540229885;1,0
False;False;False;False;False;True;False;False;True;False;False;87,0;228,0;87,0;79,69943599628758;0,7740195516859513;59,0;75,0;86,0;86,0;2,0114942528735633;1,0
False;False;False;False;False;True;False;False;False;True;False;87,0;228,0;87,0;81,95188120225602;0,799582490039587;61,0;80,0;86,0;86,0;1,8620689655172413;1,0
False;False;False;False;False;True;False;False;False;False;True;87,0;228,0;87,0;83,38687798957663;0,8106598694008476;64,0;80,0;86,0;86,0;1,8275862068965518;1,0
False;False;False;False;False;False;True;True;False;False;False;87,0;228,0;87,0;82,83001356464624;0,7691570881226053;61,0;82,0;85,0;87,0;1,6206896551724137;1,0
False;False;False;False;False;False;True;False;True;False;False;87,0;228,0;87,0;79,39958592132506;0,7485616272705287;60,0;77,0;84,0;86,0;2,045977011494253;1,0
False;False;False;False;False;False;True;False;False;True;False;87,0;228,0;87,0;81,16655957735416;0,7585634093252377;60,0;79,0;83,0;86,0;2,0114942528735633;1,0
False;False;False;False;False;False;True;False;False;False;True;87,0;228,0;87,0;73,94160062825729;0,6679507007293695;51,0;74,0;83,0;86,0;2,1379310344827585;1,0
False;False;False;False;False;False;False;True;True;False;False;87,0;228,0;87,0;82,37666880845292;0,7780933499658441;57,0;82,0;86,0;87,0;1,5517241379310345;1,0
False;False;False;False;False;False;False;True;False;True;False;87,0;228,0;87,0;82,66224030841722;0,7747445721583652;60,0;82,0;86,0;87,0;1,5632183908045978;1,0
False;False;False;False;False;False;False;True;False;False;True;87,0;228,0;87,0;83,15128150210609;0,7895876028394071;62,0;82,0;86,0;87,0;1,5632183908045978;1,0
False;False;False;False;False;False;False;False;True;True;False;87,0;228,0;87,0;78,82844292139646;0,7433528298604481;56,0;79,0;84,0;86,0;1,9655172413793103;1,0
False;False;False;False;False;False;False;False;True;False;True;87,0;228,0;87,0;78,92125365888485;0,7392477395484615;58,0;77,0;85,0;86,0;2,0;1,0
False;False;False;False;False;False;False;False;False;True;True;87,0;228,0;87,0;81,50924537731134;0,7711401543598818;59,0;78,0;85,0;87,0;1,6666666666666667;1,0
True;True;True;False;False;False;False;False;False;False;False;79,0;192,0;79,0;82,56032436708863;0,7656562291805463;56,0;75,0;78,0;78,0;1,6075949367088607;1,0
True;True;False;True;False;False;False;False;False;False;False;87,0;228,0;87,0;82,63725280217035;0,7354985298048651;61,0;80,0;85,0;86,0;1,7126436781609196;1,0
