refset;bp distance;algorithm;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
Teslovich;100;LR;22,0;22,0;64,280868385346;0,5412837162837163;8,0;17,0;20,0;22,0;2,590909090909091;2,0
Teslovich;100;SVM;22,0;22,0;76,2211668928087;0,685064935064935;11,0;19,0;21,0;22,0;2,0;1,5
Teslovich;100;DT;22,0;22,0;72,79511533242876;0,6100649350649351;10,0;19,0;22,0;22,0;2,090909090909091;2,0
Teslovich;100;KNN1;22,0;22,0;68,52103120759837;0,594955044955045;9,0;19,0;20,0;22,0;2,409090909090909;2,0
Teslovich;100;KNN3;22,0;22,0;68,3853459972863;0,5893606393606393;10,0;17,0;20,0;22,0;2,4545454545454546;2,0
Teslovich;100;KNN5;22,0;22,0;68,35142469470829;0,6299450549450549;9,0;18,0;20,0;22,0;2,409090909090909;2,0
Teslovich;100;KNN7;22,0;22,0;71,37042062415196;0,6848901098901099;11,0;18,0;21,0;22,0;2,1818181818181817;1,5
Teslovich;100;KNN9;22,0;22,0;67,23202170963364;0,6154095904095904;9,0;18,0;20,0;22,0;2,4545454545454546;2,0
Teslovich;100;RF;22,0;22,0;82,32700135685211;0,798051948051948;12,0;21,0;21,0;22,0;1,7272727272727273;1,0
Teslovich;500;LR;60,0;63,0;62,2850529100529;0,49545961186002546;6,0;18,0;35,0;53,0;6,253968253968254;5,0
Teslovich;500;SVM;60,0;63,0;78,19876882376883;0,7601245203883729;24,0;39,0;49,0;59,0;3,9682539682539684;2,0
Teslovich;500;DT;60,0;63,0;74,05245217745218;0,6621992912892669;19,0;33,0;45,0;57,0;4,428571428571429;3,0
Teslovich;500;KNN1;60,0;63,0;73,73066748066749;0,6340073470398824;17,0;33,0;47,0;55,0;4,5396825396825395;3,0
Teslovich;500;KNN3;60,0;63,0;74,53194953194954;0,6354856316607272;17,0;35,0;46,0;58,0;4,317460317460317;3,0
Teslovich;500;KNN5;60,0;63,0;75,74531949531949;0,6635148680207389;16,0;41,0;48,0;56,0;4,317460317460317;3,0
Teslovich;500;KNN7;60,0;63,0;76,12688237688238;0,6627560993774791;16,0;38,0;50,0;59,0;4,111111111111111;3,0
Teslovich;500;KNN9;60,0;63,0;75,7287851037851;0,6725024357014373;15,0;35,0;50,0;60,0;4,126984126984127;3,0
Teslovich;500;RF;60,0;63,0;83,72379934879936;0,8120428371508092;29,0;46,0;54,0;61,0;3,111111111111111;2,0
Teslovich;1000;LR;76,0;79,0;66,09313288890088;0,5531943455275763;7,0;22,0;33,0;54,0;9,139240506329115;6,0
Teslovich;1000;SVM;76,0;79,0;74,4068985992281;0,6753375828991809;11,0;30,0;48,0;66,0;7,0886075949367084;5,0
Teslovich;1000;DT;76,0;79,0;73,57831097676176;0,6412304548258986;23,0;34,0;43,0;59,0;7,2025316455696204;4,0
Teslovich;1000;KNN1;76,0;79,0;71,38943618255918;0,6258005886465664;20,0;33,0;42,0;56,0;8,075949367088608;5,0
Teslovich;1000;KNN3;76,0;79,0;76,70553201443056;0,6805849277650539;26,0;37,0;47,0;63,0;6,291139240506329;4,0
Teslovich;1000;KNN5;76,0;79,0;76,6650472771765;0,6876858314193929;18,0;38,0;50,0;63,0;6,379746835443038;4,0
Teslovich;1000;KNN7;76,0;79,0;77,60744199436813;0,6960605464938946;18,0;40,0;53,0;65,0;6,2025316455696204;3,0
