refset;bp distance;algorithm;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
Teslovich;100;LR;70,96336499321573;0,6331168831168831;10,0;18,0;22,0;22,0;2,1818181818181817;2,0
Teslovich;100;SVM;65,73948439620081;0,535914085914086;7,0;17,0;20,0;22,0;2,590909090909091;2,0
Teslovich;100;DT;67,23202170963364;0,5614385614385614;6,0;18,0;21,0;22,0;2,4545454545454546;2,0
Teslovich;100;KNN1;71,09905020352781;0,665959040959041;10,0;17,0;19,0;22,0;2,409090909090909;2,0
Teslovich;100;KNN3;66,85888738127545;0,6115634365634366;9,0;16,0;19,0;22,0;2,6818181818181817;2,0
Teslovich;100;KNN5;59,599728629579374;0,505969030969031;7,0;14,0;19,0;22,0;2,9545454545454546;2,0
Teslovich;100;KNN7;64,38263229308006;0,6023226773226773;8,0;16,0;19,0;22,0;2,6818181818181817;2,0
Teslovich;100;KNN9;65,53595658073269;0,6171828171828172;8,0;17,0;20,0;22,0;2,590909090909091;2,0
Teslovich;100;RF;69,53867028493895;0,5668831168831169;11,0;16,0;21,0;21,0;2,5;1,5
Teslovich;500;LR;70,00661375661377;0,6255411624944706;16,0;30,0;41,0;57,0;5,428571428571429;4,0
Teslovich;500;SVM;60,2322446072446;0,4770313489013526;9,0;20,0;30,0;52,0;6,968253968253968;6,0
Teslovich;500;DT;60,2907509157509;0,46350810714499346;10,0;22,0;30,0;52,0;6,968253968253968;6,0
Teslovich;500;KNN1;64,10510785510785;0,515215543228688;10,0;27,0;34,0;54,0;6,349206349206349;5,0
Teslovich;500;KNN3;63,86599511599511;0,5077563854560626;9,0;26,0;36,0;54,0;6,333333333333333;4,0
Teslovich;500;KNN5;65,06155881155881;0,5086320079272734;9,0;30,0;40,0;52,0;6,26984126984127;4,0
Teslovich;500;KNN7;63,79349816849816;0,5057094456217187;7,0;29,0;38,0;49,0;6,190476190476191;4,0
Teslovich;500;KNN9;65,68859381359381;0,5333380713787974;8,0;28,0;41,0;52,0;5,825396825396825;4,0
Teslovich;500;RF;68,13314000814002;0,5754306207002841;6,0;34,0;45,0;54,0;5,73015873015873;3,0
Teslovich;1000;LR;75,20759673603052;0,6752537395104512;16,0;31,0;46,0;68,0;6,886075949367089;5,0
Teslovich;1000;SVM;60,20890124423093;0,4588982819365508;6,0;16,0;27,0;49,0;11,253164556962025;8,0
Teslovich;1000;DT;58,849063902908604;0,44730212693208476;5,0;16,0;26,0;46,0;11,670886075949367;9,0
Teslovich;1000;KNN1;59,177889935494306;0,45592690654716916;5,0;17,0;26,0;46,0;11,620253164556962;9,0
Teslovich;1000;KNN3;60,3411513859275;0,46271902502787343;5,0;17,0;29,0;47,0;11,30379746835443;8,0
Teslovich;1000;KNN5;59,57823900389554;0,44754196357183934;4,0;17,0;30,0;46,0;11,721518987341772;8,0
Teslovich;1000;KNN7;61,052333270357074;0,4604039508588705;5,0;19,0;32,0;47,0;11,177215189873417;7,0
