refset;algorithm;variation;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
Teslovich;LR;normal;100;22,0;24,0;63,820422535211264;0,5571928071928073;9,0;18,0;22,0;24,0;2,7083333333333335;3,0;69,60651289009499;0,6103896103896104;9,0;18,0;22,0;22,0;2,227272727272727;2,0
Teslovich;LR;normal;500;60,0;71,0;63,26239374573432;0,4953293499650575;6,0;20,0;39,0;55,0;6,676056338028169;5,0;70,06512006512008;0,6268232137765218;16,0;30,0;41,0;57,0;5,412698412698413;4,0
Teslovich;LR;normal;1000;76,0;94,0;68,59308668102743;0,5511515933390063;7,0;25,0;36,0;63,0;10,159574468085106;7,5;75,24988079494031;0,6756923360016794;16,0;31,0;46,0;68,0;6,8734177215189876;5,0
Teslovich;LR;normal;2000;89,0;121,0;65,41451676346051;0,5319791626592727;4,0;12,0;23,0;45,0;21,867768595041323;16,0;79,62517852147411;0,7313047649761487;16,0;33,0;48,0;72,0;9,445652173913043;5,0
Teslovich;LR;graphlet;100;22,0;24,0;73,56220657276995;0,6276473526473526;11,0;21,0;22,0;24,0;2,25;2,0;70,01356852103122;0,6276723276723277;10,0;18,0;21,0;22,0;2,272727272727273;2,0
Teslovich;LR;graphlet;500;60,0;71,0;63,096936981654984;0,49299601663172415;6,0;20,0;39,0;55,0;6,704225352112676;5,0;69,92521367521368;0,6251565471098551;16,0;29,0;41,0;57,0;5,428571428571429;4,0
Teslovich;LR;graphlet;1000;76,0;94,0;68,59308668102743;0,5511515933390063;7,0;25,0;36,0;63,0;10,159574468085106;7,5;75,24988079494031;0,6756923360016794;16,0;31,0;46,0;68,0;6,8734177215189876;5,0
Teslovich;LR;graphlet;2000;89,0;121,0;65,41451676346051;0,5319791626592727;4,0;12,0;23,0;45,0;21,867768595041323;16,0;79,62517852147411;0,7313047649761487;16,0;33,0;48,0;72,0;9,445652173913043;5,0
Teslovich;LR;autoencode;100;22,0;24,0;67,86971830985915;0,5863636363636364;9,0;19,0;23,0;24,0;2,5;2,0;70,08141112618725;0,6038961038961038;11,0;17,0;21,0;22,0;2,3181818181818183;1,5
Teslovich;LR;autoencode;500;60,0;71,0;64,24686149200637;0,4903693521716607;10,0;26,0;38,0;55,0;6,647887323943662;5,0;66,58272283272284;0,594354616677002;12,0;27,0;36,0;56,0;5,888888888888889;4,0
Teslovich;LR;autoencode;1000;76,0;94,0;69,55330486376175;0,5519275378951899;9,0;26,0;39,0;65,0;9,946808510638299;6,5;72,92605687655754;0,6512839831025686;12,0;28,0;41,0;66,0;7,3924050632911396;5,0
Teslovich;LR;autoencode;2000;89,0;121,0;66,3220511180899;0,5398761646959879;6,0;16,0;26,0;49,0;21,462809917355372;14,0;78,93152137104492;0,7261979321877432;14,0;31,0;45,0;71,0;9,706521739130435;6,0
Teslovich;LR;combi;100;22,0;24,0;72,15375586854461;0,6503746253746253;12,0;19,0;22,0;24,0;2,375;1,5;73,54138398914519;0,7158091908091908;11,0;18,0;21,0;22,0;2,1363636363636362;1,5
Teslovich;LR;combi;500;60,0;71,0;63,769105085727276;0,4875634539978162;9,0;25,0;37,0;55,0;6,704225352112676;5,0;68,32773707773708;0,6029820143306985;13,0;31,0;37,0;57,0;5,634920634920635;4,0
Teslovich;LR;combi;1000;76,0;94,0;69,28404066361816;0,5471613682917486;9,0;26,0;39,0;65,0;10,042553191489361;7,0;72,79245724361917;0,648359158134865;12,0;27,0;41,0;66,0;7,455696202531645;5,0
Teslovich;LR;combi;2000;89,0;121,0;66,313111447196;0,5395958320543893;6,0;16,0;25,0;49,0;21,47107438016529;14,0;78,82183188798422;0,7252332347609799;15,0;30,0;44,0;71,0;9,771739130434783;6,0
Teslovich;SVM;normal;100;22,0;24,0;61,267605633802816;0,4994005994005994;7,0;17,0;22,0;24,0;2,9166666666666665;2,5;62,65264586160109;0,4654845154845155;8,0;17,0;20,0;22,0;2,6363636363636362;2,5
Teslovich;SVM;normal;500;60,0;71,0;56,96572976774006;0,3752357392509002;7,0;23,0;32,0;51,0;8,887323943661972;6,0;58,06623931623931;0,4180185923726484;5,0;17,0;30,0;53,0;7,031746031746032;6,0
Teslovich;SVM;normal;1000;76,0;94,0;62,506456042225665;0,45136073133960114;8,0;23,0;31,0;56,0;13,638297872340425;8,5;59,56159527857998;0,44652587052028964;2,0;12,0;25,0;47,0;11,367088607594937;8,0
Teslovich;SVM;normal;2000;89,0;121,0;63,239652593871796;0,5005544814784799;8,0;22,0;33,0;51,0;27,107438016528924;16,0;62,26516144230627;0,5046948954613913;6,0;14,0;26,0;40,0;18,217391304347824;12,0
