refset;algorithm;variation;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
Teslovich;LR;normal;100;22,0;22,0;61,90637720488466;0,5507742257742257;8,0;16,0;20,0;22,0;2,727272727272727;2,0;69,60651289009499;0,6103896103896105;9,0;18,0;22,0;22,0;2,227272727272727;2,0
Teslovich;LR;normal;500;60,0;63,0;64,32265790211214;0,5498584512049902;14,0;28,0;37,0;51,0;6,349206349206349;4,0;70,06512006512008;0,6268232137765218;16,0;30,0;41,0;57,0;5,412698412698413;4,0
Teslovich;LR;normal;1000;76,0;79,0;63,77820191944108;0,5263300218702669;8,0;22,0;39,0;52,0;10,746835443037975;6,0;75,24988079494031;0,6756923360016795;16,0;31,0;46,0;68,0;6,8734177215189876;5,0
Teslovich;LR;normal;2000;89,0;92,0;64,05495169082126;0,5225407062059427;3,0;13,0;29,0;48,0;17,956521739130434;9,0;79,62517852147411;0,7313047649761485;16,0;33,0;48,0;72,0;9,445652173913043;5,0
Teslovich;LR;graphlet;100;22,0;22,0;70,25101763907735;0,6706543456543457;12,0;17,0;19,0;22,0;2,5454545454545454;1,0;70,01356852103122;0,6276723276723277;10,0;18,0;21,0;22,0;2,272727272727273;2,0
Teslovich;LR;graphlet;500;60,0;63,0;66,23608244796047;0,5771832931736304;16,0;30,0;39,0;51,0;6,126984126984127;4,0;70,54334554334555;0,6376020808789183;18,0;30,0;40,0;57,0;5,365079365079365;4,0
Teslovich;LR;graphlet;1000;76,0;79,0;63,77820191944108;0,5263300218702669;8,0;22,0;39,0;52,0;10,746835443037975;6,0;75,24988079494031;0,6756923360016795;16,0;31,0;46,0;68,0;6,8734177215189876;5,0
Teslovich;LR;graphlet;2000;89,0;92,0;64,05495169082126;0,5225407062059427;3,0;13,0;29,0;48,0;17,956521739130434;9,0;79,62517852147411;0,7313047649761485;16,0;33,0;48,0;72,0;9,445652173913043;5,0
Teslovich;LR;autoencode;100;22,0;22,0;68,72455902306649;0,6023476523476524;10,0;17,0;21,0;22,0;2,3636363636363638;2,0;70,08141112618725;0,6038961038961039;11,0;17,0;21,0;22,0;2,3181818181818183;1,5
Teslovich;LR;autoencode;500;60,0;63,0;64,16723992967974;0,5387380808346198;11,0;29,0;38,0;51,0;6,380952380952381;4,0;66,58272283272284;0,594354616677002;12,0;27,0;36,0;56,0;5,888888888888889;4,0
Teslovich;LR;autoencode;1000;76,0;79,0;63,50451050650916;0,5237911225386045;6,0;22,0;39,0;52,0;10,79746835443038;6,0;72,92605687655754;0,6512839831025685;12,0;28,0;41,0;66,0;7,3924050632911396;5,0
Teslovich;LR;autoencode;2000;89,0;92,0;64,0223650877813;0,5235364896201562;4,0;11,0;29,0;48,0;17,967391304347824;9,0;78,93152137104492;0,7261979321877432;14,0;31,0;45,0;71,0;9,706521739130435;6,0
Teslovich;LR;combi;100;22,0;22,0;68,3853459972863;0,6566933066933067;11,0;17,0;19,0;22,0;2,590909090909091;1,5;73,54138398914519;0,7158091908091908;11,0;18,0;21,0;22,0;2,1363636363636362;1,5
Teslovich;LR;combi;500;60,0;63,0;63,991439272338155;0,5391525545188304;13,0;28,0;37,0;50,0;6,412698412698413;4,0;68,32773707773708;0,6029820143306984;13,0;31,0;37,0;57,0;5,634920634920635;4,0
Teslovich;LR;combi;1000;76,0;79,0;63,32625096782325;0,5265891644197446;7,0;20,0;39,0;52,0;10,835443037974683;6,0;72,79245724361917;0,6483591581348649;12,0;27,0;41,0;66,0;7,455696202531645;5,0
Teslovich;LR;combi;2000;89,0;92,0;63,98977848474136;0,5231960061336053;4,0;11,0;29,0;48,0;17,97826086956522;9,0;78,82183188798422;0,7252332347609801;15,0;30,0;44,0;71,0;9,771739130434783;6,0
Teslovich;SVM;normal;100;22,0;22,0;63,50067842605156;0,49940059940059933;7,0;17,0;20,0;22,0;2,727272727272727;2,0;62,65264586160109;0,4654845154845155;8,0;17,0;20,0;22,0;2,6363636363636362;2,5
Teslovich;SVM;normal;500;60,0;63,0;56,386149965604226;0,38219256238419386;7,0;19,0;28,0;49,0;7,380952380952381;6,0;58,06623931623931;0,4180185923726484;5,0;17,0;30,0;53,0;7,031746031746032;6,0
Teslovich;SVM;normal;1000;76,0;79,0;60,05860957559824;0,4552019394331622;8,0;18,0;24,0;48,0;11,164556962025317;8,0;59,56159527857998;0,4465258705202895;2,0;12,0;25,0;47,0;11,367088607594937;8,0
Teslovich;SVM;normal;2000;89,0;92,0;65,36541180629199;0,5551857782104763;12,0;20,0;36,0;46,0;17,01086956521739;10,5;62,26516144230627;0,5046948954613915;6,0;14,0;26,0;40,0;18,217391304347824;12,0
Teslovich;SVM;graphlet;100;22,0;22,0;75,23744911804614;0,6817182817182817;9,0;19,0;22,0;22,0;1,9545454545454546;2,0;72,93080054274084;0,658991008991009;8,0;19,0;21,0;22,0;2,090909090909091;2,0
Teslovich;SVM;graphlet;500;60,0;63,0;60,86142322097379;0,4714932312141552;12,0;24,0;34,0;51,0;6,73015873015873;5,0;61,92129629629629;0,47957487368208906;10,0;22,0;38,0;53,0;6,603174603174603;5,0
Teslovich;SVM;graphlet;1000;76,0;79,0;64,64204044150746;0,5000924314326204;14,0;22,0;35,0;52,0;10,164556962025317;6,0;59,401905481633435;0,4168321158513913;2,0;12,0;32,0;46,0;11,848101265822784;7,0
Teslovich;SVM;graphlet;2000;89,0;92,0;67,02419877459644;0,5539553507364254;17,0;26,0;36,0;48,0;15,891304347826088;10,0;59,84279067713011;0,4335598974398217;2,0;11,0;18,0;36,0;19,684782608695652;12,0
Teslovich;SVM;autoencode;100;22,0;22,0;66,82496607869743;0,5169330669330668;8,0;18,0;20,0;22,0;2,5454545454545454;2,0;60,651289009497965;0,4119880119880119;7,0;17,0;21,0;22,0;2,8181818181818183;2,5
Teslovich;SVM;autoencode;500;60,0;63,0;65,09592601085379;0,5346232970367064;12,0;29,0;34,0;54,0;6,063492063492063;4,0;60,48026048026047;0,47271923135860255;8,0;22,0;34,0;52,0;6,682539682539683;5,0
Teslovich;SVM;autoencode;1000;76,0;79,0;66,66186506293103;0,537615307601401;16,0;28,0;38,0;50,0;9,79746835443038;6,0;59,95654638201399;0,45449606436211837;4,0;19,0;35,0;46,0;12,0;6,0
Teslovich;SVM;autoencode;2000;89,0;92,0;70,91783757511489;0,622391807452698;23,0;38,0;45,0;51,0;14,91304347826087;6,5;61,29912101179345;0,48441632831245124;4,0;18,0;27,0;40,0;19,543478260869566;12,0
Teslovich;SVM;combi;100;22,0;22,0;78,56173677069201;0,7728021978021978;13,0;19,0;21,0;22,0;2,0454545454545454;1,0;81,27544097693352;0,7876623376623377;15,0;19,0;21,0;22,0;1,9545454545454546;1,0
Teslovich;SVM;combi;500;60,0;63,0;67,01699406354302;0,5671428230807777;16,0;32,0;38,0;54,0;5,920634920634921;3,0;64,55789580789582;0,5597632337357762;13,0;29,0;37,0;51,0;6,396825396825397;4,0
