refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;LR;combo;binary;diff expression;100;54,0;215,0;80,50374458021285;0,6449689037408335;28,0;78,0;115,0;180,0;8,093023255813954;5,0;69,71383523847064;0,6853859184999536;25,0;65,0;91,0;134,0;11,604651162790697;7,0
farashi;LR;combo;binary;diff expression;500;135,0;531,0;89,00337564345541;0,7107067003641082;49,0;146,0;222,0;313,0;12,900188323917137;7,0;74,88900818910788;0,6347089593413862;27,0;95,0;145,0;264,0;53,325800376647834;11,0
farashi;LR;combo;binary;diff expression;1000;173,0;664,0;90,43325827837519;0,7367652755251463;51,0;151,0;232,0;333,0;19,46385542168675;10,0;78,72565561439347;0,6830097657920176;28,0;94,0;150,0;277,0;71,70030120481928;14,0
farashi;LR;combo;binary;diff expression;2000;194,0;736,0;89,56099140177847;0,743327984803732;52,0;158,0;257,0;379,0;38,18478260869565;10,0;82,63472045966152;0,7598448320142813;29,0;100,0;155,0;285,0;63,99048913043478;15,0
farashi;LR;combo;binary;no expression;100;54,0;55,0;68,51119894598155;0,6165123456790125;27,0;48,0;52,0;55,0;2,109090909090909;2,0;67,23320158102767;0,567283950617284;20,0;53,0;54,0;55,0;2,0;2,0
farashi;LR;combo;binary;no expression;500;135,0;144,0;74,18548227371757;0,5889107593435234;36,0;67,0;98,0;125,0;5,284722222222222;4,0;77,40167194824058;0,6657793261549012;32,0;88,0;113,0;124,0;5,118055555555555;3,0
farashi;LR;combo;binary;no expression;1000;173,0;185,0;70,86717179740435;0,5647755712244048;25,0;55,0;77,0;124,0;10,286486486486487;7,0;78,95338476733826;0,7086978841806277;45,0;96,0;119,0;140,0;7,572972972972973;3,0
farashi;LR;combo;binary;no expression;2000;194,0;208,0;63,63865895301687;0,5135756774179107;10,0;28,0;42,0;83,0;20,346153846153847;14,0;80,9855102289704;0,7603829571538916;43,0;96,0;119,0;140,0;9,975961538461538;4,0
farashi;LR;combo;normal;diff expression;100;54,0;215,0;78,81316515569571;0,6597721154738699;28,0;80,0;118,0;182,0;9,465116279069768;5,0;74,24320063066614;0,7377007333147684;28,0;75,0;105,0;164,0;10,679069767441861;6,0
farashi;LR;combo;normal;diff expression;500;135,0;531,0;84,16508386598117;0,6275221450282438;41,0;119,0;174,0;294,0;26,231638418079097;9,0;75,39830266649807;0,6559400869842658;38,0;109,0;158,0;265,0;52,58380414312618;11,0
