refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;LR;combo;normal;diff expression;100;54,0;55,0;69,47957839262187;0,6188271604938271;28,0;47,0;53,0;55,0;2,0727272727272728;1,0;78,70882740447959;0,7518518518518519;31,0;52,0;55,0;55,0;1,6545454545454545;1,0
farashi;LR;combo;normal;diff expression;500;135,0;144,0;75,42231960124116;0,602398016111846;40,0;70,0;100,0;125,0;5,069444444444445;4,0;75,44707697893972;0,6603921263262817;37,0;88,0;109,0;120,0;5,736111111111111;3,0
farashi;LR;combo;normal;diff expression;1000;173,0;185,0;73,19503249735808;0,5823735929715997;31,0;60,0;84,0;132,0;9,518918918918919;6,0;78,74313618499666;0,709699277719813;44,0;96,0;118,0;138,0;7,621621621621622;3,0
farashi;LR;combo;normal;diff expression;2000;194,0;208,0;68,1624884396882;0,5574954640877784;28,0;46,0;60,0;98,0;17,865384615384617;11,0;80,84993063812922;0,7595537056091913;45,0;96,0;118,0;139,0;10,04326923076923;4,0
farashi;LR;combo;binary;diff expression;100;54,0;55,0;68,965744400527;0,6435185185185185;28,0;46,0;52,0;55,0;2,109090909090909;1,0;70,79710144927537;0,6529320987654321;25,0;51,0;55,0;55,0;1,9090909090909092;2,0
farashi;LR;combo;binary;diff expression;500;135,0;144,0;82,61805142932594;0,6923523434480912;46,0;92,0;119,0;136,0;3,763888888888889;2,0;75,41839968310556;0,6492781000194898;34,0;90,0;105,0;121,0;5,75;3,0
farashi;LR;combo;binary;diff expression;1000;173,0;185,0;83,45632368888182;0,7082756476959322;50,0;108,0;127,0;155,0;6,183783783783784;2,0;78,8562035073663;0,7044422853581511;39,0;95,0;117,0;142,0;7,524324324324325;3,0
farashi;LR;combo;binary;diff expression;2000;194,0;208,0;82,36125085114384;0,7172641931073686;56,0;106,0;122,0;150,0;10,177884615384615;3,0;82,26711688364483;0,7682191490646576;46,0;94,0;121,0;147,0;9,317307692307692;4,0
farashi;LR;incoming;normal;diff expression;100;45,0;46,0;69,29627969520395;0,6638335738335737;24,0;41,0;44,0;46,0;1,9782608695652173;1,0;77,95831465710444;0,7812938912938912;27,0;45,0;46,0;46,0;1,5869565217391304;1,0
farashi;LR;incoming;normal;diff expression;500;121,0;130,0;70,72323124406458;0,5676261217812836;28,0;55,0;89,0;113,0;5,2615384615384615;4,0;75,16292735042735;0,651767443440099;35,0;86,0;100,0;111,0;5,161538461538462;3,0
farashi;LR;incoming;normal;diff expression;1000;159,0;170,0;68,16367456073338;0,5409702457810804;18,0;44,0;69,0;118,0;9,629411764705882;7,0;77,86354087089381;0,6947563393366909;40,0;92,0;112,0;130,0;6,8352941176470585;3,0
farashi;LR;incoming;normal;diff expression;2000;180,0;192,0;62,58660517999451;0,5081524964838027;12,0;28,0;43,0;82,0;17,953125;13,0;79,99042491068975;0,7485871700478379;41,0;93,0;112,0;131,0;9,15625;4,0
