refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;LR;incoming;binary;diff expression;100;45,0;193,0;82,76374003359595;0,7145086304102699;27,0;74,0;108,0;169,0;8,27461139896373;5,0;80,90827359405682;0,7673362824182497;29,0;71,0;101,0;163,0;8,637305699481866;5,0
farashi;LR;incoming;binary;diff expression;500;121,0;492,0;89,30698403369576;0,7124247158479247;49,0;143,0;206,0;312,0;10,865853658536585;7,0;76,36449864498644;0,6486924867027463;29,0;100,0;147,0;258,0;38,75;10,0
farashi;LR;incoming;binary;diff expression;1000;159,0;613,0;90,96912414103167;0,7052712437814483;49,0;139,0;211,0;319,0;14,535073409461663;9,0;78,51740980329069;0,6747499597921452;32,0;104,0;170,0;279,0;56,46166394779772;13,0
farashi;LR;incoming;binary;diff expression;2000;180,0;680,0;89,80921958114794;0,7022543056037674;49,0;143,0;225,0;331,0;22,429411764705883;11,0;80,07530726831521;0,7427668278734391;34,0;109,0;181,0;294,0;61,93970588235294;14,0
farashi;LR;incoming;binary;no expression;100;45,0;46,0;74,67503361721201;0,7278306878306877;26,0;43,0;44,0;46,0;1,7608695652173914;1,0;76,59121470192738;0,7141702741702742;25,0;45,0;46,0;46,0;1,6304347826086956;1,0
farashi;LR;incoming;binary;no expression;500;121,0;130,0;69,28567188983855;0,5445890272565859;26,0;53,0;85,0;113,0;5,484615384615385;4,0;75,01750949667615;0,648387321878159;35,0;85,0;99,0;112,0;5,1692307692307695;3,0
farashi;LR;incoming;binary;no expression;1000;159,0;170,0;66,77711993888465;0,5295301507439066;16,0;44,0;65,0;113,0;10,094117647058823;7,0;77,86736058059587;0,6946585765057921;40,0;91,0;112,0;131,0;6,841176470588235;3,0
farashi;LR;incoming;binary;no expression;2000;180,0;192,0;61,88577734267655;0,5008171027956443;10,0;26,0;41,0;80,0;18,354166666666668;13,0;79,95783525693871;0,7477692776257372;40,0;91,0;112,0;132,0;9,166666666666666;4,0
farashi;LR;incoming;normal;diff expression;100;45,0;193,0;78,11472307000734;0,7161419030271489;28,0;72,0;104,0;159,0;10,601036269430052;5,0;77,05538599853314;0,7793399254054991;27,0;69,0;96,0;153,0;9,487046632124352;6,0
farashi;LR;incoming;normal;diff expression;500;121,0;492,0;80,48416429947432;0,5932724219401466;32,0;103,0;149,0;253,0;31,00609756097561;10,0;75,49745322754433;0,6518604864488227;38,0;110,0;158,0;254,0;43,74390243902439;10,0
farashi;LR;incoming;normal;diff expression;1000;159,0;613,0;79,22467920121655;0,5691507312588567;25,0;74,0;115,0;193,0;60,433931484502445;22,0;78,70584165600873;0,6935635439265185;38,0;108,0;157,0;243,0;54,515497553017944;16,0
farashi;LR;incoming;normal;diff expression;2000;180,0;680,0;75,63015168125055;0,5767842136627747;27,0;78,0;119,0;176,0;99,03382352941176;26,0;80,37595101649633;0,7540448113649458;40,0;116,0;178,0;286,0;59,705882352941174;16,0
farashi;LR;incoming;normal;no expression;100;45,0;46,0;61,76602420439264;0,5725204425204425;18,0;41,0;44,0;46,0;2,1739130434782608;2,0;77,98072613177948;0,7788696488696489;25,0;46,0;46,0;46,0;1,565217391304348;1,0
farashi;LR;incoming;normal;no expression;500;121,0;130,0;66,44527540360873;0,5173841109607606;19,0;47,0;80,0;109,0;5,923076923076923;4,0;75,13235992402659;0,6497647323464786;36,0;85,0;99,0;111,0;5,161538461538462;3,0
farashi;LR;incoming;normal;no expression;1000;159,0;170,0;66,68659281894577;0,5248131696118311;13,0;44,0;65,0;113,0;10,111764705882353;7,0;77,91424751718868;0,6950907171309998;40,0;92,0;112,0;131,0;6,823529411764706;3,0
farashi;LR;incoming;normal;no expression;2000;180,0;192,0;61,88577734267655;0,5008171027956443;10,0;26,0;41,0;80,0;18,354166666666668;13,0;79,97324986259962;0,7478684839749437;40,0;92,0;112,0;132,0;9,161458333333334;4,0
farashi;LR;outgoing;binary;diff expression;100;50,0;210,0;75,93610093610094;0,6613523809523809;27,0;73,0;108,0;171,0;8,666666666666666;5,0;65,21062271062272;0,6958761904761905;24,0;60,0;81,0;119,0;10,642857142857142;8,5
farashi;LR;outgoing;binary;diff expression;500;128,0;511,0;88,78675552768385;0,7020974991205694;45,0;144,0;218,0;308,0;11,87279843444227;7,0;74,08477270282677;0,6359018422652114;36,0;104,0;153,0;261,0;47,95890410958904;10,0
