refset;algorithm;variation;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
DeRycke;LR;graphlet;100;29,0;36,0;74,38271604938272;0,787042842215256;23,0;29,0;34,0;35,0;2,138888888888889;1,0;72,66313932980599;0,771264367816092;20,0;32,0;34,0;36,0;2,0555555555555554;1,0
DeRycke;LR;graphlet;500;76,0;116,0;79,93942218080149;0,7781802424025871;51,0;76,0;86,0;100,0;4,706896551724138;2,0;70,51541796669234;0,6168697150096761;22,0;61,0;79,0;93,0;6,413793103448276;3,0
DeRycke;LR;graphlet;1000;95,0;157,0;75,44202487744688;0,7174894831453795;48,0;84,0;97,0;114,0;9,318471337579618;3,0;71,2407043051989;0,6425221322013562;20,0;60,0;79,0;109,0;10,235668789808917;5,0
DeRycke;LR;graphlet;2000;106,0;175,0;67,68575143971763;0,6679249868517194;45,0;64,0;71,0;91,0;19,697142857142858;10,0;76,11369125023222;0,7395066649130836;19,0;61,0;78,0;108,0;12,594285714285714;7,0
DeRycke;SVM;graphlet;100;29,0;36,0;74,38271604938271;0,7677115987460814;20,0;32,0;36,0;36,0;1,8611111111111112;1,0;67,72486772486772;0,6480668756530826;16,0;32,0;35,0;36,0;2,0833333333333335;2,0
DeRycke;SVM;graphlet;500;76,0;116,0;86,53308480894688;0,8436500598080187;50,0;84,0;100,0;109,0;3,2586206896551726;2,0;64,47435066250658;0,5562182473170078;12,0;50,0;68,0;83,0;7,9655172413793105;4,5
DeRycke;SVM;graphlet;1000;95,0;157,0;84,7995798179211;0,8333470597502364;57,0;93,0;112,0;138,0;5,585987261146497;2,0;62,44189148631073;0,5456902597051869;5,0;35,0;58,0;100,0;14,757961783439491;7,0
DeRycke;SVM;graphlet;2000;106,0;175,0;85,31866988668028;0,8529685162626148;62,0;95,0;110,0;131,0;8,342857142857143;2,0;61,203566784321005;0,5536115991206485;7,0;21,0;40,0;76,0;24,154285714285713;12,0
DeRycke;DT;graphlet;100;29,0;36,0;71,75925925925925;0,7606060606060606;21,0;30,0;34,0;36,0;2,111111111111111;1,0;72,663139329806;0,7158829676071055;20,0;32,0;34,0;35,0;2,1944444444444446;1,0
DeRycke;DT;graphlet;500;76,0;116,0;86,76405040722881;0,8479753192078266;53,0;87,0;99,0;107,0;3,2672413793103448;2,0;66,56924915920418;0,6396572334484835;29,0;55,0;68,0;85,0;7,327586206896552;4,0
DeRycke;DT;graphlet;1000;95,0;157,0;85,95491379597826;0,8195034276897388;59,0;103,0;119,0;136,0;5,050955414012739;2,0;69,94897789041917;0,6401141103944482;17,0;54,0;75,0;105,0;10,535031847133759;6,0
DeRycke;DT;graphlet;2000;106,0;175,0;85,60052015604681;0,8334267248771885;66,0;107,0;117,0;139,0;8,411428571428571;2,0;73,5103845439346;0,708036855732437;14,0;43,0;70,0;99,0;13,645714285714286;8,0
DeRycke;KNN1;graphlet;100;29,0;36,0;74,53703703703705;0,800208986415883;22,0;31,0;34,0;36,0;2,0;1,0;70,14991181657848;0,7436781609195402;18,0;32,0;35,0;35,0;2,138888888888889;1,5
DeRycke;KNN1;graphlet;500;76,0;116,0;86,32389886138012;0,8494735081502212;53,0;87,0;96,0;110,0;3,353448275862069;2,0;68,18043680862272;0,5960740377592879;22,0;55,0;71,0;91,0;6,862068965517241;4,0
DeRycke;KNN1;graphlet;1000;95,0;157,0;86,29172641477973;0,8161028195299226;61,0;102,0;117,0;136,0;4,828025477707007;2,0;68,51518991563009;0,620035531827157;18,0;48,0;72,0;100,0;10,929936305732484;7,0
DeRycke;KNN1;graphlet;2000;106,0;175,0;85,92732676945941;0,8381799235216384;67,0;110,0;118,0;140,0;8,228571428571428;2,0;74,61096043098642;0,7296963981735833;17,0;43,0;66,0;104,0;13,24;7,0
DeRycke;KNN3;graphlet;100;29,0;36,0;71,20811287477954;0,7503657262277952;23,0;29,0;34,0;36,0;2,1944444444444446;1,0;76,89594356261023;0,8174503657262279;23,0;32,0;35,0;36,0;1,8888888888888888;1,0
DeRycke;KNN3;graphlet;500;76,0;116,0;81,29634507070789;0,8125379358285956;29,0;74,0;91,0;109,0;3,956896551724138;2,0;68,43571457514486;0,637068362932808;27,0;51,0;75,0;89,0;6,741379310344827;4,0
