refset;algorithm;variation;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
Teslovich;LR;normal;100;22,0;22,0;69,91180461329715;0,5566183816183816;7,0;20,0;21,0;22,0;2,227272727272727;2,0;65,46811397557667;0,5413086913086913;8,0;17,0;21,0;22,0;2,4545454545454546;2,0
Teslovich;LR;normal;500;60,0;63,0;69,9137667887668;0,5883400386340512;16,0;33,0;42,0;54,0;5,396825396825397;3,0;73,70395807895808;0,6849313953229184;21,0;35,0;43,0;57,0;4,984126984126984;3,0
Teslovich;LR;normal;1000;76,0;79,0;72,2643563376607;0,6362462604980493;18,0;33,0;42,0;59,0;7,822784810126582;5,0;76,50760663229963;0,6981869339340205;18,0;37,0;46,0;67,0;6,670886075949367;5,0
Teslovich;LR;normal;2000;89,0;92,0;71,47024396707843;0,6303444577522278;23,0;35,0;43,0;51,0;13,576086956521738;8,0;80,72869889132642;0,7539764860474294;21,0;36,0;47,0;73,0;8,956521739130435;5,0
Teslovich;LR;autoencode;100;22,0;22,0;72,15061058344641;0,5758491508491509;8,0;20,0;21,0;22,0;2,1818181818181817;2,0;63,77204884667571;0,5385364635364636;7,0;16,0;22,0;22,0;2,5;2,0
Teslovich;LR;autoencode;500;60,0;63,0;71,33063695563696;0,6097508391276087;20,0;34,0;41,0;53,0;5,26984126984127;3,0;70,27116402116403;0,6367849380575354;16,0;32,0;39,0;57,0;5,412698412698413;3,0
Teslovich;LR;autoencode;1000;76,0;79,0;72,53740339891861;0,6185296275872758;19,0;33,0;44,0;60,0;7,810126582278481;5,0;74,83603681412107;0,6802362708118639;12,0;34,0;45,0;65,0;7,075949367088608;5,0
Teslovich;LR;autoencode;2000;89,0;92,0;75,01748406189725;0,6618034168008969;26,0;39,0;46,0;58,0;11,83695652173913;5,5;79,42825277168392;0,7343821476024787;14,0;33,0;43,0;69,0;9,380434782608695;6,0
Teslovich;LR;combi;100;22,0;22,0;71,67571234735414;0,5985764235764236;9,0;19,0;21,0;22,0;2,227272727272727;2,0;70,8955223880597;0,592032967032967;9,0;19,0;22,0;22,0;2,1363636363636362;2,0
Teslovich;LR;combi;500;60,0;63,0;73,5309829059829;0,6395555791066623;20,0;37,0;45,0;55,0;4,920634920634921;3,0;71,65114977614978;0,6412652462626888;18,0;34,0;41,0;57,0;5,253968253968254;3,0
Teslovich;LR;combi;1000;76,0;79,0;74,23056507696599;0,6477200734289512;22,0;36,0;45,0;62,0;7,417721518987341;4,0;75,38932822325984;0,6862035053497021;15,0;37,0;44,0;66,0;6,962025316455696;5,0
Teslovich;LR;combi;2000;89,0;92,0;74,86417644547181;0,6657155970209245;28,0;41,0;47,0;57,0;11,967391304347826;5,0;79,57640719091859;0,7365198106581555;13,0;35,0;43,0;66,0;9,33695652173913;6,0
Teslovich;SVM;normal;100;22,0;22,0;72,38805970149254;0,6453796203796204;11,0;18,0;20,0;21,0;2,5;1,5;68,7584803256445;0,5647852147852148;9,0;18,0;21,0;21,0;2,5;2,0
Teslovich;SVM;normal;500;60,0;63,0;75,60668498168498;0,6716787540594354;23,0;39,0;47,0;55,0;4,587301587301587;2,0;75,91193528693529;0,6698701568253065;22,0;40,0;46,0;59,0;4,444444444444445;2,0
Teslovich;SVM;normal;1000;76,0;79,0;74,74787005299002;0,6401002526475985;24,0;39,0;44,0;62,0;7,050632911392405;4,0;72,2881973495992;0,6066426550803851;18,0;32,0;41,0;59,0;7,430379746835443;5,0
Teslovich;SVM;normal;2000;89,0;92,0;77,61929651496636;0,698676044180078;32,0;46,0;51,0;62,0;10,880434782608695;3,5;72,05347546341966;0,603264045866391;21,0;37,0;41,0;55,0;13,347826086956522;8,5
Teslovich;SVM;autoencode;100;22,0;22,0;82,29308005427409;0,7660089910089909;13,0;20,0;21,0;21,0;1,9090909090909092;1,0;74,96607869742198;0,6591908091908092;10,0;20,0;21,0;21,0;2,1818181818181817;2,0
Teslovich;SVM;autoencode;500;60,0;63,0;78,11228123728125;0,7200448723907026;23,0;41,0;49,0;59,0;4,301587301587301;2,0;76,93070818070818;0,695859712635274;22,0;39,0;48,0;57,0;4,4603174603174605;2,0
Teslovich;SVM;autoencode;1000;76,0;79,0;80,1062499437712;0,7366917072104435;30,0;44,0;52,0;67,0;5,987341772151899;3,0;74,82299173211699;0,65635958015993;17,0;35,0;47,0;62,0;7,30379746835443;4,0
Teslovich;SVM;autoencode;2000;89,0;92,0;82,2741059202874;0,7692188945271381;31,0;52,0;57,0;68,0;8,73913043478261;2,0;75,3899866016873;0,667664731730237;14,0;36,0;43,0;60,0;12,032608695652174;6,0
Teslovich;SVM;combi;100;22,0;22,0;82,42876526458616;0,7938311688311689;12,0;21,0;22,0;22,0;1,6363636363636365;1,0;75,7123473541384;0,6779220779220779;10,0;20,0;22,0;22,0;1,9090909090909092;2,0
Teslovich;SVM;combi;500;60,0;63,0;79,08272283272284;0,7393209217066699;21,0;42,0;51,0;57,0;4,222222222222222;2,0;77,64168701668702;0,7215310447586758;22,0;41,0;49,0;58,0;4,333333333333333;3,0
Teslovich;SVM;combi;1000;76,0;79,0;78,66004516297356;0,7092809158377652;30,0;44,0;47,0;67,0;6,443037974683544;3,0;74,38350741770353;0,6574846010923522;15,0;38,0;44,0;62,0;7,367088607594937;4,0
Teslovich;SVM;combi;2000;89,0;92,0;82,70126915885098;0,7755785851129738;32,0;52,0;56,0;68,0;8,402173913043478;2,0;75,57660595709596;0,6819370587031156;14,0;36,0;45,0;60,0;11,793478260869565;6,0
Teslovich;DT;normal;100;22,0;22,0;65,97693351424695;0,5151098901098902;9,0;17,0;20,0;21,0;2,727272727272727;2,0;63,5685210312076;0,5063936063936064;7,0;17,0;21,0;22,0;2,5;2,0
Teslovich;DT;normal;500;60,0;63,0;70,55860805860806;0,6053576898001445;18,0;32,0;43,0;55,0;5,238095238095238;3,0;69,70263532763533;0,6020325224771987;14,0;29,0;40,0;58,0;5,365079365079365;4,0
Teslovich;DT;normal;1000;76,0;79,0;74,72807751477693;0,6509737279949285;19,0;36,0;46,0;63,0;7,1645569620253164;4,0;73,76768958102795;0,6729745634085779;15,0;32,0;41,0;66,0;7,329113924050633;5,0
