refset;algorithm;variation;weighted;bp distance;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;LR;normal;weighted;100;68,965744400527;0,6631172839506173;23,0;50,0;54,0;55,0;1,981818181818182;2,0;73,59025032938077;0,7015432098765432;28,0;52,0;55,0;55,0;1,8;1,0
farashi;LR;normal;weighted;500;65,99305968178516;0,5303268600296335;26,0;54,0;76,0;118,0;7,173611111111111;5,0;74,82690466759094;0,6472131442594923;29,0;85,0;108,0;120,0;5,826388888888889;3,0
farashi;LR;normal;weighted;1000;65,9864208701418;0,5032764964073528;14,0;41,0;55,0;120,0;12,491891891891893;8,0;78,7092228952694;0,7072106356191155;42,0;96,0;119,0;139,0;7,621621621621622;3,0
farashi;LR;normal;weighted;2000;62,14223375712674;0,47592366216328796;7,0;23,0;39,0;74,0;21,427884615384617;15,5;81,01009177109059;0,7607046257002683;44,0;96,0;119,0;140,0;9,966346153846153;4,0
farashi;LR;normal;unweighted;100;72,98418972332016;0,7271604938271605;30,0;49,0;55,0;55,0;1,8545454545454545;1,0;72,07509881422925;0,6654320987654321;24,0;52,0;55,0;55,0;1,8363636363636364;2,0
farashi;LR;normal;unweighted;500;65,3681422063775;0,5100178523202952;20,0;54,0;76,0;118,0;7,284722222222222;5,0;74,53249818445896;0,6506147708800815;27,0;82,0;109,0;120,0;5,854166666666667;3,0
farashi;LR;normal;unweighted;1000;65,79074602330417;0,49894328075736405;13,0;37,0;57,0;119,0;12,616216216216216;8,0;78,7800885475304;0,7073734917261792;44,0;96,0;119,0;139,0;7,605405405405405;3,0
farashi;LR;normal;unweighted;2000;61,83804511316402;0,46948599424368376;6,0;21,0;36,0;75,0;21,697115384615383;16,5;81,01009177109059;0,7607046257002683;44,0;96,0;119,0;140,0;9,966346153846153;4,0
farashi;LR;graphlet;weighted;100;71,0737812911726;0,6808641975308644;26,0;50,0;55,0;55,0;1,9090909090909092;2,0;71,59420289855073;0,6604938271604938;27,0;52,0;55,0;55,0;1,8727272727272728;2,0
farashi;LR;graphlet;weighted;500;65,5814682775467;0,5234630360105967;25,0;53,0;75,0;118,0;7,236111111111111;5,0;74,44625998547568;0,6433950277345288;30,0;83,0;108,0;120,0;5,895833333333333;3,0
farashi;LR;graphlet;weighted;1000;65,9864208701418;0,5032764964073528;14,0;41,0;55,0;120,0;12,491891891891893;8,0;78,65078981358052;0,706921960408532;42,0;96,0;119,0;138,0;7,654054054054054;3,0
farashi;LR;graphlet;weighted;2000;62,14223375712674;0,47592366216328796;7,0;23,0;39,0;74,0;21,427884615384617;15,5;81,01009177109059;0,7607046257002683;44,0;96,0;119,0;140,0;9,966346153846153;4,0
farashi;LR;graphlet;unweighted;100;71,97628458498023;0,7041666666666666;29,0;49,0;54,0;54,0;2,0;1,0;70,32938076416336;0,6708333333333334;23,0;53,0;54,0;55,0;1,9090909090909092;2,0
farashi;LR;graphlet;unweighted;500;65,81769492308707;0,514523137478923;20,0;55,0;77,0;119,0;7,201388888888889;5,0;74,62925826896415;0,648167636123436;29,0;87,0;107,0;120,0;5,881944444444445;3,0
farashi;LR;graphlet;unweighted;1000;65,79074602330417;0,49894328075736405;13,0;37,0;57,0;119,0;12,616216216216216;8,0;78,79252111810251;0,7077395803581639;44,0;96,0;119,0;139,0;7,605405405405405;3,0
farashi;LR;graphlet;unweighted;2000;61,83804511316402;0,46948599424368376;6,0;21,0;36,0;75,0;21,697115384615383;16,5;80,98833678872323;0,7604299114031372;44,0;96,0;119,0;140,0;9,975961538461538;4,0
farashi;LR;autoencode;weighted;100;72,78656126482214;0,7003086419753087;29,0;50,0;53,0;55,0;1,8909090909090909;1,0;71,36363636363637;0,659104938271605;26,0;52,0;54,0;55,0;1,8909090909090909;2,0
farashi;LR;autoencode;weighted;500;66,01018353469334;0,5348422229991028;28,0;53,0;76,0;118,0;7,173611111111111;5,0;74,47988875684953;0,6426370679122416;32,0;83,0;107,0;120,0;5,888888888888889;3,0
