refset;bp distance;Recall snps;Recall combinations;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);Mean number of candidates for every SNP;Mean number of negative candidates for every SNP;Mean number of positive candidates for every SNP;Median number of candidates for every SNP;Median number of negative candidates for every SNP;Min number of candidates for every SNP;Max number of candidates for every SNP;Min number of negative candidates for every SNP;Max number of negative candidates for every SNP;Total number of negative genes;Total number of positive genes;Total number of negative cases;Total number of cases
farashi;25;32,0;33,0;74,72943722943724;0,7801339285714286;23,0;33,0;33,0;33,0;1,3636363636363635;1,0;1,90625;2,1538461538461537;1,03125;1,0;1,0;1,0;8,0;1,0;7,0;28,0;25,0;28,0;61,0
farashi;50;47,0;48,0;73,8013698630137;0,7275413711583923;29,0;46,0;48,0;48,0;1,5625;1,0;2,574468085106383;2,28125;1,0212765957446808;2,0;2,0;1,0;10,0;1,0;9,0;67,0;39,0;73,0;121,0
farashi;100;58,0;59,0;79,97759594778881;0,747805881857606;31,0;56,0;59,0;59,0;1,694915254237288;1,0;4,017241379310345;3,411764705882353;1,0172413793103448;3,0;2,0;1,0;14,0;1,0;13,0;151,0;50,0;174,0;233,0
farashi;500;145,0;156,0;75,58349050249224;0,6639151780482639;40,0;88,0;109,0;124,0;7,128205128205129;3,0;16,82758620689655;15,86111111111111;1,0758620689655172;12,0;10,5;1,0;62,0;1,0;61,0;1372,0;128,0;2284,0;2440,0
farashi;1000;190,0;204,0;78,60436971709504;0,6993294396768271;44,0;95,0;119,0;144,0;9,573529411764707;4,0;29,789473684210527;29,02127659574468;1,0736842105263158;20,0;18,5;1,0;108,0;1,0;106,0;2810,0;166,0;5456,0;5660,0
farashi;2000;215,0;233,0;80,78014896867388;0,7595331361939551;44,0;95,0;119,0;145,0;13,008583690987125;5,0;51,95348837209303;50,86976744186047;1,083720930232558;34,0;33,0;4,0;153,0;3,0;151,0;5220,0;191,0;10937,0;11170,0
farashi;depict;97,0;97,0;75,00366443543265;0,6504961778525844;51,0;87,0;92,0;96,0;2,268041237113402;1,0;3,1752577319587627;3,9074074074074074;1,0;2,0;3,0;1,0;50,0;1,0;49,0;201,0;93,0;211,0;308,0
farashi p-value cutoff;25;16,0;17,0;83,68983957219251;0,8727678571428572;12,0;17,0;17,0;17,0;1,3529411764705883;1,0;2,4375;2,75;1,0625;2,0;2,0;1,0;8,0;1,0;7,0;22,0;14,0;22,0;39,0
farashi p-value cutoff;50;21,0;22,0;80,17676767676767;0,814814814814815;14,0;21,0;22,0;22,0;1,5;1,0;2,761904761904762;2,769230769230769;1,0476190476190477;2,0;2,0;1,0;10,0;1,0;9,0;36,0;18,0;36,0;58,0
farashi p-value cutoff;100;24,0;25,0;85,39759036144578;0,8438873626373629;15,0;23,0;25,0;25,0;1,6;1,0;4,5;3,772727272727273;1,0416666666666667;3,0;2,0;1,0;14,0;1,0;13,0;75,0;21,0;83,0;108,0
