SNP ID;nodeID;predicted;Class;For-SNP rank
rs9686661;9158;0.0;1;1
rs9488822;1485;0.0;1;1
rs838880;4153;0.0;1;1
rs7941030;10006;1.0;1;1
rs7515577;13025;1.0;1;1
rs7515577;1478;1.0;0;1
rs7515577;5937;0.0;0;2
rs7515577;1155;0.0;0;2
rs737337;6120;1.0;0;1
rs737337;5926;1.0;1;1
rs7255436;6142;1.0;0;1
rs7255436;8982;1.0;1;1
rs7134594;8328;1.0;1;1
rs7134594;2923;0.0;0;2
rs7134594;4786;0.0;0;2
rs7134375;13277;0.0;1;1
rs6882076;9024;0.0;0;1
rs6882076;1312;0.0;1;1
rs6511720;1767;0.0;1;1
rs645040;10678;1.0;0;1
rs645040;12451;0.0;0;2
rs645040;6509;0.0;1;2
rs645040;12548;0.0;0;2
rs6450176;11380;0.0;1;1
rs6065906;12340;1.0;1;1
rs6065906;8315;0.0;0;2
rs6065906;4846;0.0;0;2
rs605066;8215;0.0;1;1
rs6029526;9621;1.0;0;1
rs6029526;6834;0.0;0;2
rs6029526;12105;0.0;0;2
rs6029526;12889;0.0;1;2
rs581080;7359;0.0;1;1
rs5756931;10805;1.0;0;1
rs5756931;9985;1.0;1;1
rs5756931;5351;0.0;0;2
rs492602;8783;1.0;1;1
rs492602;3778;1.0;0;1
rs492602;12123;1.0;0;1
rs492602;1515;0.0;0;2
rs4846914;14284;0.0;1;1
rs4759375;8680;0.0;1;1
rs4759375;979;0.0;0;1
rs4420638;10381;1.0;0;1
rs4420638;599;1.0;0;1
rs4420638;7631;1.0;0;1
rs4420638;1809;0.0;1;2
rs4299376;14398;0.0;1;1
rs4148008;5658;1.0;1;1
rs3764261;3682;1.0;1;1
rs3757354;5685;0.0;1;1
rs3136441;10027;1.0;0;1
rs3136441;8230;1.0;1;1
rs3136441;6267;1.0;0;1
rs3136441;14274;1.0;0;1
rs3136441;13560;1.0;0;1
rs3136441;2902;1.0;0;1
rs3136441;4382;0.0;0;2
rs3136441;8784;0.0;0;2
rs3136441;13998;0.0;0;2
rs3136441;1592;0.0;0;2
rs3136441;4124;0.0;0;2
rs3136441;7637;0.0;0;2
rs2954029;2303;0.0;1;1
rs2929282;3503;0.0;1;1
rs2925979;2003;1.0;1;1
rs2923084;13978;0.0;1;1
rs2902940;4764;1.0;1;1
rs2737229;8304;0.0;1;1
rs2652834;1694;1.0;1;1
rs2652834;13556;1.0;0;1
rs2642442;6386;1.0;1;1
rs2479409;3974;0.0;1;1
rs2293889;8304;0.0;1;1
rs2290159;8721;1.0;0;1
rs2290159;8287;0.0;0;2
rs2290159;10490;0.0;1;2
rs2277862;9717;0.0;1;1
rs2277862;10287;0.0;0;1
rs2277862;11933;0.0;0;1
rs2255141;11228;0.0;1;1
rs2131925;10590;1.0;0;1
rs2131925;7443;1.0;0;1
rs2131925;10396;0.0;1;2
rs2081687;9466;1.0;1;1
rs2081687;2949;1.0;0;1
rs2081687;9463;0.0;0;2
rs2072183;514;0.0;1;1
rs2068888;9373;0.0;1;1
rs181362;8792;0.0;1;1
rs181362;11225;0.0;0;1
rs181362;3096;0.0;0;1
rs1800961;3789;0.0;1;1
rs174546;10294;1.0;0;1
rs174546;1078;0.0;0;2
rs174546;1793;0.0;1;2
rs174546;11174;0.0;1;2
rs17145738;5339;1.0;0;1
rs17145738;2093;1.0;0;1
rs17145738;892;0.0;0;2
rs17145738;2872;0.0;0;2
rs17145738;11254;0.0;0;2
rs17145738;4563;0.0;0;2
rs17145738;13911;0.0;0;2
rs17145738;2244;0.0;1;2
rs17145738;6172;0.0;0;2
rs16942887;4931;1.0;0;1
rs16942887;13147;1.0;0;1
rs16942887;3521;1.0;1;1
rs16942887;2727;1.0;0;1
rs16942887;9917;1.0;0;1
rs16942887;1925;1.0;0;1
rs16942887;14167;1.0;0;1
rs16942887;12088;1.0;0;1
rs16942887;8779;0.0;0;2
rs16942887;1677;0.0;0;2
rs16942887;6816;0.0;0;2
rs16942887;13630;0.0;0;2
rs16942887;7576;0.0;0;2
rs16942887;5984;0.0;0;2
rs16942887;7436;0.0;0;2
rs16942887;11896;0.0;0;2
rs16942887;9179;0.0;0;2
rs16942887;2519;0.0;0;2
rs1532085;7849;0.0;1;1
rs1495741;9526;1.0;1;1
rs1367117;4731;1.0;1;1
rs13107325;3220;1.0;1;1
rs13107325;1288;0.0;0;2
rs12916;3733;1.0;0;1
rs12916;7919;1.0;0;1
rs12916;1182;1.0;1;1
rs12678919;7169;0.0;1;1
rs12670798;10457;1.0;1;1
rs1260326;3325;1.0;0;1
rs1260326;7017;1.0;0;1
rs1260326;13108;1.0;0;1
rs1260326;11466;1.0;0;1
rs1260326;2669;1.0;0;1
rs1260326;2138;0.0;1;2
rs1260326;13755;0.0;0;2
rs1260326;5376;0.0;0;2
rs11776767;7695;1.0;0;1
rs11776767;13844;0.0;1;2
rs1169288;14148;1.0;0;1
rs1169288;3969;0.0;1;2
rs11649653;8691;1.0;0;1
rs11649653;7536;1.0;0;1
rs11649653;13885;1.0;0;1
rs11649653;9288;0.0;1;2
rs11649653;4595;0.0;0;2
rs11649653;10832;0.0;0;2
rs11649653;8935;0.0;0;2
rs11649653;3340;0.0;0;2
rs11649653;5598;0.0;0;2
rs11649653;5963;0.0;0;2
rs11649653;12600;0.0;0;2
rs11649653;10537;0.0;0;2
rs11220462;4998;0.0;1;1
rs11136341;10360;1.0;0;1
rs11136341;13085;1.0;1;1
rs11136341;11123;1.0;0;1
rs11136341;3122;0.0;0;2
rs11065987;13695;1.0;0;1
rs11065987;4507;1.0;1;1
rs11065987;10131;1.0;0;1
rs11065987;4174;0.0;0;2
rs11065987;4713;0.0;0;2
rs11065987;6844;0.0;0;2
rs11065987;519;0.0;0;2
rs11065987;12969;0.0;0;2
rs11065987;6405;0.0;0;2
rs11065987;13020;0.0;0;2
rs10761731;11465;1.0;0;1
rs10761731;6390;1.0;1;1
rs1042034;4731;1.0;1;1
rs10401969;11249;1.0;1;1
rs10401969;1428;1.0;0;1
rs10401969;10342;1.0;0;1
rs10401969;2461;1.0;0;1
rs10401969;2749;1.0;0;1
rs10401969;3731;0.0;0;2
rs10401969;6138;0.0;0;2
rs10401969;1491;0.0;0;2
rs10401969;12715;0.0;0;2
rs10401969;3760;0.0;0;2
rs10195252;288;0.0;1;1
