refset;algorithm;variation;binary;expression;bp distance;ROC-AUC per chromosome;Recall snps;Recall entries;Recall genes;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;LR;combo;normal;diff expression;25;;30;31;23;82,91788856;0,877777778;25;31;31;31;1,193548387;1
farashi;LR;combo;normal;diff expression;50;;45;46;37;60,25934401;0,582407407;22;45;46;46;1,673913043;2
farashi;LR;combo;normal;diff expression;100;0,604212291;54;55;46;64,74967062;0,593055556;23;48;54;55;2,163636364;2
farashi;LR;combo;normal;diff expression;500;0,492876667;135;144;116;64,41683997;0,514485044;25;62;83;112;7,986111111;5
farashi;LR;combo;normal;diff expression;1000;0,480550948;173;185;148;65,36824583;0,499086932;16;47;78;118;14,1027027;7
farashi;LR;combo;normal;diff expression;2000;0,4978205;194;208;167;63,91004045;0,500176213;6;31;49;92;21,89903846;13
farashi;LR;combo;normal;diff expression;depict;;87;87;83;82,47661883;0,802142603;61;80;86;86;1,655172414;1
farashi;LR;combo;normal;no expression;25;;30;31;23;84,82404692;0,894444444;26;31;31;31;1,193548387;1
farashi;LR;combo;normal;no expression;50;;45;46;37;70,74752098;0,689814815;28;45;46;46;1,5;1
farashi;LR;combo;normal;no expression;100;0,523835696;54;55;46;64,29512516;0,588734568;24;47;53;55;2,272727273;2
farashi;LR;combo;normal;no expression;500;0,576718322;135;144;116;70,9154453;0,611615422;28;68;94;120;6,263888889;4
farashi;LR;combo;normal;no expression;1000;0,537860298;173;185;148;70,76004448;0,588409325;26;62;90;126;11,11891892;6
farashi;LR;combo;normal;no expression;2000;0,544557262;194;208;167;68,49510148;0,570590762;11;47;58;108;18,86538462;9,5
farashi;LR;combo;normal;no expression;depict;;87;87;83;83,85093168;0,808813109;65;79;87;87;1,551724138;1
farashi;LR;combo;binary;diff expression;25;;30;31;23;75,14662757;0,811111111;23;31;31;31;1,290322581;1
farashi;LR;combo;binary;diff expression;50;;45;46;37;68,11594203;0,698148148;29;44;45;46;1,695652174;1
farashi;LR;combo;binary;diff expression;100;0,377546473;54;55;46;61,10013175;0,540123457;24;46;52;55;2,418181818;2
farashi;LR;combo;binary;diff expression;500;0,471648115;135;144;116;65,44076385;0,480505573;20;61;85;110;7,694444444;4
farashi;LR;combo;binary;diff expression;1000;0,42971059;173;185;148;65,1386577;0,452000271;16;34;62;110;13;7
farashi;LR;combo;binary;diff expression;2000;0,432505192;194;208;167;62,04187501;0,428799239;10;19;32;79;22,16346154;14,5
farashi;LR;combo;binary;diff expression;depict;;87;87;83;81,82337403;0,778233369;61;79;86;86;1,83908046;1
