refset;algorithm;variation;bp distance;ROC-AUC per chromosome;Recall snps;Recall entries;Recall genes;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
DeRycke;LR;graphlet;25;;15,0;19,0;16,0;83,80566801619432;0,9111111111111112;13,0;19,0;19,0;19,0;1,368421052631579;1,0
DeRycke;LR;graphlet;50;;22,0;28,0;23,0;77,1978021978022;0,9047619047619048;18,0;25,0;28,0;28,0;1,6785714285714286;1,0
DeRycke;LR;graphlet;100;;29,0;36,0;29,0;70,54673721340387;0,8169278996865204;21,0;29,0;35,0;36,0;2,111111111111111;1,0
DeRycke;LR;graphlet;500;0,603959682059743;76,0;116,0;72,0;60,29721625673648;0,486713565087061;7,0;44,0;64,0;82,0;8,818965517241379;5,0
DeRycke;LR;graphlet;1000;0,5284793353608291;95,0;157,0;98,0;57,57411545002834;0,4850567538673478;11,0;36,0;54,0;91,0;16,78343949044586;8,0
DeRycke;LR;graphlet;2000;0,5692065455667923;106,0;175,0;109,0;58,75600966004087;0,5089043455090878;6,0;20,0;40,0;70,0;25,405714285714286;14,0
DeRycke;LR;graphlet;depict;;42,0;46,0;44,0;85,14492753623189;0,7989835469071351;31,0;44,0;45,0;45,0;2,3043478260869565;1,0
DeRycke;LR;normal;25;;15,0;19,0;16,0;80,36437246963563;0,8755555555555555;13,0;18,0;19,0;19,0;1,4736842105263157;1,0
DeRycke;LR;normal;50;;22,0;28,0;23,0;72,87087912087912;0,8062770562770563;17,0;25,0;27,0;28,0;1,7857142857142858;1,0
DeRycke;LR;normal;100;;29,0;36,0;29,0;70,5246913580247;0,7132706374085684;20,0;31,0;34,0;36,0;2,25;1,0
DeRycke;LR;normal;500;0,6041285830856434;76,0;116,0;72,0;61,74429677053366;0,47361704319252734;6,0;50,0;68,0;83,0;8,663793103448276;4,5
DeRycke;LR;normal;1000;0,5270375074208512;95,0;157,0;98,0;58,840497548937876;0,5180468224201588;11,0;43,0;58,0;93,0;16,54140127388535;8,0
DeRycke;LR;normal;2000;0,5641258440078458;106,0;175,0;109,0;59,21597622143786;0,5302419677029465;6,0;24,0;38,0;68,0;25,21142857142857;13,0
DeRycke;LR;normal;depict;;42,0;46,0;44,0;84,8671497584541;0,7590571112165796;29,0;44,0;45,0;45,0;2,347826086956522;1,0
DeRycke;LR;autoencode;25;;15,0;19,0;16,0;73,88663967611335;0,8711111111111111;12,0;17,0;19,0;19,0;1,631578947368421;1,0
DeRycke;LR;autoencode;50;;22,0;28,0;23,0;69,8489010989011;0,7153679653679653;15,0;26,0;27,0;28,0;1,8214285714285714;1,0
DeRycke;LR;autoencode;100;;29,0;36,0;29,0;71,00970017636683;0,668234064785789;17,0;30,0;34,0;35,0;2,1666666666666665;2,0
DeRycke;LR;autoencode;500;0,5417944591538876;76,0;116,0;72,0;60,09866688277483;0,4795165536209541;12,0;42,0;61,0;82,0;8,85344827586207;5,0
DeRycke;LR;autoencode;1000;0,5473258206435515;95,0;157,0;98,0;60,908060159402396;0,528102828461091;15,0;39,0;62,0;97,0;15,114649681528663;7,0
DeRycke;LR;autoencode;2000;0,5519003645651395;106,0;175,0;109,0;60,17410365966933;0,5173435066247564;4,0;15,0;45,0;65,0;23,502857142857142;14,0
DeRycke;LR;autoencode;depict;;42,0;46,0;44,0;84,61352657004831;0,756670885408427;29,0;44,0;45,0;45,0;2,1739130434782608;1,0
DeRycke;LR;combi;25;;15,0;19,0;16,0;88,66396761133602;0,9711111111111113;14,0;19,0;19,0;19,0;1,3157894736842106;1,0
DeRycke;LR;combi;50;;22,0;28,0;23,0;75,82417582417584;0,8825757575757575;18,0;25,0;27,0;28,0;1,7142857142857142;1,0
DeRycke;LR;combi;100;;29,0;36,0;29,0;73,39065255731923;0,7940438871473354;19,0;31,0;35,0;36,0;2,0;1,0
DeRycke;LR;combi;500;0,5920508711932627;76,0;116,0;72,0;61,0362048705377;0,49911014414009286;12,0;42,0;65,0;83,0;8,698275862068966;5,0
DeRycke;LR;combi;1000;0,5454467883340869;95,0;157,0;98,0;60,54623670257111;0,5159103698908446;16,0;38,0;64,0;92,0;15,48407643312102;8,0
DeRycke;LR;combi;2000;0,5531045877118435;106,0;175,0;109,0;59,704848597436374;0,513815677115134;5,0;16,0;36,0;67,0;23,98857142857143;14,0
DeRycke;LR;combi;depict;;42,0;46,0;44,0;84,83091787439614;0,7573036966724674;30,0;44,0;45,0;45,0;2,282608695652174;1,0
DeRycke;SVM;graphlet;25;;15,0;19,0;16,0;83,60323886639675;0,9600000000000001;14,0;17,0;19,0;19,0;1,5263157894736843;1,0
DeRycke;SVM;graphlet;50;;22,0;28,0;23,0;73,83241758241759;0,8030303030303029;17,0;26,0;27,0;28,0;1,75;1,0
DeRycke;SVM;graphlet;100;;29,0;36,0;29,0;67,72486772486772;0,6480668756530825;16,0;32,0;35,0;36,0;2,0833333333333335;2,0
DeRycke;SVM;graphlet;500;0,6392608226732297;76,0;116,0;72,0;64,47435066250658;0,5562182473170078;12,0;50,0;68,0;83,0;7,9655172413793105;4,5
DeRycke;SVM;graphlet;1000;0,5621321852860892;95,0;157,0;98,0;62,44189148631073;0,5456902597051868;5,0;35,0;58,0;100,0;14,757961783439491;7,0
DeRycke;SVM;graphlet;2000;0,5871028834228085;106,0;175,0;109,0;61,203566784321005;0,5536115991206487;7,0;21,0;40,0;76,0;24,154285714285713;12,0
