SNP ID;gene_ids;predicted;Class;For-SNP rank
rs9979125;ENSG00000184012;0.7777777777777778;1;1
rs9979125;ENSG00000182240;0.5555555555555556;0;2
rs9979125;ENSG00000183486;0.5555555555555556;0;2
rs9979125;ENSG00000160183;0.3333333333333333;0;3
rs9925556;ENSG00000162078;0.6666666666666666;1;1
rs9925556;ENSG00000007038;0.3333333333333333;0;2
rs9856752;ENSG00000083937;0.4444444444444444;1;1
rs9856752;ENSG00000064835;0.2222222222222222;0;2
rs9296365;ENSG00000137166;0.4444444444444444;1;1
rs914187;ENSG00000184012;0.7777777777777778;0;1
rs914187;ENSG00000182240;0.5555555555555556;1;2
rs914187;ENSG00000183486;0.5555555555555556;0;2
rs914187;ENSG00000160183;0.3333333333333333;0;3
rs7934971;ENSG00000110042;0.6666666666666666;1;1
rs785373;ENSG00000145781;0.6666666666666666;1;1
rs7632169;ENSG00000175792;0.6666666666666666;1;1
rs7632169;ENSG00000132394;0.5555555555555556;0;2
rs75056606;ENSG00000143457;0.8888888888888888;0;1
rs75056606;ENSG00000143379;0.8888888888888888;0;1
rs75056606;ENSG00000143437;0.6666666666666666;0;2
rs75056606;ENSG00000143418;0.6666666666666666;0;2
rs75056606;ENSG00000143387;0.6666666666666666;0;2
rs75056606;ENSG00000163131;0.6666666666666666;1;2
rs75056606;ENSG00000143420;0.5555555555555556;0;3
rs75056606;ENSG00000143452;0.4444444444444444;0;4
rs75056606;ENSG00000143412;0.4444444444444444;0;4
rs708723;ENSG00000117280;0.4444444444444444;1;1
rs708723;ENSG00000069275;0.3333333333333333;0;2
rs708723;ENSG00000133065;0.2222222222222222;0;3
rs6799720;ENSG00000152952;0.3333333333333333;1;1
rs6785962;ENSG00000206530;0.4444444444444444;1;1
rs6738645;ENSG00000168906;0.6666666666666666;0;1
rs6738645;ENSG00000115486;0.3333333333333333;1;2
rs6738645;ENSG00000168899;0.3333333333333333;0;2
rs6738645;ENSG00000118640;0.3333333333333333;0;2
rs6573971;ENSG00000213463;0.6666666666666666;1;1
rs6573971;ENSG00000133983;0.3333333333333333;0;2
rs6557271;ENSG00000091844;0.4444444444444444;1;1
rs6512130;ENSG00000174652;0.2222222222222222;1;1
rs58057291;ENSG00000115648;0.3333333333333333;1;1
rs4962720;ENSG00000175029;0.6666666666666666;1;1
rs4962720;ENSG00000019995;0.3333333333333333;0;2
rs4245739;ENSG00000198625;0.8888888888888888;1;1
rs4245739;ENSG00000170382;0.6666666666666666;0;2
rs4245739;ENSG00000133056;0.5555555555555556;0;3
rs3847414;ENSG00000170759;0.6666666666666666;0;1
rs3847414;ENSG00000165322;0.4444444444444444;1;2
rs3798439;ENSG00000196586;0.6666666666666666;1;1
rs3798439;ENSG00000118407;0.5555555555555556;0;2
rs3798439;ENSG00000112701;0.5555555555555556;0;2
rs3771578;ENSG00000168385;0.6666666666666666;1;1
rs3771578;ENSG00000115677;0.5555555555555556;0;2
rs3771578;ENSG00000006607;0.3333333333333333;0;3
rs2742624;ENSG00000100373;0.3333333333333333;1;1
rs2412106;ENSG00000176153;0.5555555555555556;0;1
rs2412106;ENSG00000258289;0.5555555555555556;1;1
rs2412106;ENSG00000139998;0.5555555555555556;0;1
rs2253829;ENSG00000125520;0.6666666666666666;0;1
rs2253829;ENSG00000197457;0.5555555555555556;0;2
rs2253829;ENSG00000130584;0.5555555555555556;0;2
rs2253829;ENSG00000101246;0.4444444444444444;0;3
rs2253829;ENSG00000197114;0.4444444444444444;1;3
rs185397;ENSG00000125166;0.6666666666666666;1;1
rs182314334;ENSG00000152601;0.6666666666666666;1;1
rs17632542;ENSG00000142515;0.6666666666666666;1;1
rs17122571;ENSG00000139219;0.8888888888888888;1;1
rs17122571;ENSG00000079387;0.5555555555555556;0;2
rs17122571;ENSG00000152556;0.2222222222222222;0;3
rs16860643;ENSG00000091409;0.5555555555555556;1;1
rs12976534;ENSG00000167641;0.6666666666666666;1;1
rs12976534;ENSG00000167642;0.5555555555555556;0;2
rs11689112;ENSG00000144118;0.6666666666666666;1;1
rs11666569;ENSG00000131351;0.2222222222222222;0;1
rs11666569;ENSG00000099331;0.2222222222222222;1;1
rs11568818;ENSG00000137673;0.5555555555555556;1;1
rs112871784;ENSG00000080546;0.6666666666666666;1;1
rs1045270;ENSG00000156802;0.5555555555555556;0;1
rs1045270;ENSG00000156795;0.4444444444444444;1;2
rs10182643;ENSG00000118961;0.3333333333333333;1;1
rs10144415;ENSG00000126778;0.4444444444444444;0;1
rs10144415;ENSG00000184302;0.3333333333333333;0;2
rs10144415;ENSG00000179008;0.3333333333333333;1;2
