SNP ID;nodeID;predicted;Class;For-SNP rank
rs9979125;47;1.0;0;1
rs9979125;1923;0.3333333333333333;1;2
rs9979125;12900;0.0;0;3
rs9979125;8117;0.0;0;3
rs9925556;12932;0.6666666666666666;1;1
rs9925556;7602;0.3333333333333333;0;2
rs9856752;4457;0.0;0;1
rs9856752;631;0.0;1;1
rs9296365;10726;0.3333333333333333;1;1
rs914187;47;1.0;0;1
rs914187;1923;0.3333333333333333;0;2
rs914187;12900;0.0;0;3
rs914187;8117;0.0;1;3
rs8107333;10053;0.6666666666666666;1;1
rs7934971;6545;0.6666666666666666;1;1
rs785373;10641;0.3333333333333333;1;1
rs7632169;3939;0.6666666666666666;0;1
rs7632169;11613;0.0;1;2
rs75056606;569;1.0;0;1
rs75056606;8182;0.6666666666666666;0;2
rs75056606;8265;0.6666666666666666;0;2
rs75056606;3512;0.6666666666666666;0;2
rs75056606;7821;0.6666666666666666;0;2
rs75056606;10151;0.3333333333333333;0;3
rs75056606;6029;0.3333333333333333;0;3
rs75056606;1118;0.3333333333333333;1;3
rs75056606;2741;0.3333333333333333;0;3
rs708723;13805;1.0;0;1
rs708723;9038;1.0;1;1
rs708723;2763;0.3333333333333333;0;2
rs708723;4406;0.3333333333333333;0;2
rs6799720;6399;0.6666666666666666;1;1
rs6785962;12976;0.6666666666666666;0;1
rs6785962;12462;0.3333333333333333;1;2
rs6785962;5862;0.3333333333333333;0;2
rs6738645;9477;0.6666666666666666;0;1
rs6738645;6582;0.6666666666666666;0;1
rs6738645;960;0.6666666666666666;1;1
rs6738645;9047;0.3333333333333333;0;2
rs6573971;13228;0.6666666666666666;1;1
rs6573971;5448;0.6666666666666666;0;1
rs6573971;5241;0.3333333333333333;0;2
rs6573971;13058;0.3333333333333333;0;2
rs6557271;9777;0.6666666666666666;1;1
rs6512130;12488;1.0;0;1
rs6512130;10297;0.3333333333333333;1;2
rs58057291;9333;1.0;1;1
rs4962720;11929;0.3333333333333333;1;1
rs4962720;5960;0.3333333333333333;0;1
rs4245739;2756;0.3333333333333333;0;1
rs4245739;13902;0.3333333333333333;0;1
rs4245739;12054;0.0;1;2
rs3847414;2799;0.6666666666666666;0;1
rs3847414;2162;0.0;1;2
rs3798439;7860;0.6666666666666666;1;1
rs3798439;8281;0.6666666666666666;0;1
rs3798439;9817;0.0;0;2
rs3771578;12130;1.0;0;1
rs3771578;10079;0.6666666666666666;1;2
rs3771578;9109;0.6666666666666666;0;2
rs2742624;8587;0.6666666666666666;1;1
rs2412106;762;1.0;0;1
rs2412106;11047;1.0;1;1
rs2412106;6683;0.6666666666666666;0;2
rs2253829;151;1.0;0;1
rs2253829;1571;0.6666666666666666;0;2
rs2253829;6568;0.6666666666666666;1;2
rs2253829;570;0.6666666666666666;0;2
rs2253829;13677;0.3333333333333333;0;3
rs2011345;5363;0.6666666666666666;1;1
rs2011345;6451;0.6666666666666666;0;1
rs185397;13865;0.3333333333333333;1;1
rs182314334;13017;0.6666666666666666;1;1
rs17632542;13430;0.6666666666666666;1;1
rs17122571;312;0.6666666666666666;1;1
rs17122571;4561;0.6666666666666666;0;1
rs17122571;7296;0.3333333333333333;0;2
rs17122571;2295;0.3333333333333333;0;2
rs17122571;1737;0.0;0;3
rs16860643;3894;0.3333333333333333;1;1
rs12976534;2109;1.0;1;1
rs12976534;3015;0.0;0;2
rs11689112;13963;0.3333333333333333;1;1
rs11666569;6962;0.6666666666666666;0;1
rs11666569;10046;0.6666666666666666;1;1
rs11568818;2009;0.3333333333333333;1;1
rs112871784;5615;0.6666666666666666;1;1
rs1048169;2513;0.3333333333333333;0;1
rs1048169;11444;0.0;1;2
rs1045270;2762;0.3333333333333333;1;1
rs1045270;7686;0.3333333333333333;0;1
rs10182643;5616;0.3333333333333333;1;1
rs10144415;2369;0.3333333333333333;1;1
rs10144415;13154;0.3333333333333333;0;1
rs10144415;7247;0.3333333333333333;0;1
