SNP ID;nodeID;predicted;Class;For-SNP rank
rs9443189;7860;0.0;1;1
rs9443189;8281;0.0;0;1
rs9443189;9817;0.0;0;1
rs9364554;489;1.0;1;1
rs878987;13943;1.0;1;1
rs8102476;2109;0.0;1;1
rs8014671;5241;0.0;0;1
rs8014671;13228;0.0;1;1
rs8014671;13058;0.0;0;1
rs8014671;5448;0.0;1;1
rs80130819;1737;0.0;0;1
rs80130819;312;0.0;1;1
rs80130819;7296;0.0;0;1
rs80130819;2295;0.0;0;1
rs80130819;4561;0.0;0;1
rs78416326;7941;0.0;0;1
rs78416326;2268;0.0;1;1
rs7611694;12976;1.0;0;1
rs7611694;12462;1.0;1;1
rs7611694;5862;0.0;0;2
rs7584330;9333;1.0;1;1
rs7153648;13154;0.0;0;1
rs7153648;2369;0.0;1;1
rs7153648;7247;0.0;1;1
rs6965016;6611;0.0;1;1
rs684232;6428;0.0;1;1
rs67609008;11929;1.0;1;1
rs67609008;5960;0.0;0;2
rs636291;3609;1.0;1;1
rs636291;4299;1.0;0;1
rs61890184;6264;1.0;1;1
rs6062509;1571;1.0;0;1
rs6062509;6568;1.0;1;1
rs6062509;570;1.0;0;1
rs6062509;151;0.0;0;2
rs3968480;9777;1.0;1;1
rs37181;10641;0.0;1;1
rs34925593;11507;0.0;1;1
rs28441558;1032;1.0;0;1
rs28441558;5785;0.0;0;2
rs28441558;6255;0.0;1;2
rs2811485;11613;0.0;1;1
rs2811485;6298;0.0;0;1
rs2811485;3939;0.0;0;1
rs2238776;10620;0.0;1;1
rs2028900;960;1.0;1;1
rs2028900;6582;1.0;0;1
rs2028900;9477;0.0;0;2
rs2028900;9047;0.0;0;2
rs1983891;10726;0.0;1;1
rs1938781;6545;1.0;1;1
rs1938781;6447;0.0;0;2
rs1894292;4762;0.0;1;1
rs1894292;503;0.0;0;1
rs1881502;6062;1.0;0;1
rs1881502;11769;0.0;1;2
rs1881502;2939;0.0;0;2
rs1775148;9038;1.0;1;1
rs1775148;2763;0.0;1;2
rs17599629;569;1.0;0;1
rs17599629;1118;1.0;1;1
rs17599629;7821;1.0;0;1
rs17599629;6029;0.0;0;2
rs17599629;2741;0.0;0;2
rs17599629;8182;0.0;0;2
rs17599629;10151;0.0;0;2
rs17599629;3512;0.0;0;2
rs17181170;4457;0.0;0;1
rs17181170;631;0.0;1;1
rs13410475;3894;0.0;1;1
rs12827748;12982;0.0;0;1
rs12827748;11217;0.0;1;1
rs12785905;2334;1.0;0;1
rs12785905;2765;1.0;1;1
rs12785905;6225;1.0;0;1
rs12785905;11680;1.0;0;1
rs12785905;8648;1.0;0;1
rs12785905;12575;1.0;0;1
rs12785905;5955;1.0;0;1
rs12785905;9091;1.0;0;1
rs12785905;2634;1.0;0;1
rs12785905;2508;1.0;0;1
rs12785905;2837;1.0;0;1
rs12785905;8082;1.0;0;1
rs12785905;1915;1.0;0;1
rs12785905;14299;1.0;0;1
rs12785905;3979;1.0;0;1
rs12785905;10837;1.0;0;1
rs12785905;10914;1.0;0;1
rs12785905;12247;1.0;0;1
rs12785905;11766;1.0;0;1
rs12785905;12729;1.0;0;1
rs12785905;9135;0.0;0;2
rs12785905;4808;0.0;0;2
rs12785905;11577;0.0;0;2
rs12785905;3827;0.0;0;2
rs12785905;104;0.0;0;2
rs12785905;66;0.0;0;2
rs12785905;10583;0.0;0;2
rs12785905;10635;0.0;0;2
rs12785905;6811;0.0;0;2
rs12785905;13869;0.0;0;2
rs12785905;10983;0.0;0;2
rs12785905;12511;0.0;0;2
rs12785905;12042;0.0;0;2
rs12785905;39;0.0;0;2
rs12785905;7245;0.0;0;2
rs12785905;13486;0.0;0;2
rs12785905;11688;0.0;0;2
rs12785905;3032;0.0;0;2
rs12785905;524;0.0;0;2
rs12785905;11194;0.0;0;2
rs12785905;9675;0.0;0;2
rs12785905;2641;0.0;0;2
rs12785905;8558;0.0;0;2
rs12785905;6368;0.0;0;2
rs12209480;5615;1.0;1;1
rs12151618;3894;0.0;1;1
rs12051443;10117;1.0;0;1
rs12051443;1013;0.0;0;2
rs12051443;2752;0.0;0;2
rs12051443;9774;0.0;0;2
rs12051443;10406;0.0;0;2
rs12051443;10581;0.0;1;2
rs12051443;8454;0.0;0;2
rs11666569;10046;1.0;1;1
rs11666569;6962;1.0;1;1
rs11568818;2009;1.0;1;1
rs114278123;631;0.0;1;1
rs114278123;4457;0.0;0;1
rs111770284;12130;1.0;1;1
rs1048169;2513;1.0;0;1
rs1048169;11444;1.0;1;1
rs1041449;1923;1.0;1;1
rs1041449;12900;1.0;0;1
rs1041449;47;0.0;0;2
