refset;algorithm;variation;bp distance;ROC-AUC per chromosome;Recall snps;Recall entries;Recall genes;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
Teslovich;LR;normal;25;;7,0;7,0;7,0;46,82539682539682;0,6071428571428571;5,0;7,0;7,0;7,0;1,2857142857142858;1,0
Teslovich;LR;normal;50;;14,0;14,0;13,0;51,78571428571428;0,5630952380952381;6,0;14,0;14,0;14,0;1,7142857142857142;2,0
Teslovich;LR;normal;100;;22,0;22,0;21,0;64,38263229308005;0,540959040959041;7,0;18,0;19,0;22,0;2,6818181818181817;2,0
Teslovich;LR;normal;500;0,4971171087316365;60,0;63,0;60,0;61,15435490435491;0,5160497581898993;9,0;24,0;33,0;52,0;6,761904761904762;5,0
Teslovich;LR;normal;1000;0,4619564487981933;76,0;79,0;73,0;61,009149550619426;0,46726208736171726;4,0;18,0;29,0;53,0;11,025316455696203;8,0
Teslovich;LR;normal;2000;0,4406793170033258;89,0;92,0;86,0;59,23232085278052;0,46183033439677484;3,0;11,0;16,0;34,0;19,706521739130434;13,0
Teslovich;LR;normal;depict;;67,0;68,0;66,0;79,85046959960455;0,7529221095946292;46,0;60,0;65,0;68,0;1,75;1,0
Teslovich;LR;log;25;;7,0;7,0;7,0;50,79365079365079;0,5;3,0;7,0;7,0;7,0;1,8571428571428572;2,0
Teslovich;LR;log;50;;14,0;14,0;13,0;70,40816326530613;0,7261904761904763;8,0;12,0;14,0;14,0;1,8571428571428572;1,0
Teslovich;LR;log;100;;22,0;22,0;21,0;69,70827679782904;0,6445304695304696;10,0;18,0;20,0;22,0;2,3636363636363638;2,0
Teslovich;LR;log;500;0,6240518107438672;60,0;63,0;60,0;68,62789987789988;0,5719847770021456;18,0;30,0;39,0;53,0;5,428571428571429;4,0
Teslovich;LR;log;1000;0,5194530081196789;76,0;79,0;73,0;62,972209477027164;0,47841569293437985;8,0;20,0;31,0;53,0;10,443037974683545;7,0
Teslovich;LR;log;2000;0,4913551980956752;89,0;92,0;86,0;60,614113870934496;0,4649556391447445;3,0;10,0;17,0;37,0;18,608695652173914;12,0
Teslovich;LR;log;depict;;67,0;68,0;66,0;80,77113198220465;0,7931535345933941;48,0;60,0;65,0;68,0;1,7647058823529411;1,0
Teslovich;SVM;normal;25;;7,0;7,0;7,0;50,0;0,6428571428571429;7,0;7,0;7,0;7,0;1,0;1,0
Teslovich;SVM;normal;50;;14,0;14,0;13,0;50,0;0,6428571428571429;14,0;14,0;14,0;14,0;1,0;1,0
Teslovich;SVM;normal;100;;22,0;22,0;21,0;50,0;0,5909090909090909;22,0;22,0;22,0;22,0;1,0;1,0
Teslovich;SVM;normal;500;0,4498849099854636;60,0;63,0;60,0;50,0;0,5083333333333333;63,0;63,0;63,0;63,0;1,0;1,0
Teslovich;SVM;normal;1000;0,5451149282099619;76,0;79,0;73,0;50,46197583511016;0,5066622381988959;79,0;79,0;79,0;79,0;1,0;1,0
Teslovich;SVM;normal;2000;0,5423715297712904;89,0;92,0;86,0;51,38841855739926;0,5151255655159365;92,0;92,0;92,0;92,0;1,0;1,0
Teslovich;SVM;normal;depict;;67,0;68,0;66,0;50,0;0,7611940298507462;68,0;68,0;68,0;68,0;1,0;1,0
Teslovich;SVM;log;25;;7,0;7,0;7,0;56,34920634920635;0,5357142857142857;3,0;7,0;7,0;7,0;1,7142857142857142;2,0
Teslovich;SVM;log;50;;14,0;14,0;13,0;70,79081632653062;0,7130952380952381;8,0;13,0;14,0;14,0;1,7857142857142858;1,0
Teslovich;SVM;log;100;;22,0;22,0;21,0;67,16417910447761;0,5973026973026974;9,0;16,0;21,0;22,0;2,3636363636363638;2,0
Teslovich;SVM;log;500;0,4993647019824238;60,0;63,0;60,0;64,57315832315832;0,5153103484545654;9,0;23,0;38,0;54,0;6,0;5,0
Teslovich;SVM;log;1000;0,4572717567703055;76,0;79,0;73,0;62,797225446006856;0,4721790637623502;2,0;17,0;38,0;53,0;10,822784810126583;6,0
Teslovich;SVM;log;2000;0,4057481642893672;89,0;92,0;86,0;57,18392496944891;0,41237152457237547;2,0;9,0;13,0;36,0;20,380434782608695;14,0
Teslovich;SVM;log;depict;;67,0;68,0;66,0;78,2377656945131;0,7570262388085038;43,0;62,0;66,0;68,0;1,8088235294117647;1,0
Teslovich;DT;normal;25;;7,0;7,0;7,0;39,682539682539684;0,5357142857142857;4,0;7,0;7,0;7,0;1,4285714285714286;1,0
Teslovich;DT;normal;50;;14,0;14,0;13,0;69,64285714285714;0,7523809523809525;13,0;14,0;14,0;14,0;1,0714285714285714;1,0
Teslovich;DT;normal;100;;22,0;22,0;21,0;55,698778833107184;0,5241758241758242;14,0;22,0;22,0;22,0;1,3636363636363635;1,0
Teslovich;DT;normal;500;0,4540839653287346;60,0;63,0;60,0;60,10760073260073;0,5419536871146092;30,0;63,0;63,0;63,0;1,5238095238095237;2,0
Teslovich;DT;normal;1000;0,5659776759937934;76,0;79,0;73,0;56,14018515019838;0,5081310720448373;38,0;79,0;79,0;79,0;1,518987341772152;2,0
Teslovich;DT;normal;2000;0,5416822628242178;89,0;92,0;86,0;60,1354186604632;0,5056242430404998;47,0;92,0;92,0;92,0;1,4891304347826086;1,0
Teslovich;DT;normal;depict;;67,0;68,0;66,0;68,90756302521008;0,7865909819377774;56,0;68,0;68,0;68,0;1,1764705882352942;1,0
Teslovich;DT;log;25;;7,0;7,0;7,0;45,23809523809524;0,5535714285714286;4,0;7,0;7,0;7,0;1,4285714285714286;1,0
Teslovich;DT;log;50;;14,0;14,0;13,0;67,85714285714286;0,7285714285714285;12,0;14,0;14,0;14,0;1,1428571428571428;1,0
Teslovich;DT;log;100;;22,0;22,0;21,0;57,937584803256435;0,5439435564435565;14,0;22,0;22,0;22,0;1,3636363636363635;1,0
Teslovich;DT;log;500;0,4615529191696669;60,0;63,0;60,0;58,505036630036635;0,5398409739078395;30,0;63,0;63,0;63,0;1,5238095238095237;2,0
Teslovich;DT;log;1000;0,5789818843536676;76,0;79,0;73,0;59,65650949592004;0,5181739220703389;33,0;79,0;79,0;79,0;1,5822784810126582;2,0
Teslovich;DT;log;2000;0,5232761751507553;89,0;92,0;86,0;60,265904975043796;0,5005695147594946;44,0;92,0;92,0;92,0;1,5217391304347827;2,0
Teslovich;DT;log;depict;;67,0;68,0;66,0;67,85714285714286;0,7968880451321191;58,0;68,0;68,0;68,0;1,1470588235294117;1,0
Teslovich;KNN1;normal;25;;7,0;7,0;7,0;46,82539682539682;0,5535714285714286;5,0;7,0;7,0;7,0;1,2857142857142858;1,0
Teslovich;KNN1;normal;50;;14,0;14,0;13,0;50,0;0,5291666666666667;7,0;14,0;14,0;14,0;1,5;1,5
Teslovich;KNN1;normal;100;;22,0;22,0;21,0;55,63093622795115;0,5116758241758241;12,0;22,0;22,0;22,0;1,4545454545454546;1,0
Teslovich;KNN1;normal;500;0,43859882954438806;60,0;63,0;60,0;57,71138583638583;0,48916313863481375;29,0;63,0;63,0;63,0;1,5396825396825398;2,0
Teslovich;KNN1;normal;1000;0,5426435984225578;76,0;79,0;73,0;58,71906291328168;0,4929607425183865;35,0;79,0;79,0;79,0;1,5569620253164558;2,0
Teslovich;KNN1;normal;2000;0,5343746761220437;89,0;92,0;86,0;58,977789720107765;0,5021544617792058;33,0;92,0;92,0;92,0;1,641304347826087;2,0
Teslovich;KNN1;normal;depict;;67,0;68,0;66,0;67,12184873949579;0,7471184312711969;53,0;68,0;68,0;68,0;1,2205882352941178;1,0
Teslovich;KNN1;log;25;;7,0;7,0;7,0;46,82539682539682;0,6071428571428571;5,0;7,0;7,0;7,0;1,2857142857142858;1,0
Teslovich;KNN1;log;50;;14,0;14,0;13,0;62,5;0,6541666666666668;9,0;14,0;14,0;14,0;1,3571428571428572;1,0
Teslovich;KNN1;log;100;;22,0;22,0;21,0;64,68792401628221;0,6255994005994006;15,0;22,0;22,0;22,0;1,3181818181818181;1,0
Teslovich;KNN1;log;500;0,4536636678262032;60,0;63,0;60,0;56,09355921855922;0,4878072058031109;31,0;63,0;63,0;63,0;1,507936507936508;2,0
Teslovich;KNN1;log;1000;0,5221748769308664;76,0;79,0;73,0;56,93728464368933;0,47904462819861743;41,0;79,0;79,0;79,0;1,481012658227848;1,0
Teslovich;KNN1;log;2000;0,5254237464976573;89,0;92,0;86,0;58,41038590085249;0,4937402324872647;38,0;92,0;92,0;92,0;1,5869565217391304;2,0
Teslovich;KNN1;log;depict;;67,0;68,0;66,0;67,75210084033614;0,7537076680513906;55,0;68,0;68,0;68,0;1,1911764705882353;1,0
Teslovich;KNN3;normal;25;;7,0;7,0;7,0;42,857142857142854;0,5714285714285714;6,0;7,0;7,0;7,0;1,1428571428571428;1,0
Teslovich;KNN3;normal;50;;14,0;14,0;13,0;62,5;0,6601190476190476;10,0;14,0;14,0;14,0;1,3571428571428572;1,0
Teslovich;KNN3;normal;100;;22,0;22,0;21,0;60,040705563093624;0,5718531468531468;14,0;22,0;22,0;22,0;1,4545454545454546;1,0
Teslovich;KNN3;normal;500;0,4537777817446504;60,0;63,0;60,0;57,071632071632074;0,4997527300703324;18,0;63,0;63,0;63,0;1,8412698412698412;2,0
Teslovich;KNN3;normal;1000;0,5093233048531185;76,0;79,0;73,0;53,45694673108239;0,4646927121963767;16,0;79,0;79,0;79,0;1,8987341772151898;2,0
Teslovich;KNN3;normal;2000;0,5290042444914206;89,0;92,0;86,0;56,915222544501546;0,49621998172098336;18,0;92,0;92,0;92,0;1,934782608695652;2,0
Teslovich;KNN3;normal;depict;;67,0;68,0;66,0;69,08057340583292;0,7230914753961286;49,0;67,0;68,0;68,0;1,3676470588235294;1,0
Teslovich;KNN3;log;25;;7,0;7,0;7,0;42,857142857142854;0,5714285714285714;6,0;7,0;7,0;7,0;1,1428571428571428;1,0
Teslovich;KNN3;log;50;;14,0;14,0;13,0;65,05102040816327;0,6505952380952381;9,0;14,0;14,0;14,0;1,3571428571428572;1,0
Teslovich;KNN3;log;100;;22,0;22,0;21,0;65,40027137042061;0,6371878121878122;14,0;22,0;22,0;22,0;1,3636363636363635;1,0
Teslovich;KNN3;log;500;0,5386058357848689;60,0;63,0;60,0;59,617928367928364;0,5595365614166408;24,0;63,0;63,0;63,0;1,7301587301587302;2,0
Teslovich;KNN3;log;1000;0,4854841295637763;76,0;79,0;73,0;52,77320450190278;0,47005104113736174;14,0;79,0;79,0;79,0;1,9367088607594938;2,0
Teslovich;KNN3;log;2000;0,5108548475978576;89,0;92,0;86,0;52,60678160750306;0,4728403269578786;17,0;92,0;92,0;92,0;1,8478260869565217;2,0
Teslovich;KNN3;log;depict;;67,0;68,0;66,0;69,46366782006919;0,7591908993357633;54,0;67,0;68,0;68,0;1,2647058823529411;1,0
Teslovich;KNN5;normal;25;;7,0;7,0;7,0;41,26984126984127;0,5357142857142857;5,0;7,0;7,0;7,0;1,2857142857142858;1,0
Teslovich;KNN5;normal;50;;14,0;14,0;13,0;57,90816326530612;0,6136904761904762;9,0;14,0;14,0;14,0;1,3571428571428572;1,0
Teslovich;KNN5;normal;100;;22,0;22,0;21,0;62,92401628222524;0,6230394605394606;15,0;22,0;22,0;22,0;1,4090909090909092;1,0
Teslovich;KNN5;normal;500;0,4304515080209577;60,0;63,0;60,0;59,349562474562475;0,4902509116917328;16,0;61,0;63,0;63,0;2,0476190476190474;2,0
Teslovich;KNN5;normal;1000;0,4633644480436889;76,0;79,0;73,0;54,713323077199895;0,45221948866411366;14,0;79,0;79,0;79,0;2,1645569620253164;2,0
Teslovich;KNN5;normal;2000;0,5044018380633172;89,0;92,0;86,0;56,34653042594856;0,4858000083179626;13,0;91,0;92,0;92,0;2,141304347826087;2,0
Teslovich;KNN5;normal;depict;;67,0;68,0;66,0;76,11220958971823;0,7712679599202864;51,0;66,0;68,0;68,0;1,4264705882352942;1,0
Teslovich;KNN5;log;25;;7,0;7,0;7,0;46,82539682539682;0,6071428571428571;5,0;7,0;7,0;7,0;1,2857142857142858;1,0
Teslovich;KNN5;log;50;;14,0;14,0;13,0;57,01530612244897;0,5767857142857142;9,0;14,0;14,0;14,0;1,5;1,0
