SNP ID;nodeID;predicted;Class;For-SNP rank
rs9686661;9158;0.6;1;1
rs9488822;1485;0.6;1;1
rs838880;4153;0.2;1;1
rs7941030;10006;0.2;1;1
rs7515577;5937;0.6;0;1
rs7515577;1155;0.6;0;1
rs7515577;13025;0.2;1;2
rs7515577;1478;0.0;0;3
rs737337;5926;0.4;1;1
rs737337;6120;0.4;0;1
rs7255436;6142;0.2;0;1
rs7255436;8982;0.2;1;1
rs7134594;2923;0.6;0;1
rs7134594;4786;0.6;0;1
rs7134594;8328;0.4;1;2
rs7134375;13277;0.2;1;1
rs6882076;1312;0.4;1;1
rs6882076;9024;0.2;0;2
rs6511720;1767;0.6;1;1
rs645040;10678;0.8;0;1
rs645040;12451;0.6;0;2
rs645040;6509;0.6;1;2
rs645040;12548;0.2;0;3
rs6450176;11380;0.0;1;1
rs6065906;12340;0.6;1;1
rs6065906;8315;0.2;0;2
rs6065906;4846;0.0;0;3
rs605066;8215;0.0;1;1
rs6029526;6834;0.4;0;1
rs6029526;12105;0.2;0;2
rs6029526;9621;0.0;0;3
rs6029526;12889;0.0;1;3
rs581080;7359;0.2;1;1
rs5756931;9985;0.6;1;1
rs5756931;10805;0.4;0;2
rs5756931;5351;0.2;0;3
rs492602;3778;0.6;0;1
rs492602;8783;0.4;1;2
rs492602;12123;0.2;0;3
rs492602;1515;0.2;0;3
rs4846914;14284;1.0;1;1
rs4759375;8680;0.6;1;1
rs4759375;979;0.2;0;2
rs4420638;10381;0.4;0;1
rs4420638;1809;0.4;1;1
rs4420638;599;0.2;0;2
rs4420638;7631;0.2;0;2
rs4299376;14398;0.6;1;1
rs4148008;5658;0.4;1;1
rs3764261;3682;0.4;1;1
rs3757354;5685;0.6;1;1
rs3136441;13998;0.6;0;1
rs3136441;6267;0.6;0;1
rs3136441;13560;0.6;0;1
rs3136441;14274;0.4;0;2
rs3136441;4124;0.4;0;2
rs3136441;10027;0.4;0;2
rs3136441;7637;0.4;0;2
rs3136441;4382;0.4;0;2
rs3136441;2902;0.4;0;2
rs3136441;1592;0.2;0;3
rs3136441;8784;0.2;0;3
rs3136441;8230;0.0;1;4
rs2954029;2303;0.2;1;1
rs2929282;3503;0.2;1;1
rs2925979;2003;0.0;1;1
rs2923084;13978;0.0;1;1
rs2902940;4764;0.6;1;1
rs2737229;8304;0.6;1;1
rs2652834;1694;0.4;1;1
rs2652834;13556;0.2;0;2
rs2642442;6386;0.2;1;1
rs2479409;3974;0.2;1;1
rs2293889;8304;0.6;1;1
rs2290159;10490;0.4;1;1
rs2290159;8721;0.4;0;1
rs2290159;8287;0.0;0;2
rs2277862;9717;0.6;1;1
rs2277862;10287;0.4;0;2
rs2277862;11933;0.2;0;3
rs2255141;11228;0.4;1;1
rs2131925;10396;0.6;1;1
rs2131925;7443;0.4;0;2
rs2131925;10590;0.2;0;3
rs2081687;9466;0.4;1;1
rs2081687;2949;0.2;0;2
rs2081687;9463;0.0;0;3
rs2072183;514;0.2;1;1
rs2068888;9373;0.2;1;1
rs181362;11225;0.4;0;1
rs181362;8792;0.2;1;2
rs181362;3096;0.2;0;2
rs1800961;3789;0.4;1;1
rs174546;11174;1.0;1;1
rs174546;10294;0.6;0;2
rs174546;1078;0.6;0;2
rs174546;1793;0.2;1;3
rs17145738;2093;0.6;0;1
rs17145738;11254;0.6;0;1
rs17145738;6172;0.4;0;2
rs17145738;13911;0.4;0;2
rs17145738;5339;0.2;0;3
rs17145738;4563;0.2;0;3
rs17145738;2872;0.2;0;3
rs17145738;892;0.2;0;3
rs17145738;2244;0.0;1;4
rs16942887;5984;0.8;0;1
rs16942887;3521;0.8;1;1
rs16942887;8779;0.6;0;2
rs16942887;4931;0.6;0;2
rs16942887;7436;0.6;0;2
rs16942887;2519;0.6;0;2
rs16942887;13630;0.6;0;2
rs16942887;2727;0.6;0;2
rs16942887;6816;0.6;0;2
rs16942887;9179;0.4;0;3
rs16942887;7576;0.4;0;3
rs16942887;9917;0.4;0;3
rs16942887;13147;0.4;0;3
rs16942887;1677;0.2;0;4
rs16942887;1925;0.2;0;4
rs16942887;12088;0.2;0;4
rs16942887;11896;0.2;0;4
rs16942887;14167;0.2;0;4
rs1532085;7849;0.2;1;1
rs1495741;9526;0.4;1;1
rs1367117;4731;0.2;1;1
rs13107325;3220;0.4;1;1
rs13107325;1288;0.2;0;2
rs12916;1182;0.4;1;1
rs12916;7919;0.2;0;2
rs12916;3733;0.0;0;3
rs12678919;7169;0.8;1;1
rs12670798;10457;0.0;1;1
rs1260326;5376;0.6;0;1
rs1260326;13108;0.4;0;2
rs1260326;2669;0.4;0;2
rs1260326;3325;0.4;0;2
rs1260326;11466;0.4;0;2
rs1260326;2138;0.4;1;2
rs1260326;13755;0.4;0;2
rs1260326;7017;0.2;0;3
rs11776767;13844;0.2;1;1
rs11776767;7695;0.0;0;2
rs1169288;3969;0.6;1;1
rs1169288;14148;0.0;0;2
rs11649653;3340;0.6;0;1
rs11649653;13885;0.6;0;1
rs11649653;5963;0.6;0;1
rs11649653;4595;0.6;0;1
